都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,33390,36760,31082,27385,24768,19951,19337,192673,22693,26360,25931,23439,19658,17071,20803,155955
北海道,いいえ,40815,54913,53608,48193,42319,28958,22736,291542,33843,43238,41011,35310,28855,22624,23020,227901
青森県,はい,9215,9558,8249,7575,7365,6699,7864,56525,5492,6461,6772,6610,6754,7116,9166,48371
青森県,いいえ,11032,14471,14702,13881,12651,9343,8168,84248,10382,13086,12482,11723,10308,9307,9495,76783
岩手県,はい,11636,12107,10617,9800,10284,10791,13263,78498,8162,9569,9609,9613,10657,12951,16541,77102
岩手県,いいえ,11620,14778,14364,13614,11796,9060,7966,83198,9274,11287,10544,9408,8548,7964,8410,65435
宮城県,はい,21618,22491,18395,15499,14961,16001,20446,129411,15585,17810,17147,15870,16529,18815,24365,126121
宮城県,いいえ,25619,31937,31042,27068,23787,19649,18271,177373,21829,26064,23507,20292,18226,17519,18771,146208
秋田県,はい,5653,5948,5081,5042,5312,6067,8127,41230,3790,4276,4473,4629,5534,7784,9948,40434
秋田県,いいえ,6771,8581,8712,8667,8209,7037,6673,54650,6363,7519,7526,6937,7143,7353,7940,50781
山形県,はい,9022,8585,7175,6614,6686,6505,7598,52185,5553,5814,5816,5658,6007,6198,6744,41790
山形県,いいえ,14070,16635,15992,15360,15297,14270,13874,105498,13786,15816,14769,14503,14614,14753,14728,102969
福島県,はい,14177,14422,11901,10686,11034,11964,14942,89126,8806,9655,9318,9542,10455,12475,15984,76235
福島県,いいえ,19621,24555,23639,22748,20985,17370,16197,145115,17676,21250,20211,19045,18966,17629,17793,132570
茨城県,はい,23155,24748,20842,17115,14849,14746,18004,133459,14459,16954,17044,14879,13931,15217,19136,111620
茨城県,いいえ,28462,37114,37132,30845,24649,18031,15035,191268,22643,28838,27592,22544,19285,17018,16610,154530
栃木県,はい,17584,18785,15672,13153,11934,12535,15664,105327,10941,12867,12596,11367,11524,13395,17217,89907
栃木県,いいえ,22252,28245,27428,22819,19333,14632,12756,147465,16638,20426,19524,15863,14302,13349,13268,113370
群馬県,はい,16045,17455,15184,12238,11172,12111,17019,101224,9183,11533,11966,10794,10681,14006,21037,89200
群馬県,いいえ,20469,27258,27629,23363,19077,14792,14437,147025,15705,21285,20873,17170,14700,14176,16146,120055
埼玉県,はい,63318,72010,65059,51867,43086,40356,54225,389921,41227,50374,52209,45101,38408,41249,63635,332203
埼玉県,いいえ,76788,99185,100892,79121,58427,42536,44497,501446,59079,74360,72400,55715,43562,40565,52288,397969
千葉県,はい,50958,58005,53232,41888,34741,32743,42778,314345,35114,43077,44219,37819,32591,34891,49835,277546
千葉県,いいえ,63092,81926,84306,65642,48510,34769,34413,412658,49111,60984,60158,45441,35427,31857,38275,321253
東京都,はい,136903,149533,140954,116853,88469,69338,87690,789740,105671,121149,124322,106203,84805,78471,113301,733922
東京都,いいえ,168151,195019,196454,156675,105558,69077,74769,965703,145326,166471,156831,115688,82308,68250,90540,825414
神奈川県,はい,81378,93800,89315,74042,56956,43464,53947,492902,59387,72297,76272,64026,49037,42883,61485,425387
神奈川県,いいえ,100370,127225,136438,110034,72365,43742,43260,633434,74265,92136,91731,67554,47340,37493,47938,458457
新潟県,はい,19822,20386,17204,14904,14604,15707,20856,123483,13418,15272,14786,14019,15113,19049,25207,116864
新潟県,いいえ,26055,33646,33168,29651,25772,20104,18555,186951,21434,27587,25773,22789,19263,16492,17670,151008
富山県,はい,8243,9404,7625,6086,5407,5205,7958,49928,4828,6101,6024,5621,5282,6234,10115,44205
富山県,いいえ,13599,18621,18233,14770,12156,9479,9557,96415,11251,15177,14582,11704,9978,9222,11550,83464
石川県,はい,8877,10546,8934,7068,6231,5991,8679,56326,6097,7821,7458,6756,6466,7239,11188,53025
石川県,いいえ,12032,16203,15244,12497,10003,7484,8121,81584,10350,13414,12570,10143,8505,7461,9409,71852
福井県,はい,5990,6443,5363,4505,3804,3120,3465,32690,3238,3964,3828,3509,3187,2860,3745,24331
福井県,いいえ,9003,11311,10861,9474,8103,5464,4308,58524,7624,9506,9211,7911,6434,4724,4086,49496
山梨県,はい,6689,7295,6854,6120,5760,6174,7414,46306,5205,6390,6526,6298,6453,7332,8688,46892
山梨県,いいえ,8612,11205,11969,10764,8675,6762,6175,64162,6987,9125,9515,8449,7055,6180,6223,53534
長野県,はい,17556,19501,17045,14504,13089,12991,16502,111188,12593,15470,15717,14741,13938,15182,20488,108129
長野県,いいえ,22871,30084,30604,26019,20998,16025,15762,162363,17702,23637,23009,19460,16600,14031,15502,129941
岐阜県,はい,14560,16221,13802,11450,10309,9740,12891,88973,8862,11089,11544,10644,9831,10531,14549,77050
岐阜県,いいえ,22800,30144,30355,25323,20422,15153,14446,158643,17041,22580,22579,18946,16422,13675,15417,126660
静岡県,はい,33011,35821,31627,26283,23151,20626,26475,196994,19791,23845,25219,22406,20855,20591,29167,161874
静岡県,いいえ,40552,53175,54801,46033,37249,26764,25865,284439,32932,42383,41517,34083,29311,25678,28118,234022
愛知県,はい,67032,73911,66000,52375,40993,34106,47523,381940,41671,51622,52309,43220,36520,36684,56149,318175
愛知県,いいえ,87098,111632,114755,91569,66603,45559,48576,565792,64647,80158,79083,61988,48499,43463,55888,433726
三重県,はい,13870,15981,13978,11778,10235,9725,13992,89559,8304,10421,10887,9703,9287,10495,16170,75267
三重県,いいえ,19471,26191,27153,22834,18312,14384,15585,143930,15530,20498,20322,17333,15349,15375,19634,124041
滋賀県,はい,12063,12932,10909,8912,7766,7263,9373,69218,7683,8976,8766,7827,7574,7618,10606,59050
滋賀県,いいえ,16790,20870,20100,16609,13387,9741,9680,107177,15309,17979,16806,13767,11618,9718,11183,96380
京都府,はい,18455,21470,19143,15320,13350,11383,15754,114875,12901,15789,15722,13888,12249,11967,18495,101011
京都府,いいえ,23687,31527,31551,25545,19902,14423,15409,162044,21147,26912,25761,20662,16260,13741,17664,142147
大阪府,はい,61187,71783,67110,51841,40227,28332,31173,351653,41075,51267,53452,44455,32824,26071,33696,282840
大阪府,いいえ,74998,99495,103375,78996,54553,32861,29141,473419,66304,83563,81726,60327,40903,28168,31503,392494
兵庫県,はい,39213,45756,41946,34019,29686,25753,33350,249723,27148,33779,34868,30432,26634,26512,36964,216337
兵庫県,いいえ,48759,64984,66819,54591,41743,29714,29645,336255,40135,52409,51122,40169,32365,27777,33632,277609
奈良県,はい,8530,9938,9303,7690,6919,6444,8498,57322,6128,7703,8304,7524,6625,6899,10076,53259
奈良県,いいえ,9997,14137,15062,12687,9946,7009,7180,76018,9542,12187,12192,9829,7905,7129,8800,67584
和歌山県,はい,5673,6717,5826,5075,5009,4971,6844,40115,3375,4009,4347,4271,4345,5411,7738,33496
和歌山県,いいえ,7389,10250,10359,9083,7792,6186,6425,57484,6292,8358,8491,7718,6736,6391,7983,51969
鳥取県,はい,3288,3254,2634,2280,2194,2365,3010,19025,1624,1929,1794,1636,1878,2314,3368,14543
鳥取県,いいえ,6012,7577,6955,6298,5801,4801,4369,41813,5781,6951,6320,5847,5456,4976,5201,40532
島根県,はい,5112,5367,4187,3595,3687,3926,5296,31170,3294,3640,3198,3100,3406,4157,5821,26616
島根県,いいえ,6359,8270,7858,7136,7105,6295,6749,49772,6006,7769,7090,6565,6484,6287,7700,47901
岡山県,はい,12565,14140,11535,9150,8591,8956,11134,76071,7938,9782,9481,8273,8044,8978,12519,65015
岡山県,いいえ,19806,26308,24546,19475,16482,12486,11476,130579,16900,21691,19880,15927,14387,12200,13523,114508
広島県,はい,19986,22990,19492,15726,13323,10257,10752,112526,13731,16714,15768,12971,10816,8934,10000,88934
広島県,いいえ,28372,38068,37244,30086,23630,15068,11747,184215,20991,27748,26517,20880,16642,11849,11586,136213
山口県,はい,9715,11299,9298,7406,6766,6097,7197,57778,5488,6842,6978,6126,5705,6026,8084,45249
山口県,いいえ,11225,15701,15100,12649,11068,8355,7547,81645,9104,12035,11832,9670,8699,7429,8378,67147
徳島県,はい,4604,4768,3979,3574,3411,3932,5675,29943,2936,3428,3422,3318,3432,4659,6557,27752
徳島県,いいえ,6151,8011,7825,7027,6322,5360,5665,46361,5608,7111,7004,6145,5797,6047,6873,44585
香川県,はい,6629,7427,5972,5049,4750,4677,6540,41044,4172,5191,4878,4270,4281,4969,7822,35583
香川県,いいえ,8438,11481,11101,9034,7937,6366,6924,61281,7917,10274,9493,7690,7216,6783,8665,58038
愛媛県,はい,11397,12981,10680,9037,8065,6647,7397,66204,7405,8811,8884,7900,7269,6921,8127,55317
愛媛県,いいえ,11466,15347,14612,12890,11010,6912,4951,77188,10058,12662,11922,10027,8303,5846,5083,63901
高知県,はい,5507,5971,4794,4074,3971,4197,5710,34224,3426,4177,4110,3897,4098,4990,7038,31736
高知県,いいえ,5686,7865,7413,6480,5860,4767,4739,42810,5716,7343,6787,5781,5285,4645,5364,40921
福岡県,はい,40715,41233,34240,27977,26096,24547,30131,224939,27916,30592,29352,26120,24126,25456,33845,197407
福岡県,いいえ,46354,57107,53599,43917,37904,29216,28501,296598,41093,48570,44614,35604,30073,27582,32560,260096
佐賀県,はい,5806,5630,4725,4385,4456,4946,6547,36495,3717,4128,4098,4094,4405,5681,7452,33575
佐賀県,いいえ,7309,8723,8222,7799,7055,6048,5554,50710,6353,7584,7060,6454,6353,5862,6050,45716
長崎県,はい,8193,8621,7650,7024,7098,8306,10895,57787,5909,6795,6917,6950,7561,9589,13040,56761
長崎県,いいえ,9688,12716,12813,12061,11291,9331,9176,77076,9279,11048,11020,10006,9355,9540,10760,71008
熊本県,はい,12529,12600,10195,9892,9742,10027,11592,76577,8687,9829,9285,9351,9361,10487,12595,69595
熊本県,いいえ,16605,19595,18555,17610,16071,13084,11317,112837,15610,17816,16598,15344,14149,12659,12646,104822
大分県,はい,9383,9799,7695,6912,7283,7779,9972,58823,6806,7583,7481,7009,7681,9025,12234,57819
大分県,いいえ,9357,12088,11692,10408,10100,8198,7444,69287,8326,10239,9827,8659,8394,7397,8161,61003
宮崎県,はい,8240,8308,6886,6052,6251,6844,9104,51685,5104,5838,5502,5594,5913,7495,10361,45807
宮崎県,いいえ,9467,11744,10854,10246,9722,7870,7424,67327,8368,10050,9351,8240,7970,7745,8801,60525
鹿児島県,はい,11022,11138,9178,8687,9345,11175,15077,75622,7203,7759,8015,7980,9069,12450,17194,69670
鹿児島県,いいえ,12794,15185,15187,15259,15048,12834,12261,98568,11298,12943,12458,11782,12275,12540,13537,86833
沖縄県,はい,8863,9622,8117,6599,6125,6220,6556,52102,6839,7480,7149,6266,6404,6788,7762,48688
沖縄県,いいえ,11506,14338,13013,11065,9032,6810,5504,71268,11655,13678,12067,10098,7928,6713,5543,67682
都道府県判別不可,はい,31319,31419,29066,26667,14596,4846,3398,141311,15153,17165,16571,13730,7351,3128,2030,75128
都道府県判別不可,いいえ,44836,51253,53566,48143,23394,5691,2844,229727,25620,30306,29330,21446,11137,4358,2451,124648
