都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,227,406,495,562,624,506,481,3301,134,209,245,266,214,189,294,1551
北海道,いいえ,73423,91124,84473,75281,66636,49714,44302,484953,55729,68920,66403,58320,48871,41970,48073,388286
青森県,はい,83,119,142,190,189,170,227,1120,66,66,91,114,81,110,137,665
青森県,いいえ,20594,24390,23336,21859,20645,17018,17408,145250,16066,19817,19536,18740,17926,17870,20824,130779
岩手県,はい,67,105,141,152,156,159,205,985,57,67,73,72,74,88,141,572
岩手県,いいえ,23021,26573,24642,23128,21837,19696,21043,159940,17252,20609,19923,18809,19022,20816,24824,141255
宮城県,はい,139,188,232,252,308,346,484,1949,78,130,130,153,142,173,301,1107
宮城県,いいえ,44585,51360,46895,40252,36433,33876,37455,290856,35373,41462,38273,33924,32820,35343,42590,259785
秋田県,はい,33,51,68,90,114,90,89,535,29,35,53,40,46,53,73,329
秋田県,いいえ,12360,14361,13595,13521,13397,13033,14743,95010,10092,11722,11919,11518,12622,15107,17843,90823
山形県,はい,51,71,110,124,146,147,182,831,55,66,90,111,140,174,208,844
山形県,いいえ,22914,25082,22973,21773,21808,20658,21368,156576,19205,21461,20366,19901,20318,20784,21344,143379
福島県,はい,121,183,216,240,294,263,374,1691,77,98,145,120,114,141,218,913
福島県,いいえ,33239,38065,34409,32544,31450,29139,31021,229867,26059,30339,28782,27890,28684,29986,33869,205609
茨城県,はい,147,216,314,333,352,236,275,1873,88,125,145,129,114,111,146,858
茨城県,いいえ,52013,62892,59820,49405,41075,36477,39031,340713,37510,46296,45273,38184,35082,36677,42238,281260
栃木県,はい,120,175,271,248,293,268,361,1736,83,94,110,108,123,158,223,899
栃木県,いいえ,38121,44905,41180,34538,29890,26394,27804,242832,26751,32215,31095,26343,25069,26262,30168,197903
群馬県,はい,160,244,305,295,312,300,453,2069,77,133,157,138,150,150,234,1039
群馬県,いいえ,35349,43294,41422,34581,29253,26297,30971,241167,24226,31881,32007,27243,24889,27970,37160,205376
埼玉県,はい,388,613,835,801,770,717,1079,5203,252,363,426,418,303,356,568,2686
埼玉県,いいえ,136911,166983,161405,127024,98768,80773,95670,867534,99526,123579,123349,99746,81408,80969,113110,721687
千葉県,はい,354,610,765,719,765,738,1093,5044,285,446,498,424,380,404,653,3090
千葉県,いいえ,112420,137898,134797,105385,82533,70111,84547,727691,84167,103948,104258,83586,69762,72720,100309,618750
東京都,はい,978,1451,1822,1917,1668,1403,2154,11393,651,865,1036,897,715,742,1211,6117
東京都,いいえ,298757,336737,327755,265609,190015,137795,163126,1719794,248654,284899,277929,219392,166416,148241,207389,1552920
神奈川県,はい,637,1032,1306,1313,1132,844,1127,7391,350,514,586,519,364,333,564,3230
神奈川県,いいえ,176063,212729,215606,175334,124813,85473,95761,1085779,131150,161059,164224,128494,94500,79732,108914,868073
新潟県,はい,175,272,375,390,434,410,504,2560,118,167,208,203,242,196,247,1381
新潟県,いいえ,44574,52389,48626,42983,38917,35050,39180,301719,34025,41787,39460,35930,33719,35501,43202,263624
富山県,はい,85,123,154,171,178,159,212,1082,69,103,133,115,100,115,178,813
富山県,いいえ,21778,27861,25674,20732,17343,14371,17237,144996,15938,21033,20307,17073,15015,15259,21471,126096
石川県,はい,81,130,151,151,184,150,211,1058,68,98,89,104,99,99,141,698
石川県,いいえ,20334,25975,23389,19030,15905,13408,17183,135224,15933,20588,19313,16280,14691,15027,21547,123379
福井県,はい,103,177,188,201,175,117,128,1089,57,91,92,84,95,59,65,543
福井県,いいえ,14792,17515,15967,13713,11785,8472,7594,89838,10483,13075,12680,11101,9381,7426,7645,71791
