都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,50662,61847,56873,51480,48044,37475,33867,340248,36700,43726,39908,35432,31747,28584,33204,249301
北海道,いいえ,23104,29246,27314,23764,18612,11063,7820,140923,19393,25353,26555,22967,16414,10812,10123,131617
青森県,はい,13578,16097,15242,14625,14543,12459,13044,99588,9929,12144,11502,11319,11685,12183,14287,83049
青森県,いいえ,6633,7881,7665,6770,5413,3567,2976,40905,5916,7362,7715,6980,5353,4218,4317,41861
岩手県,はい,14981,17334,15768,14875,15297,15056,17075,110386,10607,12557,11620,11175,12707,15406,19198,93270
岩手県,いいえ,8180,9444,9092,8469,6695,4741,4089,50710,6779,8237,8476,7804,6447,5467,5689,48899
宮城県,はい,29196,33613,30290,26346,25606,26031,30213,201295,22388,25487,22395,20548,21947,25646,31900,170311
宮城県,いいえ,15824,18280,17067,14357,11213,8247,7764,92752,13468,16607,16542,14159,11585,10120,11019,93500
秋田県,はい,8522,9831,9168,9117,9586,10337,12193,68754,6564,7457,7340,7240,8814,11592,14268,63275
秋田県,いいえ,3742,4447,4372,4383,3762,2659,2509,25874,3510,4244,4597,4261,3795,3470,3540,27417
山形県,はい,15076,16426,14875,14547,15278,15742,17041,108985,11918,13076,11964,12129,13879,15663,16629,95258
山形県,いいえ,7985,8740,8248,7400,6671,5007,4403,48454,7405,8514,8588,7988,6723,5275,4818,49311
福島県,はい,22184,25212,22770,21741,22696,22773,25301,162677,16975,19190,17379,17377,19882,22401,26194,139398
福島県,いいえ,11242,13167,12023,11195,9105,6470,5788,68990,9469,11662,12105,11176,9526,7687,7558,69183
茨城県,はい,33308,39885,36923,30764,27378,25175,26650,220083,23882,28466,26436,22272,21814,23576,27294,173740
茨城県,いいえ,17840,21373,20379,16746,11826,7486,6357,102007,12986,17082,17973,14981,11311,8623,8434,91390
栃木県,はい,25615,29932,27341,23151,21814,20736,23000,171589,17861,20800,19258,16459,17319,19692,23635,135024
栃木県,いいえ,12881,15472,14268,11796,8437,5875,5104,73833,9082,11649,12125,10178,8053,6822,6699,64608
群馬県,はい,23872,29213,27839,23282,21429,20768,25553,171956,16248,20636,19756,17114,17029,20799,28828,140410
