都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,57,118,177,217,310,336,443,1658,40,58,83,86,110,139,256,772
北海道,0101,南渡島,いいえ,4516,5741,5112,4529,4012,3535,3793,31238,3518,4593,4584,4113,3819,3965,5030,29622
北海道,0102,南檜山,はい,-,11,-,12,19,23,35,116,-,-,-,12,-,11,23,57
北海道,0102,南檜山,いいえ,266,344,329,301,287,248,252,2027,206,236,247,234,254,260,344,1781
北海道,0103,北渡島檜山,はい,-,-,17,24,26,35,47,164,-,-,-,-,-,12,30,71
北海道,0103,北渡島檜山,いいえ,401,455,426,380,343,323,319,2647,252,327,294,317,298,349,395,2232
北海道,0104,札幌,はい,403,843,1303,1742,2223,1752,1392,9658,213,336,404,451,468,367,426,2665
北海道,0104,札幌,いいえ,35723,42682,40204,34033,28070,16602,9502,206816,28071,33578,31921,26385,19041,10845,7669,157510
北海道,0105,後志,はい,30,67,90,145,165,207,245,949,12,17,36,46,45,68,127,351
北海道,0105,後志,いいえ,2518,3265,3052,2739,2359,2104,2143,18180,1773,2440,2327,2184,2030,2051,2674,15479
北海道,0106,南空知,はい,17,66,69,107,165,201,218,843,15,29,32,41,32,49,94,292
北海道,0106,南空知,いいえ,1736,2383,2114,2087,1988,1631,1439,13378,1297,1802,1838,1739,1637,1455,1768,11536
北海道,0107,中空知,はい,19,35,45,77,97,123,215,611,10,11,26,25,34,65,102,273
北海道,0107,中空知,いいえ,1062,1521,1423,1375,1272,1095,1257,9005,947,1231,1161,1214,1130,1252,1740,8675
北海道,0108,北空知,はい,-,-,-,22,26,29,36,139,-,-,-,-,-,13,20,48
北海道,0108,北空知,いいえ,272,375,346,384,380,346,409,2512,269,303,339,329,328,372,496,2436
北海道,0109,西胆振,はい,31,62,83,112,151,153,257,849,15,26,33,29,47,81,138,369
北海道,0109,西胆振,いいえ,1882,2596,2344,2057,1838,1749,2140,14606,1489,1991,1983,1803,1687,1878,2688,13519
