都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,17062,20887,19865,18283,17009,14897,14712,122715,14394,17107,17454,16369,14648,13800,16478,110250
北海道,いいえ,56240,69754,63692,56593,49010,32776,25735,353800,41162,51273,48279,41341,32707,24388,24909,264059
青森県,はい,5434,6060,6272,6332,6550,5835,6136,42619,4564,5526,6127,6257,6765,7145,7976,44360
青森県,いいえ,14822,17996,16685,15110,13445,10215,9908,98181,11288,13973,13146,12162,10451,9430,10877,81327
岩手県,はい,5946,6683,6529,6487,6795,6826,7913,47179,4524,5452,5902,6349,6994,8318,10063,47602
岩手県,いいえ,17019,19820,18099,16430,15056,12944,13267,112635,12764,15187,14045,12449,12041,12505,14807,93798
宮城県,はい,11192,13357,12829,11573,10790,10488,11697,81926,10094,12479,12471,11731,11996,12521,14818,86110
宮城県,いいえ,35659,40595,36185,30535,27200,23535,24258,217967,26876,30955,27621,23806,21763,21795,25242,178058
秋田県,はい,3632,3964,3921,3996,4254,4864,5730,30361,3066,3458,3737,3841,4609,6195,7204,32110
秋田県,いいえ,8664,10321,9622,9495,9076,8128,9006,64312,6987,8156,8090,7568,7896,8869,10619,58185
山形県,はい,5737,5946,5926,5848,6253,6351,6685,42746,4827,5762,5907,6361,7019,7655,7838,45369
山形県,いいえ,17207,19115,17125,16003,15625,14420,14883,114378,14428,15721,14511,13677,13598,13409,13835,99179
福島県,はい,8808,10096,9689,9663,9883,9957,11105,69201,7567,8598,9194,9733,10605,11533,12896,70126
福島県,いいえ,24495,28031,24846,22957,21349,17631,17094,156403,18608,21853,19815,18247,17640,16162,17087,129412
茨城県,はい,13635,16257,15752,13360,11711,11258,12261,94234,11333,14041,14345,12794,12296,13169,15037,93015
茨城県,いいえ,37877,45904,43223,35416,28355,22193,21700,234668,25450,31480,30123,24560,21000,19187,20820,172620
栃木県,はい,10215,11826,11388,10011,8791,7445,7077,66753,7538,9123,9559,8582,7837,7329,7757,57725
