都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,1637,1969,1575,1414,1270,1436,1817,11118,1040,1266,1315,1293,1303,1649,2496,10362
北海道,0101,南渡島,いいえ,2884,3801,3618,3270,2987,2344,2337,21241,2506,3366,3344,2892,2590,2385,2669,19752
北海道,0102,南檜山,はい,95,103,88,79,85,94,133,677,76,56,77,79,88,113,160,649
北海道,0102,南檜山,いいえ,179,246,245,227,217,171,146,1431,132,182,171,165,170,155,207,1182
北海道,0103,北渡島檜山,はい,186,175,154,128,129,154,180,1106,118,116,89,107,115,142,197,884
北海道,0103,北渡島檜山,いいえ,211,275,275,263,229,193,181,1627,131,207,203,205,188,212,226,1372
北海道,0104,札幌,はい,16815,18304,15991,13853,12028,7879,4839,89709,12281,14004,13882,12015,8803,5017,3868,69870
北海道,0104,札幌,いいえ,20647,26499,26436,22884,19376,11090,6372,133304,17188,21188,19627,16008,11491,6332,4197,96031
北海道,0105,後志,はい,1178,1315,1138,994,928,931,1077,7561,697,898,875,840,865,880,1273,6328
北海道,0105,後志,いいえ,1340,1958,1949,1842,1563,1313,1231,11196,1077,1537,1481,1366,1183,1185,1442,9271
北海道,0106,南空知,はい,821,1008,829,855,787,793,813,5906,541,702,719,739,678,687,920,4986
北海道,0106,南空知,いいえ,946,1451,1349,1342,1388,1097,930,8503,795,1149,1163,1071,1057,909,1054,7198
北海道,0107,中空知,はい,474,609,499,471,466,458,641,3618,343,446,416,413,435,554,836,3443
北海道,0107,中空知,いいえ,584,922,928,945,868,733,805,5785,592,766,749,793,705,738,971,5314
北海道,0108,北空知,はい,125,144,125,152,151,162,206,1065,101,108,129,124,131,159,257,1009
北海道,0108,北空知,いいえ,151,237,228,249,253,212,239,1569,169,194,209,207,202,228,258,1467
北海道,0109,西胆振,はい,1028,1207,989,789,771,789,1093,6666,659,801,814,713,666,861,1340,5854
北海道,0109,西胆振,いいえ,1151,1789,1697,1523,1323,1183,1318,9984,934,1318,1292,1186,1095,1114,1480,8419
北海道,0110,東胆振,はい,1894,2025,1527,1319,1090,1112,1413,10380,945,1115,1019,912,833,1081,1499,7404
北海道,0110,東胆振,いいえ,1858,2634,2341,2074,1778,1539,1460,13684,1381,1732,1544,1446,1255,1390,1739,10487
北海道,0111,日高,はい,388,405,310,265,242,230,293,2133,238,279,255,226,232,253,319,1802
北海道,0111,日高,いいえ,342,503,484,422,385,311,248,2695,261,362,355,332,284,286,321,2201
北海道,0112,上川中部,はい,2035,2232,1852,1566,1485,960,719,10849,1287,1477,1469,1196,975,634,599,7637
北海道,0112,上川中部,いいえ,2517,3421,3254,2887,2594,1663,956,17292,2134,2748,2619,2059,1578,921,776,12835
