都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,2519,3091,2742,2269,1803,1238,945,14607,909,1367,1280,1089,772,554,328,6299
北海道,0101,南渡島,いいえ,2758,3550,3353,3155,3094,2994,3465,22369,3269,4080,4168,3788,3613,3767,5039,27724
北海道,0102,南檜山,はい,139,151,156,142,113,95,56,852,60,66,67,70,56,38,26,383
北海道,0102,南檜山,いいえ,146,221,215,205,209,191,237,1424,165,192,202,191,211,241,342,1544
北海道,0103,北渡島檜山,はい,242,268,246,203,185,120,78,1342,82,88,93,92,57,35,21,468
北海道,0103,北渡島檜山,いいえ,232,270,259,261,240,252,299,1813,226,320,255,289,269,330,407,2096
北海道,0104,札幌,はい,16407,19531,17971,14467,10997,5814,2731,87918,5046,7010,6732,5259,3480,1554,625,29706
北海道,0104,札幌,いいえ,24483,29478,28431,25651,23311,14949,9515,155818,27937,32557,30801,25970,18775,10693,8132,154865
北海道,0105,後志,はい,1178,1538,1407,1193,962,694,574,7546,382,625,563,470,444,266,228,2978
北海道,0105,後志,いいえ,1583,2067,2005,1942,1760,1749,1866,12972,1603,2076,2039,1966,1801,1943,2622,14050
北海道,0106,南空知,はい,850,1161,959,961,841,613,395,5780,315,436,449,388,310,198,155,2251
北海道,0106,南空知,いいえ,1048,1495,1394,1445,1544,1486,1570,9982,1123,1554,1592,1571,1553,1547,2070,11010
北海道,0107,中空知,はい,574,796,718,663,585,371,339,4046,263,321,336,309,274,205,155,1863
北海道,0107,中空知,いいえ,642,983,923,939,923,917,1187,6514,827,1135,1042,1106,1048,1199,1753,8110
北海道,0108,北空知,はい,139,183,183,194,163,110,102,1074,56,80,78,57,53,22,35,381
北海道,0108,北空知,いいえ,183,254,236,265,273,281,345,1837,251,273,307,312,300,369,484,2296
北海道,0109,西胆振,はい,1129,1538,1331,1094,860,613,515,7080,364,602,598,496,386,213,205,2864
北海道,0109,西胆振,いいえ,1366,1870,1685,1502,1494,1592,2029,11538,1444,1871,1837,1664,1549,1869,2714,12948
北海道,0110,東胆振,はい,1879,2318,1883,1538,1139,822,620,10199,543,701,629,533,365,258,210,3239
北海道,0110,東胆振,いいえ,2086,2602,2247,2083,1932,1989,2361,15300,1918,2324,2090,1923,1795,2247,3072,15369
北海道,0111,日高,はい,395,451,403,342,296,195,116,2198,117,163,176,127,112,63,44,802
北海道,0111,日高,いいえ,467,607,550,498,469,448,521,3560,447,582,524,519,466,534,658,3730
北海道,0112,上川中部,はい,2294,2744,2552,2106,1707,1158,905,13466,789,1055,1090,842,632,419,354,5181
北海道,0112,上川中部,いいえ,2961,3830,3510,3264,3378,3105,3547,23595,3361,4145,4045,3505,3354,3651,5225,27286
北海道,0113,上川北部,はい,392,456,395,372,329,256,175,2375,128,186,173,180,134,99,68,968
北海道,0113,上川北部,いいえ,475,640,645,614,673,574,780,4401,554,659,614,630,644,704,1062,4867
北海道,0114,富良野,はい,222,273,287,259,220,185,158,1604,81,113,110,89,84,57,45,579
北海道,0114,富良野,いいえ,342,403,393,448,425,421,552,2984,426,505,519,510,501,553,802,3816
北海道,0115,留萌,はい,231,328,303,255,212,176,104,1609,97,136,129,115,88,80,44,689
北海道,0115,留萌,いいえ,292,417,389,384,396,343,393,2614,303,397,411,388,425,451,644,3019
北海道,0116,宗谷,はい,478,591,531,445,346,242,159,2792,188,186,212,185,119,99,57,1046
北海道,0116,宗谷,いいえ,486,674,555,587,599,573,558,4032,525,589,525,515,510,530,690,3884
北海道,0117,北網,はい,1415,1678,1461,1277,1071,562,427,7891,454,632,575,510,384,228,172,2955
北海道,0117,北網,いいえ,1699,2209,2006,2015,1989,1648,1872,13438,1879,2244,2078,2140,1981,1918,2600,14840
北海道,0118,遠紋,はい,415,517,495,443,343,217,164,2594,115,179,174,174,122,107,60,931
北海道,0118,遠紋,いいえ,433,575,582,599,574,519,668,3950,459,557,654,592,578,651,992,4483
北海道,0119,十勝,はい,2284,2748,2446,2108,1674,1177,959,13396,686,986,900,805,611,406,286,4680
北海道,0119,十勝,いいえ,2799,3612,3372,3361,3397,3133,3630,23304,3146,3855,3840,3616,3419,3694,5017,26587
北海道,0120,釧路,はい,1755,2137,1887,1552,1342,830,553,10056,619,917,863,763,555,344,227,4288
北海道,0120,釧路,いいえ,1707,2212,2228,2067,2064,1924,2230,14432,1916,2388,2259,2015,2018,2291,2772,15659
