都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,18877,22735,20200,18227,16919,14935,16585,128478,7926,10799,11478,11324,10890,12082,17102,81601
北海道,いいえ,55366,69022,64577,57419,50256,34060,25578,356278,48639,58851,55530,47473,37670,27696,26822,302681
青森県,はい,5466,6219,5670,5332,5375,5265,6482,39809,1927,2682,2920,3263,3664,4729,6704,25889
青森県,いいえ,14763,17790,17259,16085,14598,10766,9534,100795,13900,16816,16284,15033,13353,11668,11924,98978
岩手県,はい,5139,5944,5204,4851,4923,5519,7924,39504,1839,2554,2673,2858,3793,5582,8745,28044
岩手県,いいえ,18115,20994,19823,18593,17201,14365,13347,122438,15616,18329,17510,16178,15436,15374,16240,114683
宮城県,はい,12286,13870,12199,10533,10169,12211,16967,88235,5035,6625,6906,6914,8276,11787,17722,63265
宮城県,いいえ,35009,40627,37284,32093,28686,23477,21757,218933,32414,37283,33785,29287,26496,24560,25429,209254
秋田県,はい,3013,3522,3241,3324,3605,4383,6392,27480,1115,1431,1688,1914,2721,4752,7189,20810
秋田県,いいえ,9427,11023,10570,10393,9924,8714,8410,68461,9035,10369,10325,9655,9960,10399,10715,70458
山形県,はい,4870,5299,4559,4280,4459,4746,5676,33889,1601,2041,2308,2512,3110,4269,5216,21057
山形県,いいえ,18341,20032,18726,17775,17645,16184,16003,124706,17919,19781,18473,17785,17718,16916,16496,125088
福島県,はい,7810,8906,7938,7359,8043,9959,13538,63553,2823,3769,4097,4588,6097,9533,13800,44707
福島県,いいえ,25787,29646,27057,25721,23879,19361,17605,169056,23695,27149,25450,24016,23353,20601,19977,164241
茨城県,はい,13151,15799,14681,12702,11466,12144,15724,95667,5088,6933,7909,7715,8204,10689,14895,61433
茨城県,いいえ,37922,45368,42640,34687,27449,19296,15202,222564,31449,38149,35970,28892,23781,19354,17691,195286
栃木県,はい,9553,11515,10528,9176,8705,10477,14061,74015,3429,4704,5270,5431,6570,9573,14292,49269
栃木県,いいえ,30189,35303,32410,26694,22502,16703,14383,178184,24153,28588,26848,21809,19263,17182,16206,154049
群馬県,はい,9612,11468,11007,9463,9045,10765,15855,77215,3272,5065,6015,5942,6859,10834,17690,55677
群馬県,いいえ,26829,33111,31684,26111,21189,16173,15635,170732,21639,27773,26846,22032,18551,17383,19562,153786
埼玉県,はい,36276,45301,44293,36758,31077,32587,48911,275203,14191,20444,23947,23374,22919,31721,54807,191403
埼玉県,いいえ,103399,125484,121214,93937,70223,50141,49405,613803,85998,104179,100594,77364,58975,49838,60475,537423
千葉県,はい,29885,37408,36817,30194,25307,26526,38283,224420,12191,17557,20355,18987,18671,25221,40997,153979
千葉県,いいえ,83967,102301,100468,77234,57945,41032,38913,501860,72002,86444,84036,64282,49350,41515,47125,444754
東京都,はい,85255,100788,101438,86355,64391,55119,77806,571152,42619,55970,62588,56936,49648,56466,93587,417814
東京都,いいえ,219422,243449,235671,187404,130358,84787,87557,1188648,208757,232157,219249,165766,118737,92594,114445,1151705
神奈川県,はい,49754,62263,64744,55465,42046,34551,48088,356911,21445,31057,36598,33733,28597,31581,51183,234194
