都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,35438,43028,38832,32312,25505,15694,10202,201011,11464,16064,15433,12745,9154,5328,3383,73571
北海道,いいえ,46712,58648,55538,51846,49281,39576,38142,339743,52373,62943,60417,53780,45396,39778,47745,362432
青森県,はい,10319,11917,10706,9503,7810,4740,3319,58314,3330,4109,4000,3125,2385,1146,719,18814
青森県,いいえ,11417,13861,13960,13670,14016,13046,14704,94674,14103,17152,16989,16929,16562,17384,20735,119854
岩手県,はい,11354,12713,11299,9507,8121,5528,4060,62582,2769,3362,2998,2059,1573,1026,651,14438
岩手県,いいえ,12641,15030,14480,14644,14658,14870,17536,103859,15457,18396,17998,17690,18279,20337,24612,132769
宮城県,はい,21731,24290,21067,16675,13588,9714,7410,114475,5847,7266,6041,4338,3298,2049,1432,30271
宮城県,いいえ,26917,31671,30012,27233,26358,26625,31728,200544,32760,37866,35688,32697,32154,34634,41884,247683
秋田県,はい,8146,8913,7713,6972,6235,4335,2979,45293,2154,2751,2415,1635,1317,721,422,11415
秋田県,いいえ,9071,10813,10518,11121,11808,11645,13092,78068,12031,13720,13814,14013,14835,15878,17941,102232
山形県,はい,10763,11257,9649,8284,7146,5152,3843,56094,2951,3309,2713,1906,1601,968,507,13955
山形県,いいえ,12827,14490,14070,14154,15387,16233,18476,105637,17061,19003,18533,18863,19747,20777,21858,135842
福島県,はい,16811,18587,15643,13565,11353,8041,5756,89756,4745,5653,4539,3440,2816,1676,1167,24036
福島県,いいえ,18290,21927,21473,21376,22126,22512,26409,154113,22813,26510,26197,26370,27849,29550,33581,192870
茨城県,はい,23606,27297,24824,19055,14318,9398,6435,124933,5580,7607,6880,4545,3203,1780,1168,30763
茨城県,いいえ,33340,41380,40161,34671,31023,29908,34042,244525,35925,43753,43134,37756,35061,36502,41977,274108
栃木県,はい,17205,20144,17610,13491,10529,6845,4904,90728,3951,5155,4847,3098,2180,1325,907,21463
栃木県,いいえ,24089,28759,27341,23971,22138,21315,24072,171685,25067,29954,28877,25466,24671,25944,29952,189931
群馬県,はい,15495,18363,16731,12974,9827,6611,5469,85470,3271,4865,4662,3239,2180,1422,1267,20906
群馬県,いいえ,22104,27639,27367,23783,21494,21136,26663,170186,22854,29506,29643,25927,24165,27390,36559,196044
埼玉県,はい,54023,66177,62840,45867,31874,21228,18050,300059,12075,17754,17842,12407,8711,5775,5129,79693
埼玉県,いいえ,93502,114344,112228,92423,75586,67779,87531,643393,94562,114723,114426,94478,78899,82095,117635,696818
千葉県,はい,44541,54162,51606,37506,26431,17292,14274,245812,10327,15138,14209,10125,7133,4528,3808,65268
千葉県,いいえ,76851,94674,94708,77487,62880,56564,73026,536190,80918,97714,98870,80340,67383,70652,98340,594217
東京都,はい,102356,115890,112580,84907,55067,33904,30478,535182,26406,35372,35009,25838,18912,13107,12165,166809
東京都,いいえ,219676,248000,244276,204551,150515,112093,138729,1317840,239885,269942,263226,208965,156966,139731,199031,1477746
神奈川県,はい,63939,78408,78205,58244,37567,21043,16322,353728,14162,20978,21145,14888,10250,5936,4680,92039
神奈川県,いいえ,127830,155037,160175,136043,99256,70625,83771,832737,128837,154713,158080,125180,91652,77215,106644,842321
新潟県,はい,19649,22574,20126,16619,13838,9610,7382,109798,4606,6388,5332,3869,3106,1920,1259,26480
新潟県,いいえ,27267,32657,31624,29327,27724,27104,33097,208800,31519,38103,36740,34322,32404,34497,42762,250347
富山県,はい,8672,11257,10138,7522,5798,3993,3554,50934,1735,2724,2430,1649,1115,707,579,10939
富山県,いいえ,13806,17540,16429,13865,12264,11071,14312,99287,15049,19479,19051,16443,14708,15100,21344,121174
石川県,はい,8578,11007,9782,7355,5582,3858,3524,49686,1924,3044,2659,2006,1530,1021,962,13146
石川県,いいえ,14428,18363,16587,14129,12644,11322,15070,102543,16653,21003,19910,17023,15358,15323,21599,126869
福井県,はい,6064,7123,6411,5184,4037,2565,2004,33388,1233,1653,1374,1051,765,446,342,6864
福井県,いいえ,9717,11523,10683,9637,8896,7572,8394,66422,10987,13414,13070,11829,10547,9501,11000,80348
山梨県,はい,6599,7818,7661,6052,4655,3271,2517,38573,1707,2300,2355,1883,1331,833,543,10952
山梨県,いいえ,9121,11180,11681,11259,10221,10186,11754,75402,10860,13680,14133,13327,12621,13125,15067,92813
長野県,はい,16439,19536,18358,13857,10234,7262,6129,91815,3359,4821,4221,2806,2063,1256,1011,19537
長野県,いいえ,25222,31555,30832,28136,25487,24509,30626,196367,27969,35679,36068,32910,30272,30997,40349,234244
岐阜県,はい,14847,17921,16218,12655,9908,6852,5956,84357,2651,3857,3468,2570,1950,1346,1091,16933
岐阜県,いいえ,24543,31093,30353,26283,23273,21414,26781,183740,25161,32282,33220,29510,27325,27354,35902,210754
静岡県,はい,30160,35377,32340,25212,18374,11399,9158,162020,6153,8964,7924,5539,4115,2569,2057,37321
静岡県,いいえ,46251,57158,57232,49893,44655,38347,45970,339506,48530,59846,61364,53245,48143,46198,58758,376084
愛知県,はい,59399,70776,66807,49266,33123,20582,18619,318572,9726,14182,13302,9440,7122,4620,4303,62695
愛知県,いいえ,110750,132186,129805,106697,82326,63217,80220,705201,104668,127452,127605,102930,82637,78196,110271,733759
三重県,はい,13607,16801,15210,11983,8588,5985,5451,77625,2777,3820,3354,2538,1874,1105,1011,16479
三重県,いいえ,21268,27226,27499,24121,21104,18777,24522,164517,22721,29099,29815,26238,23970,25363,35165,192371
滋賀県,はい,11129,12484,10926,8483,6389,4211,3596,57218,2157,2867,2349,1586,1229,714,618,11520
滋賀県,いいえ,18998,22492,21041,17983,15727,13754,16871,126866,21401,24747,23838,20578,18582,17508,22570,149224
京都府,はい,15199,18868,17291,13060,9651,6309,5826,86204,3653,5343,4872,3738,2759,1679,1465,23509
京都府,いいえ,29489,37096,36160,30389,25633,20627,26312,205706,32598,40153,39232,32951,27170,24933,35498,232535
大阪府,はい,53426,66362,65372,48565,32884,20181,17187,303977,14857,21331,21412,16375,10842,5950,4880,95647
大阪府,いいえ,98474,125064,125990,100333,76948,58152,73185,658146,107851,133102,135200,108043,82375,73861,105642,746074
兵庫県,はい,33986,42112,39231,30020,22140,14477,12089,194055,6626,9818,8788,6428,4732,2576,2188,41156
兵庫県,いいえ,63972,80717,81283,68532,57963,48398,59564,460429,68219,86148,87313,73042,61889,58553,78545,513709
奈良県,はい,7143,8778,8543,6715,4955,3308,3052,42494,1690,2288,2225,1760,1198,706,641,10508
奈良県,いいえ,13417,17822,18206,15841,13767,11984,15437,106474,15535,19609,20427,17585,15317,15865,22328,126666
和歌山県,はい,5667,7045,6560,5272,4222,2850,2380,33996,1329,1883,1913,1628,1063,576,500,8892
和歌山県,いいえ,8834,11553,11203,10209,9813,8974,11388,71974,9823,12435,12833,12077,11339,11990,15909,86406
鳥取県,はい,3909,4289,3729,3251,2722,1917,1393,21210,812,999,767,571,434,295,181,4059
鳥取県,いいえ,6139,7226,6516,6091,6077,5685,6441,44175,7185,8498,7949,7548,7401,7491,8957,55029
