都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,毎日,763,907,689,533,422,409,481,4204,1056,1257,1294,1043,922,968,1140,7680
北海道,0101,南渡島,時々,2803,3441,3078,2641,2402,2205,2408,18978,2078,2760,2690,2577,2379,2427,3134,18045
北海道,0101,南渡島,ほとんど摂取しない,1063,1534,1573,1640,1578,1257,1324,9969,404,602,629,574,618,664,888,4379
北海道,0102,南檜山,毎日,37,37,28,27,35,22,42,228,49,55,59,45,66,57,78,409
北海道,0102,南檜山,時々,152,177,177,143,149,139,164,1101,109,123,131,129,148,171,236,1047
北海道,0102,南檜山,ほとんど摂取しない,64,121,114,118,106,90,67,680,24,40,23,40,25,30,49,231
北海道,0103,北渡島檜山,毎日,70,71,68,55,49,78,64,455,69,89,88,86,90,104,101,627
北海道,0103,北渡島檜山,時々,256,270,256,221,218,213,225,1659,148,186,158,183,172,217,264,1328
北海道,0103,北渡島檜山,ほとんど摂取しない,63,101,104,110,86,55,67,586,24,45,34,37,32,30,57,259
北海道,0104,札幌,毎日,6489,6806,5336,4034,2909,1760,1192,28526,9714,10350,9537,7269,4901,2634,1873,46278
北海道,0104,札幌,時々,21703,25664,23677,19694,16887,10691,6588,124904,15872,19623,18745,16201,11914,6840,4935,94130
北海道,0104,札幌,ほとんど摂取しない,8277,11276,12384,12261,10993,6114,3205,64510,3367,4551,4609,4011,3114,1724,1136,22512
北海道,0105,後志,毎日,440,525,438,309,273,242,283,2510,545,749,637,550,523,523,613,4140
北海道,0105,後志,時々,1550,1930,1800,1645,1386,1338,1410,11059,994,1366,1407,1346,1187,1250,1645,9195
北海道,0105,後志,ほとんど摂取しない,509,814,833,885,825,637,584,5087,221,294,300,285,306,270,415,2091
北海道,0106,南空知,毎日,329,404,294,259,244,216,244,1990,430,556,548,527,420,392,456,3329
北海道,0106,南空知,時々,1065,1473,1249,1263,1248,1160,1107,8565,742,1062,1066,1034,1053,989,1263,7209
北海道,0106,南空知,ほとんど摂取しない,343,543,589,635,654,502,394,3660,139,202,229,227,240,202,250,1489
北海道,0107,中空知,毎日,198,238,196,169,133,121,150,1205,322,355,328,323,240,235,305,2108
北海道,0107,中空知,時々,666,954,865,834,779,681,788,5567,518,737,678,719,683,706,945,4986
北海道,0107,中空知,ほとんど摂取しない,210,359,371,425,404,281,284,2334,112,137,162,170,163,154,202,1100
北海道,0108,北空知,毎日,47,56,49,40,44,36,55,327,89,93,91,78,81,88,104,624
北海道,0108,北空知,時々,175,238,198,237,227,227,283,1585,146,170,206,200,202,248,326,1498
北海道,0108,北空知,ほとんど摂取しない,51,85,102,118,117,99,100,672,27,32,29,31,25,39,72,255
北海道,0109,西胆振,毎日,324,371,294,238,201,205,298,1931,493,580,552,464,394,441,630,3554
北海道,0109,西胆振,時々,1157,1569,1397,1190,1055,1134,1420,8922,831,1147,1143,1094,1060,1245,1763,8283
北海道,0109,西胆振,ほとんど摂取しない,385,639,668,663,661,538,680,4234,169,279,292,254,252,283,434,1963
北海道,0110,東胆振,毎日,571,671,476,367,255,271,328,2939,763,751,668,518,453,541,654,4348
北海道,0110,東胆振,時々,2300,2720,2213,1921,1593,1525,1717,13989,1195,1628,1451,1435,1266,1536,2087,10598
北海道,0110,東胆振,ほとんど摂取しない,833,1212,1134,1056,972,828,800,6835,296,358,356,324,318,374,459,2485
北海道,0111,日高,毎日,136,161,128,111,76,75,70,757,163,168,168,153,119,125,144,1040
北海道,0111,日高,時々,448,530,456,382,351,349,359,2875,273,372,360,322,305,354,403,2389
北海道,0111,日高,ほとんど摂取しない,158,212,212,189,195,133,122,1221,53,77,67,69,83,70,78,497
北海道,0112,上川中部,毎日,668,797,655,491,366,271,191,3439,1015,1120,1100,778,554,362,292,5221
北海道,0112,上川中部,時々,2698,3187,2897,2530,2231,1480,1007,16030,1843,2304,2273,1905,1505,900,849,11579
北海道,0112,上川中部,ほとんど摂取しない,863,1254,1186,1213,1243,699,400,6858,287,430,421,364,296,194,162,2154
北海道,0113,上川北部,毎日,91,128,97,97,75,50,57,595,146,140,126,117,111,109,122,871
北海道,0113,上川北部,時々,402,511,472,432,424,331,326,2898,250,341,296,304,303,300,371,2165
北海道,0113,上川北部,ほとんど摂取しない,129,173,186,217,195,134,107,1141,53,58,53,58,63,52,64,401
北海道,0114,富良野,毎日,95,96,75,95,64,84,94,603,177,169,162,150,149,163,181,1151
北海道,0114,富良野,時々,293,366,363,344,359,317,385,2427,240,324,337,311,306,338,526,2382
北海道,0114,富良野,ほとんど摂取しない,130,168,165,207,182,154,163,1169,43,73,74,68,76,68,88,490
北海道,0115,留萌,毎日,73,122,87,72,69,66,56,545,102,138,136,124,121,123,143,887
北海道,0115,留萌,時々,317,400,394,352,338,307,310,2418,218,299,286,265,283,299,428,2078
北海道,0115,留萌,ほとんど摂取しない,87,161,172,159,148,108,100,935,31,44,51,59,58,60,72,375
北海道,0116,宗谷,毎日,194,222,184,153,122,103,81,1059,183,191,190,152,154,117,141,1128
北海道,0116,宗谷,時々,510,650,524,505,471,430,387,3477,354,388,379,361,329,340,386,2537
北海道,0116,宗谷,ほとんど摂取しない,170,259,261,270,237,177,125,1499,78,103,70,82,55,67,75,530
北海道,0117,北網,毎日,435,542,419,343,287,203,237,2466,548,648,568,569,483,427,487,3730
北海道,0117,北網,時々,1708,2105,1770,1630,1525,1192,1300,11230,1232,1555,1473,1439,1372,1302,1698,10071
北海道,0117,北網,ほとんど摂取しない,594,810,876,893,883,587,590,5233,236,313,282,318,277,279,438,2143
北海道,0118,遠紋,毎日,138,172,141,116,110,87,97,861,145,167,172,180,123,139,204,1130
北海道,0118,遠紋,時々,435,534,538,511,440,387,464,3309,265,330,381,372,372,451,589,2760
北海道,0118,遠紋,ほとんど摂取しない,158,231,242,255,226,155,185,1452,48,83,91,71,72,81,150,596
北海道,0119,十勝,毎日,850,875,722,576,496,452,483,4454,1051,1172,1139,993,794,801,827,6777
北海道,0119,十勝,時々,2541,3080,2660,2485,2341,2117,2205,17429,1753,2307,2201,2140,2057,2224,2727,15409
北海道,0119,十勝,ほとんど摂取しない,870,1259,1351,1384,1361,997,995,8217,360,498,501,484,517,469,698,3527
北海道,0120,釧路,毎日,600,623,530,352,383,318,346,3152,762,923,802,674,595,619,658,5033
北海道,0120,釧路,時々,1808,2354,2136,1860,1699,1514,1653,13024,1239,1660,1607,1511,1468,1592,1908,10985
北海道,0120,釧路,ほとんど摂取しない,693,935,1015,1062,1035,777,712,6229,259,339,377,321,331,355,408,2390
北海道,0121,根室,毎日,194,187,138,131,108,69,79,906,230,222,211,196,170,160,146,1335
北海道,0121,根室,時々,563,664,549,541,429,401,376,3523,400,440,427,387,388,368,396,2806
北海道,0121,根室,ほとんど摂取しない,181,246,235,221,232,158,135,1408,78,96,97,93,86,89,94,633
青森県,0201,津軽地域,毎日,562,492,430,371,351,299,359,2864,1027,1043,1011,1002,839,744,724,6390
青森県,0201,津軽地域,時々,2227,2367,2203,2013,1741,1186,917,12654,1595,1924,1935,1946,1416,861,712,10389
青森県,0201,津軽地域,ほとんど摂取しない,1035,1358,1304,1392,1327,953,889,8258,444,608,542,614,614,717,870,4409
青森県,0202,八戸地域,毎日,822,794,759,587,490,482,554,4488,1279,1460,1382,1201,1063,1070,1193,8648
青森県,0202,八戸地域,時々,3352,4068,3767,3273,3022,2494,2417,22393,2463,3215,3405,3009,2859,2527,2652,20130
青森県,0202,八戸地域,ほとんど摂取しない,1665,2183,2495,2376,2359,1695,1446,14219,599,856,851,826,758,845,993,5728
青森県,0203,青森地域,毎日,725,788,655,530,441,423,604,4166,1368,1494,1378,1234,1114,1116,1486,9190
青森県,0203,青森地域,時々,2841,3519,3071,2881,2705,2102,2237,19356,2045,2620,2486,2457,2202,2053,2681,16544
青森県,0203,青森地域,ほとんど摂取しない,1717,2169,2316,2327,2227,1584,1676,14016,938,1225,1086,1095,1081,1137,1431,7993
青森県,0204,西北五地域,毎日,187,202,168,178,179,234,301,1449,322,387,439,450,512,633,690,3433
青森県,0204,西北五地域,時々,649,814,774,810,663,555,535,4800,496,577,666,593,573,460,424,3789
青森県,0204,西北五地域,ほとんど摂取しない,418,563,630,666,596,726,820,4419,257,327,359,495,605,865,1064,3972
青森県,0205,上十三地域,毎日,386,413,322,287,284,271,370,2333,606,676,615,596,605,655,733,4486
青森県,0205,上十三地域,時々,1608,1801,1597,1419,1390,1173,1130,10118,1062,1402,1426,1219,1205,1003,967,8284
