都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,1770,2226,2295,2466,2467,2194,2115,15533,12165,16649,16667,12688,8308,5140,4419,76036
北海道,いいえ,71713,89180,82600,73299,64695,47907,42493,471887,43633,52424,49921,45833,40720,36928,43785,313244
青森県,はい,349,358,354,400,347,312,407,2527,2677,3785,3693,2711,1866,1245,1176,17153
青森県,いいえ,20218,24029,22948,21452,20107,16055,15862,140671,13389,16005,15788,15901,15542,15542,17883,110050
岩手県,はい,591,541,457,474,452,510,703,3728,3367,4645,4509,3526,2735,2229,2232,23243
岩手県,いいえ,22602,26257,24439,22880,21570,19355,20593,157696,13927,16035,15477,15356,16349,18710,22775,118629
宮城県,はい,1228,1463,1398,1198,1147,1270,1627,9331,9677,12325,11561,8537,6322,5061,4923,58406
宮城県,いいえ,43502,50144,45805,39362,35594,32949,36325,283681,25759,29255,26821,25527,26623,30440,37965,202390
秋田県,はい,354,415,365,475,468,455,625,3157,2847,3769,3877,3124,2500,2159,2069,20345
秋田県,いいえ,12619,14863,14058,13825,13362,12680,14189,95596,7705,8623,8598,8768,10281,12993,15834,72802
山形県,はい,321,371,359,371,354,347,404,2527,2886,3613,3838,3265,2683,2201,1785,20271
山形県,いいえ,22636,24751,22698,21505,21589,20456,21140,154775,16342,17869,16592,16735,17763,18751,19759,123811
福島県,はい,921,976,922,1018,1068,911,1070,6886,6687,8595,8195,6164,4405,2818,2047,38911
福島県,いいえ,32294,37206,33641,31667,30569,28422,30283,224082,19410,21816,20675,21787,24351,27253,32006,167298
茨城県,はい,1101,1287,1361,1310,1173,990,1183,8405,9350,12680,12697,9042,6178,4917,4485,59349
茨城県,いいえ,51707,62480,59400,48994,40990,36151,38203,337925,28900,34607,33530,29989,29504,31998,37934,226462
栃木県,はい,757,919,874,904,830,762,1016,6062,6070,8288,8234,5934,4116,3014,2600,38256
栃木県,いいえ,37528,44251,40663,33950,29403,25911,27141,238847,20851,24138,23085,20596,21126,23428,27784,161008
群馬県,はい,806,869,989,943,981,1124,1833,7545,5437,7980,8186,5923,4450,4052,4181,40209
群馬県,いいえ,34648,42605,40684,33883,28530,25433,29497,235280,18838,23989,23923,21417,20530,24011,33118,165826
埼玉県,はい,3852,4445,4727,4195,3961,3717,5410,30307,25056,33940,33947,23546,14820,10752,11456,153517
埼玉県,いいえ,135347,165556,159811,125505,96787,78641,92049,853696,75528,91141,90948,77475,67466,70944,102573,576075
千葉県,はい,2678,3251,3528,3235,3147,3119,4969,23927,18932,25921,26772,18516,12575,9956,11012,123684
千葉県,いいえ,110100,135248,132106,102883,80109,67588,80522,708556,65493,78438,77946,65462,57507,63097,89885,497828
