都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,28772,32838,26769,19363,12830,6692,4001,131265,14339,17262,15253,11332,7086,3905,2743,71920
北海道,いいえ,45073,58367,57424,55874,53878,41833,37579,350028,41801,51892,51246,47104,41074,35448,40443,309008
青森県,はい,6754,7346,5976,4508,3095,1584,1084,30347,3540,3953,3585,2564,1808,962,776,17188
青森県,いいえ,13471,16648,16924,16916,16887,14449,14938,110233,12324,15575,15653,15759,15246,15456,17877,107890
岩手県,はい,7335,7701,5882,4322,2885,1581,1046,30752,3348,3752,3174,2229,1515,971,782,15771
岩手県,いいえ,15883,19128,19044,19044,19155,18242,20166,130662,14047,17063,16944,16757,17655,19928,24158,126552
宮城県,はい,14782,15702,12590,8228,5411,3162,2186,62061,6950,7815,6366,4301,2983,1946,1691,32052
宮城県,いいえ,30309,36353,34801,32526,31495,31149,35806,232439,28968,34344,32607,30411,30579,33841,41252,232002
秋田県,はい,3795,3856,3096,2290,1592,1025,721,16375,1917,1985,1765,1254,935,671,565,9092
秋田県,いいえ,8460,10419,10433,11182,11762,11998,14033,78287,8151,9671,10120,10227,11666,14445,17307,81587
山形県,はい,6754,6879,5527,3946,2905,1580,983,28574,3176,3507,3007,2137,1646,890,637,15000
山形県,いいえ,16336,18328,17607,18023,19071,19189,20486,129040,16152,18117,17578,18010,18978,20060,20826,129721
福島県,はい,11089,11737,9409,6837,4810,2867,1860,48609,5478,6058,5257,3907,2942,1707,1370,26719
福島県,いいえ,22405,26703,25451,26111,26992,26282,29213,183157,20929,24743,24195,24617,26405,28272,32382,181543
茨城県,はい,16983,18661,15215,9934,5946,3130,1895,71764,7441,8906,7863,5110,3334,1960,1385,35999
茨城県,いいえ,34298,42757,42348,37732,33372,29553,31113,251173,29473,36690,36565,32140,29806,30261,34360,229295
栃木県,はい,12770,13966,11202,7364,4622,2580,1719,54223,5400,6247,5547,3777,2434,1594,1212,26211
栃木県,いいえ,27032,32947,31766,28548,26597,24633,26682,198205,22175,27012,26529,23423,23380,25144,29261,176924
群馬県,はい,11731,13396,11011,7123,4491,2423,1835,52010,4845,6164,5754,3896,2572,1630,1563,26424
群馬県,いいえ,24614,31049,31511,28326,25642,24414,29549,195105,20026,26584,27030,24022,22798,26550,35685,182695
埼玉県,はい,48501,54531,46504,29110,16852,9003,6911,211412,20427,24254,23105,15519,9259,5623,5464,103651
埼玉県,いいえ,91004,116010,118701,101240,84175,73714,91614,676458,79560,100096,101150,85001,72500,76075,110347,624729
千葉県,はい,40242,45647,39365,24370,14287,7632,5560,177103,17794,20794,19452,12860,7830,4673,4156,87559
千葉県,いいえ,73519,93880,97596,82813,68778,59809,71566,547961,66363,83106,84795,70314,60175,62109,84017,510879
東京都,はい,112420,114501,97704,64682,36024,19725,16433,461489,60552,64098,58151,39348,23657,14285,14273,274364
東京都,いいえ,191319,228653,238058,207989,157896,119691,148389,1291995,189853,222811,222431,182449,144191,134478,193460,1289673
神奈川県,はい,62253,69197,61992,40223,21551,10472,7465,273153,27295,32290,31315,20731,11755,6410,5841,135637
神奈川県,いいえ,118304,150357,162144,142731,107047,76340,89429,846352,105556,131162,135672,110111,84194,73819,103445,743959
新潟県,はい,13648,14899,12174,8529,5725,3170,2235,60380,5695,6813,5703,4029,2681,1655,1535,28111
新潟県,いいえ,32155,39014,38042,35972,34623,32725,37267,249798,29190,36089,34881,32824,31746,33978,41493,240201
富山県,はい,5618,6928,5789,3686,2260,1267,950,26498,2369,3062,2677,1911,1191,771,790,12771
富山県,いいえ,15783,20557,19609,16774,14952,13088,16372,117135,13362,17688,17441,15007,13760,14507,20798,112563
石川県,はい,6321,7514,6220,4051,2574,1421,1226,29327,2865,3804,3350,2380,1609,933,1010,15951
石川県,いいえ,14741,19254,17952,15583,13843,12055,15485,108913,13600,17413,16653,14492,13336,13755,19545,108794
福井県,はい,4255,4655,3793,2520,1662,855,514,18254,1708,2028,1882,1237,822,431,295,8403
福井県,いいえ,10791,13108,12433,11496,10361,7738,7255,73182,9150,11440,11152,10175,8789,7147,7525,65378
山梨県,はい,5323,5827,5159,3578,2270,1193,765,24115,2409,2850,2766,2018,1347,775,491,12656
