都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,976,1916,2754,3826,4855,4686,5287,24300,505,830,1007,1176,1299,1492,2568,8877
北海道,いいえ,72663,89639,82327,72115,62493,45623,39624,464484,55348,68269,65609,57394,47788,40709,45872,380989
青森県,はい,325,563,799,1071,1375,1360,1758,7251,155,206,274,371,448,577,994,3025
青森県,いいえ,20352,23960,22694,20989,19467,15832,15880,139174,15978,19681,19353,18487,17565,17405,19969,128438
岩手県,はい,517,884,1167,1563,1904,2102,2866,11003,373,506,632,701,801,1074,1638,5725
岩手県,いいえ,22686,25931,23753,21806,20127,17750,18382,150435,16942,20199,19376,18196,18301,19831,23317,136162
宮城県,はい,695,1226,1747,2156,2679,3424,5142,17069,394,582,730,818,999,1599,2700,7822
宮城県,いいえ,44072,50413,45505,38447,34093,30814,32814,276158,35067,41033,37695,33277,31969,33922,40197,253160
秋田県,はい,195,346,475,687,881,1178,1642,5404,113,134,202,264,329,511,913,2466
秋田県,いいえ,12790,14954,13966,13627,12977,11978,13195,93487,10445,12273,12278,11638,12468,14656,17002,90760
山形県,はい,284,440,577,825,1139,1323,1788,6376,207,268,341,434,547,691,941,3429
山形県,いいえ,22686,24713,22513,21072,20816,19487,19761,151048,19045,21257,20105,19575,19910,20267,20611,140770
福島県,はい,421,768,1078,1554,2079,2489,3335,11724,200,326,395,569,753,1019,1722,4984
福島県,いいえ,32840,37475,33543,31193,29611,26882,28053,219597,25917,30097,28494,27400,28034,29095,32353,201390
茨城県,はい,604,1101,1627,2064,2428,2915,4204,14943,355,520,565,662,861,1267,2342,6572
茨城県,いいえ,52300,62749,59221,48293,39779,34263,35207,331812,38010,46860,45749,38435,34853,35684,40091,279682
栃木県,はい,471,863,1238,1499,1793,2153,2989,11006,283,342,442,490,678,947,1579,4761
栃木県,いいえ,37856,44342,40357,33400,28461,24553,25188,234157,26584,31998,30777,25985,24529,25489,28810,194172
群馬県,はい,410,733,1179,1415,1680,2040,3215,10672,238,342,411,510,644,902,1757,4804
群馬県,いいえ,35130,42847,40607,33502,27907,24559,28180,232732,24078,31688,31763,26876,24395,27205,35594,201599
埼玉県,はい,1505,2642,4170,5196,5947,6202,9837,35499,706,1027,1391,1496,1725,2378,5096,13819
埼玉県,いいえ,137990,167771,160771,124801,95050,76281,87588,850252,100140,124399,123891,99851,80816,79480,108914,717491
千葉県,はい,1262,2375,3789,4476,5018,5678,9206,31804,721,999,1287,1474,1661,2347,4738,13227
千葉県,いいえ,111679,136371,132027,101790,78330,65208,76428,701833,83760,103424,103498,82573,68490,70779,96190,608714
東京都,はい,3318,5450,8517,10932,11509,11842,19226,70794,1762,2529,3199,3546,3726,4990,10959,30711
東京都,いいえ,297617,334488,323716,258836,181019,127462,145993,1669131,247751,283593,276265,216960,163404,143939,197431,1529343
