都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,28021,33611,29779,24000,17325,10760,8040,151536,12543,15475,14362,11448,7354,4440,4353,69975
北海道,いいえ,45840,57672,54487,51322,49433,37734,33429,329917,43678,53692,52186,47021,40827,34830,38621,310855
青森県,はい,7764,9439,8855,7973,6396,4486,4027,48940,3996,4991,4668,3967,3042,2400,2741,25805
青森県,いいえ,12477,14579,14067,13455,13607,11556,11995,91736,11874,14549,14576,14354,14011,14011,15910,99285
岩手県,はい,9939,11326,10128,8796,7190,5595,5561,58535,4828,5860,5349,4493,3480,3276,4156,31442
岩手県,いいえ,13310,15562,14853,14616,14890,14237,15640,103108,12603,14988,14792,14513,15705,17620,20758,110979
宮城県,はい,19548,22143,19416,14800,11198,8210,7670,102985,8695,10270,8867,6711,4915,3950,4813,48221
宮城県,いいえ,27726,32321,30025,27795,27610,27456,31031,203964,28727,33599,31783,29448,29836,32380,38341,224114
秋田県,はい,4361,4950,4736,4408,3841,3130,3484,28910,2242,2487,2389,1973,1697,1827,2260,14875
秋田県,いいえ,7991,9424,8898,9163,9600,9950,11305,66331,7875,9260,9579,9566,10954,13310,15612,76156
山形県,はい,7839,8504,7668,6579,5379,3677,3086,42732,3894,4161,3804,3150,2364,1671,1570,20614
山形県,いいえ,15260,16713,15497,15402,16605,17090,18376,114943,15436,17463,16777,17003,18253,19273,19882,124087
福島県,はい,13025,14548,12760,11120,8694,6457,6232,72836,6046,6994,6466,5533,4257,3381,3804,36481
福島県,いいえ,20524,23948,22172,21890,23171,22818,24883,159406,20413,23861,23032,23017,25149,26703,29956,172131
茨城県,はい,21831,26041,23573,17846,12020,7987,7285,116583,8725,10825,10124,7474,5041,4160,5082,51431
茨城県,いいえ,29631,35589,34183,29944,27380,24730,25715,207172,28259,34865,34416,29857,28125,28055,30647,214224
栃木県,はい,16322,19080,16612,12582,8847,6235,5749,85427,6199,7477,6880,5163,3574,2811,3283,35387
栃木県,いいえ,23492,27866,26389,23345,22391,20981,22649,167113,21389,25806,25230,22054,22236,23919,27170,167804
群馬県,はい,15010,18231,16766,12833,8936,6146,6294,84216,5846,7265,7179,5507,3715,3124,4099,36735
群馬県,いいえ,21384,26277,25815,22658,21233,20686,25083,163136,19043,25521,25629,22421,21639,25034,33079,172366
埼玉県,はい,62852,76030,70521,50722,31603,19318,18515,329561,24823,30419,28550,20810,12863,8828,11854,138147
埼玉県,いいえ,76811,94687,94849,79799,69527,63410,80016,559099,75189,93978,95680,79677,68829,72845,103890,590088
千葉県,はい,51345,63047,59226,41843,26407,16225,14630,272723,21211,25583,24580,17463,11045,7544,9138,116564
千葉県,いいえ,62593,76690,78063,65562,56806,51273,62486,453473,63100,78556,79880,65878,56973,59223,78943,482553
東京都,はい,126412,142269,133906,97315,57513,32177,30055,619647,63232,70500,65797,47459,28056,16926,20485,312455
東京都,いいえ,178169,201863,203160,176323,136707,106272,132358,1134852,187621,216911,215178,174258,139125,129905,183410,1246408
神奈川県,はい,79294,95902,92857,67501,38419,19396,16576,409945,32863,39557,38385,26963,15486,8494,10046,171794
神奈川県,いいえ,102332,124834,132525,116333,90829,67772,80527,715152,100780,124809,129551,104514,80837,71842,99219,711552
新潟県,はい,16842,20035,18286,15131,11238,7677,7138,96347,7604,9287,8156,6481,4447,3351,4106,43432
新潟県,いいえ,28968,33899,31964,29399,29110,28206,32310,213856,27298,33625,32444,30384,29976,32254,38815,224796
富山県,はい,7920,10189,9080,6994,4991,3516,3783,46473,3351,4453,4030,3134,2161,1806,2887,21822
富山県,いいえ,13978,17857,16787,13909,12661,11181,13729,100102,12729,16828,16572,14193,13098,13645,18777,105842
石川県,はい,7543,9789,8621,6535,4727,3302,3763,44280,3565,4740,4348,3394,2435,1882,2678,23042
石川県,いいえ,13542,16994,15563,13105,11685,10149,12889,93927,12916,16504,15679,13493,12516,12779,17804,101691
福井県,はい,5486,6569,5727,4593,3270,1873,1463,28981,2241,2761,2549,2010,1343,862,854,12620
福井県,いいえ,9567,11204,10506,9429,8762,6722,6307,62497,8630,10722,10495,9411,8281,6719,6963,61221
山梨県,はい,5918,6934,6878,5471,3705,2356,1843,33105,2755,3345,3322,2576,1640,1109,986,15733
山梨県,いいえ,9287,11388,11759,11267,10658,10577,11727,76663,9389,12092,12625,12117,11846,12389,13912,84370
長野県,はい,16084,19165,17969,13646,9240,6223,5807,88134,6801,8475,7933,6212,4319,3041,3487,40268
長野県,いいえ,24323,30380,29621,26839,24826,22796,26413,185198,23501,30628,30799,28012,26214,26178,32487,197819
岐阜県,はい,13385,16138,14449,10576,6856,4194,3916,69514,4732,5917,5697,4468,2971,2118,2730,28633
岐阜県,いいえ,23951,30174,29593,26080,23739,20619,23409,177565,21067,27618,28247,25001,23193,22076,27239,174441
静岡県,はい,28384,33723,31141,22971,14556,8248,7119,146142,10142,12684,12114,8955,5778,3343,3768,56784
静岡県,いいえ,45278,55378,55381,49433,45942,39223,45222,335857,42654,53626,54685,47574,44419,42970,53501,339429
愛知県,はい,65482,76323,69277,48691,28413,14928,13920,317034,20181,24606,23554,16759,10361,6868,9528,111857
愛知県,いいえ,92648,112472,113395,96342,78783,63843,81252,638735,85498,106208,106460,87068,73587,72708,101764,633293
三重県,はい,12897,16022,14561,11270,7296,4263,4082,70391,4520,5723,5457,4244,2937,2060,2653,27594
三重県,いいえ,20500,26252,26612,23370,21284,19821,25453,163292,19300,25203,25728,22778,21692,23791,33117,171609
滋賀県,はい,12546,14555,12669,9267,6234,3564,3148,61983,4917,5634,5176,3880,2710,1753,1969,26039
滋賀県,いいえ,16896,19557,18513,16416,15167,13429,15885,115863,18046,21279,20370,17678,16445,15583,19855,129256
京都府,はい,17726,21897,20216,14720,9689,5794,5533,95575,7684,9526,8813,6779,4216,2585,3361,42964
京都府,いいえ,24551,31097,30428,26160,23710,19987,25542,181475,26230,33033,32571,27708,24243,23059,32645,199489
大阪府,はい,58574,71887,68388,47761,29236,14444,10655,300945,24930,30487,30090,21467,12173,5924,5583,130654
大阪府,いいえ,76822,98073,100771,82248,65220,46298,49342,518774,81372,103048,103941,82529,61101,48130,59455,539576
兵庫県,はい,37204,46305,42767,31562,20336,11332,9649,199155,14681,18490,17845,13231,8229,4837,5595,82908
兵庫県,いいえ,52363,65614,66614,57696,52060,44622,53409,392378,52877,67945,68305,57435,50852,49464,64966,411844
奈良県,はい,7672,9792,9372,6940,4514,2644,2257,43191,3388,4164,4077,3140,1879,1225,1460,19333
奈良県,いいえ,10748,14059,14739,13269,12260,10700,13336,89111,12094,15508,16201,14056,12546,12751,17378,100534
和歌山県,はい,4932,6308,5706,4696,3299,2131,2150,29222,2017,2564,2527,2092,1407,1096,1509,13212
和歌山県,いいえ,8239,10673,10452,9491,9624,9015,11101,68595,7654,9793,10278,9860,9664,10690,14187,72126
鳥取県,はい,3417,3966,3243,2751,2166,1484,1348,18375,1713,1939,1723,1448,1086,880,961,9750
鳥取県,いいえ,5993,6881,6338,5951,6070,5693,6025,42951,5702,6942,6392,6034,6246,6415,7596,45327
島根県,はい,4115,4798,4191,3372,2793,2170,2202,23641,2016,2315,2002,1622,1223,1030,1420,11628
島根県,いいえ,7412,8856,7860,7419,8113,8051,9829,57540,7294,9099,8285,8048,8666,9416,12108,62916
岡山県,はい,13277,16355,13773,10105,7177,4632,3936,69255,5567,6767,6065,4470,3109,2021,2405,30404
岡山県,いいえ,19318,24136,22307,18682,18347,16851,18647,138288,19395,24790,23384,19771,19334,19142,23599,149415
広島県,はい,19612,24163,21490,15733,10577,5752,4196,101523,8021,10083,9567,6858,4335,2352,2249,43465
広島県,いいえ,29033,36937,35320,30224,26528,19314,18189,195545,26656,34157,32441,26745,22791,18273,19267,180330
山口県,はい,8119,10080,8846,6802,5059,3140,2607,44653,3228,4125,4022,3073,2030,1311,1560,19349
山口県,いいえ,13042,17025,15569,13422,13142,11372,12122,95694,11391,14751,14796,12709,12388,12134,14884,93053
徳島県,はい,3937,4834,4138,3585,2704,2005,2310,23513,1913,2302,2316,1866,1337,1212,1620,12566
徳島県,いいえ,6806,7939,7661,7007,7013,7265,8987,52678,6635,8226,8101,7586,7878,9465,11761,59652
香川県,はい,5936,7480,6370,4794,3595,2169,2115,32459,2729,3433,3123,2295,1650,1053,1321,15604
香川県,いいえ,9160,11457,10722,9297,9092,8856,11301,69885,9404,12068,11287,9682,9840,10681,15083,78045
愛媛県,はい,8526,10566,9210,7269,5123,2886,2158,45738,3835,4712,4504,3459,2213,1274,1132,21129
愛媛県,いいえ,14340,17775,16083,14662,13947,10668,10187,97662,13630,16759,16299,14462,13351,11484,12080,98065
高知県,はい,4079,4979,4419,3555,2817,2162,2253,24264,2343,2832,2627,2009,1429,1014,1355,13609
高知県,いいえ,7116,8851,7778,6990,7003,6799,8196,52733,6798,8682,8256,7660,7945,8625,11049,59015
福岡県,はい,38671,42615,35550,26028,18422,11918,10211,183415,16918,18681,16762,12247,8014,5286,5985,83893
福岡県,いいえ,48604,55847,52310,45947,45713,41839,48358,338618,52120,60475,57199,49438,46169,47720,60368,373489
