都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,4596,11782,17993,23687,28681,25626,26073,138438,1834,4938,8693,11547,13184,15056,22633,77885
北海道,いいえ,77557,89897,76380,60473,46106,29645,22271,402329,62003,74071,67157,54977,41366,30050,28495,358119
青森県,はい,1798,4046,6091,8003,9614,9432,10643,49627,721,1843,3080,4376,5662,7075,10366,33123
青森県,いいえ,19938,21732,18575,15170,12212,8354,7380,103361,16712,19418,17909,15678,13284,11455,11088,105544
岩手県,はい,1698,3753,5580,7457,9124,9684,11420,48716,666,1523,2740,3812,5159,7230,10624,31754
岩手県,いいえ,22297,23989,20199,16694,13655,10714,10176,117724,17560,20235,18256,15937,14693,14133,14639,115453
宮城県,はい,3632,7869,11772,14799,17359,18249,21664,95344,1299,3113,5407,7198,9246,12400,18702,57365
宮城県,いいえ,45015,48092,39307,29109,22587,18090,17474,219674,37308,42019,36322,29837,26207,24283,24614,220590
秋田県,はい,1309,3061,4503,6395,8081,8074,8958,40381,549,1406,2381,3367,4532,5809,8017,26061
秋田県,いいえ,15909,16665,13728,11699,9962,7905,7113,82981,13636,15065,13847,12280,11620,10790,10346,87584
山形県,はい,1755,3637,5577,7413,9792,10789,12536,51499,706,1634,3033,4338,5912,7916,10568,34107
山形県,いいえ,21835,22109,18141,15022,12740,10596,9783,110226,19306,20678,18213,16430,15432,13829,11797,115685
福島県,はい,2601,5917,8610,11535,14340,15410,18459,76872,992,2416,4288,6192,8522,11342,16356,50108
福島県,いいえ,32500,34597,28506,23405,19139,15143,13706,166996,26566,29747,26448,23617,22142,19884,18392,166796
茨城県,はい,3424,8370,13320,15792,17731,17684,19954,96275,1175,3017,5642,7504,8835,11680,16965,54818
茨城県,いいえ,53521,60307,51664,37933,27608,21623,20523,273179,40327,48342,44371,34797,29427,26601,26180,250045
栃木県,はい,2477,6034,9285,11135,12732,12819,15081,69563,747,2129,3842,5103,6674,8765,13259,40519
栃木県,いいえ,38817,42868,35665,26326,19934,15341,13895,192846,28271,32978,29882,23459,20177,18504,17600,170871
群馬県,はい,2168,5282,8562,10398,11854,12401,16441,67106,737,2053,3793,5045,6205,9381,16222,43436
群馬県,いいえ,35431,40721,35536,26359,19467,15346,15691,188551,25388,32318,30512,24121,20140,19431,21604,173514
埼玉県,はい,7666,19584,32431,38082,39957,39404,53673,230797,2474,7119,13939,17136,19898,27037,50312,137915
埼玉県,いいえ,139858,160934,142637,100207,67504,49603,51910,712653,104162,125358,118328,89748,67711,60834,72452,638593
千葉県,はい,6343,16273,27061,32055,33764,32818,43630,191944,2031,6044,11535,14346,16461,22138,39871,112426
千葉県,いいえ,115045,132560,119249,82934,55544,41038,43670,590040,89206,106808,101536,76114,58050,53042,62277,547033
東京都,はい,14875,35752,61500,74920,73789,65339,88094,414269,4934,13045,26154,33094,35906,44318,83404,240855
東京都,いいえ,307162,328143,295359,214540,131794,80659,81113,1438770,261360,292269,272080,201711,139975,108522,127795,1403712
神奈川県,はい,9461,24029,41957,51035,48899,39647,49469,264497,2954,8387,16398,20128,21142,23499,42512,135020
神奈川県,いいえ,182309,209416,196420,143255,87925,52019,50624,921968,140043,167305,162826,119940,80755,59651,68811,799331
新潟県,はい,2520,6136,9693,12810,15736,16610,21145,84650,966,2453,4361,6149,7904,10903,17777,50513
新潟県,いいえ,44396,49095,42057,33136,25826,20104,19334,233948,35159,42038,37711,32042,27606,25514,26244,226314
富山県,はい,1172,3111,4923,5987,6902,6824,9458,38377,417,1282,2302,2991,3736,5136,9494,25358
富山県,いいえ,21305,25686,21644,15400,11160,8240,8408,111843,16367,20921,19179,15101,12087,10671,12428,106754
石川県,はい,1218,3071,4831,5915,6746,7027,10034,38842,434,1296,2425,3040,3971,5332,9998,26496
