都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,1610,1948,1653,1438,1040,769,727,9185,769,979,1002,820,540,431,422,4963
北海道,0101,南渡島,いいえ,2888,3796,3517,3232,3198,3005,3408,23044,2741,3617,3619,3337,3337,3594,4735,24980
北海道,0102,南檜山,はい,77,93,94,90,79,59,47,539,48,58,53,48,32,22,37,298
北海道,0102,南檜山,いいえ,196,257,239,215,222,206,228,1563,160,180,195,193,224,243,326,1521
北海道,0103,北渡島檜山,はい,120,140,127,110,76,73,67,713,40,49,61,53,46,42,56,347
北海道,0103,北渡島檜山,いいえ,276,310,303,280,283,275,293,2020,208,275,228,260,255,312,366,1904
北海道,0104,札幌,はい,15312,18013,16316,12544,8556,4657,2444,77842,6909,8221,7525,5755,3350,1453,909,34122
北海道,0104,札幌,いいえ,22142,26770,26086,24164,22806,14288,8762,145018,22548,26925,25958,22228,16930,9890,7140,131619
北海道,0105,後志,はい,886,1159,1092,870,639,525,474,5645,396,574,517,428,285,200,306,2706
北海道,0105,後志,いいえ,1632,2111,1997,1972,1851,1718,1829,13110,1376,1858,1839,1775,1757,1861,2413,12879
北海道,0106,南空知,はい,613,842,740,637,577,425,335,4169,263,418,417,341,270,163,211,2083
北海道,0106,南空知,いいえ,1151,1616,1435,1561,1596,1465,1407,10231,1070,1427,1464,1467,1462,1431,1764,10085
北海道,0107,中空知,はい,348,508,477,439,343,248,249,2612,193,279,241,238,175,139,168,1433
北海道,0107,中空知,いいえ,741,1086,991,1023,1013,926,1117,6897,785,987,967,1021,981,1104,1494,7339
北海道,0108,北空知,はい,58,115,101,110,85,70,79,618,48,44,47,41,32,32,48,292
北海道,0108,北空知,いいえ,218,266,252,291,318,302,366,2013,222,259,291,290,300,354,467,2183
北海道,0109,西胆振,はい,767,1043,871,692,516,385,393,4667,350,458,444,354,241,192,256,2295
北海道,0109,西胆振,いいえ,1405,1951,1814,1618,1582,1587,2018,11975,1243,1662,1663,1553,1519,1782,2568,11990
北海道,0110,東胆振,はい,1541,1797,1362,1167,724,549,523,7663,494,617,544,478,317,233,271,2954
北海道,0110,東胆振,いいえ,2168,2834,2480,2211,2125,2056,2255,16129,1818,2210,2004,1861,1739,2171,2816,14619
北海道,0111,日高,はい,214,236,228,172,134,95,130,1209,106,133,137,101,62,61,74,674
北海道,0111,日高,いいえ,513,671,566,516,494,446,413,3619,393,507,471,459,456,480,563,3329
北海道,0112,上川中部,はい,1606,1897,1659,1372,1028,527,356,8445,671,842,870,604,422,194,170,3773
北海道,0112,上川中部,いいえ,2721,3437,3159,2920,2898,1987,1308,18430,2532,3098,2988,2529,2014,1327,1202,15690
北海道,0113,上川北部,はい,180,217,189,180,198,91,109,1164,80,116,82,92,56,58,57,541
北海道,0113,上川北部,いいえ,453,613,582,578,503,428,403,3560,385,435,421,399,449,416,527,3032
北海道,0114,富良野,はい,178,183,182,174,127,105,120,1069,102,90,82,78,70,58,87,567
北海道,0114,富良野,いいえ,346,454,431,481,481,450,525,3168,362,481,495,457,463,510,708,3476
北海道,0115,留萌,はい,126,176,189,152,116,105,95,959,74,117,77,81,68,63,69,549
北海道,0115,留萌,いいえ,356,500,461,429,439,375,371,2931,281,366,406,374,403,423,571,2824
北海道,0116,宗谷,はい,271,354,276,264,212,169,132,1678,122,144,125,117,86,66,61,721
北海道,0116,宗谷,いいえ,614,782,708,675,638,563,479,4459,506,548,524,496,476,463,546,3559
北海道,0117,北網,はい,872,1069,874,757,638,365,347,4922,376,479,400,369,264,191,250,2329
北海道,0117,北網,いいえ,1913,2445,2233,2147,2090,1621,1773,14222,1668,2083,1961,2004,1885,1824,2354,13779
北海道,0118,遠紋,はい,238,289,250,227,166,129,135,1434,101,123,127,122,90,62,99,724
北海道,0118,遠紋,いいえ,518,687,700,696,646,531,641,4419,389,499,557,543,532,647,888,4055
北海道,0119,十勝,はい,1583,1848,1649,1378,1067,722,659,8906,711,883,820,690,450,403,441,4398
北海道,0119,十勝,いいえ,2934,3731,3386,3367,3348,2964,3146,22876,2683,3400,3347,3182,3073,3171,3929,22785
北海道,0120,釧路,はい,1117,1342,1187,1001,813,565,508,6533,532,685,640,501,397,308,276,3339
北海道,0120,釧路,いいえ,2009,2587,2468,2268,2302,2032,2197,15863,1752,2262,2184,2039,2020,2263,2690,15210
北海道,0121,根室,はい,304,342,263,226,191,127,111,1564,158,166,151,137,101,69,85,867
北海道,0121,根室,いいえ,646,768,679,678,600,509,490,4370,556,613,604,554,552,564,554,3997
青森県,0201,津軽地域,はい,1398,1633,1498,1388,1069,660,487,8133,733,854,826,685,491,274,289,4152
青森県,0201,津軽地域,いいえ,2440,2616,2473,2402,2357,1743,1623,15654,2349,2731,2681,2898,2375,1996,1966,16996
青森県,0202,八戸地域,はい,2394,2963,2957,2456,2035,1410,1176,15391,1252,1551,1503,1255,952,777,824,8114
青森県,0202,八戸地域,いいえ,3481,4132,4105,3817,3862,3275,3245,25917,3112,4018,4163,3812,3751,3666,4013,26535
青森県,0203,青森地域,はい,2060,2558,2360,2196,1690,1091,1009,12964,1049,1324,1183,1040,763,529,671,6559
青森県,0203,青森地域,いいえ,3312,3999,3742,3610,3727,3044,3518,24952,3370,4078,3814,3797,3683,3793,4940,27475
青森県,0204,西北五地域,はい,440,575,537,570,423,375,424,3344,223,281,319,289,252,261,288,1913
青森県,0204,西北五地域,いいえ,830,1021,1054,1099,1020,1141,1231,7396,874,1072,1208,1306,1469,1696,1889,9514
青森県,0205,上十三地域,はい,1130,1334,1139,1025,891,712,706,6937,558,730,621,527,457,434,532,3859
青森県,0205,上十三地域,いいえ,1844,2075,2023,1834,1894,1670,1695,13035,1608,1941,1964,1858,1946,2025,2223,13565
青森県,0206,下北地域,はい,342,376,364,338,288,238,225,2171,181,251,216,171,127,125,137,1208
青森県,0206,下北地域,いいえ,570,736,670,693,747,683,683,4782,561,709,746,683,787,835,879,5200
岩手県,0301,盛岡,はい,4188,4823,4311,3557,2882,2045,1915,23721,2088,2607,2365,1922,1366,1173,1389,12910
岩手県,0301,盛岡,いいえ,5397,6300,6034,5655,5749,4978,5662,39775,5328,6273,5987,5642,5917,6348,7698,43193
岩手県,0302,岩手中部,はい,2037,2265,1906,1668,1200,881,949,10906,893,1074,921,763,590,513,725,5479
岩手県,0302,岩手中部,いいえ,2592,2900,2605,2618,2615,2618,2686,18634,2293,2762,2643,2605,2672,3115,3576,19666
岩手県,0303,胆江,はい,1187,1269,983,931,788,653,646,6457,520,595,511,455,351,372,491,3295
岩手県,0303,胆江,いいえ,1463,1784,1559,1539,1717,1772,1844,11678,1418,1630,1483,1562,1822,2081,2488,12484
岩手県,0304,両磐,はい,882,977,823,782,666,564,550,5244,403,486,447,404,312,308,360,2720
岩手県,0304,両磐,いいえ,1275,1440,1341,1411,1542,1529,1637,10175,1176,1364,1327,1423,1610,1786,1885,10571
岩手県,0305,気仙,はい,278,372,386,354,296,255,249,2190,166,221,182,169,111,142,205,1196
岩手県,0305,気仙,いいえ,551,753,768,802,697,682,777,5030,510,656,745,810,794,933,1050,5498
岩手県,0306,釜石,はい,237,300,307,268,196,152,135,1595,124,145,147,116,83,71,92,778
岩手県,0306,釜石,いいえ,395,478,475,481,449,483,499,3260,342,418,423,456,500,540,732,3411
岩手県,0307,宮古,はい,434,488,560,462,374,325,359,3002,211,253,237,224,183,195,257,1560
岩手県,0307,宮古,いいえ,671,752,870,906,810,858,1101,5968,582,754,837,757,935,1107,1431,6403
岩手県,0308,久慈,はい,336,415,429,385,399,350,400,2714,213,251,277,207,235,242,310,1735
岩手県,0308,久慈,いいえ,508,606,620,545,664,579,665,4187,471,569,657,608,721,816,906,4748
岩手県,0309,二戸,はい,360,417,423,389,389,370,358,2706,210,228,262,233,249,260,327,1769
岩手県,0309,二戸,いいえ,458,549,581,659,647,738,769,4401,483,562,690,650,734,894,992,5005
宮城県,0401,仙南,はい,1200,1307,1096,931,824,734,708,6800,531,652,536,469,388,389,403,3368
宮城県,0401,仙南,いいえ,1962,2172,1999,1956,2181,2517,2776,15563,1796,2183,2061,2152,2411,2835,3088,16526
宮城県,0403,仙台,はい,14216,16399,14357,10391,7422,4947,4395,72127,6414,7506,6471,4680,3187,2336,2690,33284
宮城県,0403,仙台,いいえ,18679,22419,21080,18645,17434,16584,19193,134034,20289,23894,22300,19356,18632,19673,24670,148814
宮城県,0406,大崎・栗原,はい,2039,2116,1831,1566,1328,1112,1029,11021,833,1011,861,696,611,558,732,5302
宮城県,0406,大崎・栗原,いいえ,3245,3419,2900,3207,3707,3795,3886,24159,3079,3396,3216,3381,3839,4316,4227,25454
宮城県,0409,石巻・登米・気仙沼,はい,2093,2321,2132,1912,1624,1417,1538,13037,917,1101,999,866,729,667,988,6267
