都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,1,64204,76503,67590,57126,48679,34925,30609,379636,49743,59524,55414,46432,37302,29996,32574,310985
北海道,2,7513,11981,14059,15783,15918,12036,9727,87017,5123,7837,9250,10388,9634,8427,9467,60126
北海道,3,465,823,932,1125,1152,1083,1101,6681,201,255,324,375,421,646,1004,3226
青森県,1,17499,19949,18159,15830,13963,11212,11431,108043,14074,16931,16111,14559,13011,12389,13635,100710
青森県,2,2431,3652,4359,5144,5567,4503,4376,30032,1499,2243,2735,3378,3751,3913,4903,22422
青森県,3,104,198,232,286,343,296,267,1726,28,39,57,72,72,93,145,506
岩手県,1,20111,22227,19483,16900,15319,13885,15276,123201,15789,18255,16784,15007,14616,15608,18404,114463
岩手県,2,2467,3774,4522,5314,5873,5301,5444,32695,1373,2182,2910,3509,4169,5000,6172,25315
岩手県,3,219,347,462,545,517,494,435,3019,56,136,180,238,211,200,312,1333
宮城県,1,40375,44868,39268,32046,27963,25569,28029,238118,32897,37598,33757,29037,26965,27644,32453,220351
宮城県,2,6321,8797,9389,9800,10076,9490,10231,64104,4009,5640,6256,6486,7241,8413,10394,48439
宮城県,3,211,288,355,413,495,479,444,2685,46,87,117,120,108,123,223,824
秋田県,1,10583,11940,10714,10010,9390,9182,10569,72388,8999,10178,10012,9285,9780,11525,13533,73312
秋田県,2,1408,2073,2485,3093,3612,3596,3921,20188,894,1348,1671,1976,2596,3419,4158,16062
秋田県,3,57,93,120,148,184,171,204,977,19,27,40,37,58,55,82,318
山形県,1,20353,21526,18822,17390,16614,15679,16482,126866,17652,19395,17894,17189,17164,17150,17461,123905
山形県,2,2341,3200,3867,4105,4762,4607,4654,27536,1428,1927,2356,2722,3249,3676,3992,19350
山形県,3,134,178,189,214,292,266,224,1497,34,39,67,53,62,60,56,371
福島県,1,28239,31182,27194,24354,22628,21196,23307,178100,23323,26678,24475,22808,22992,23384,26200,169860
福島県,2,4273,6102,6644,7557,8131,7425,7372,47504,2654,3665,4449,5188,5968,6462,7342,35728
福島県,3,187,280,336,398,475,382,316,2374,50,74,94,111,134,127,154,744
茨城県,1,44029,50673,45288,35736,28290,23768,24307,252091,32964,39631,37064,30031,26071,24936,27253,217950
茨城県,2,5812,8921,10414,10179,9417,7943,7973,60659,3464,5250,6432,6436,6353,6799,7909,42643
茨城県,3,293,438,530,528,525,332,257,2903,68,86,123,118,107,78,94,674
栃木県,1,33197,37693,33209,26538,22307,19541,20333,192818,23949,28180,26330,21758,20185,20388,22933,163723
栃木県,2,5336,7502,8059,7888,7700,6965,7547,50997,3073,4332,5116,4912,5187,6025,7266,35911
栃木県,3,609,914,950,835,891,643,464,5306,176,241,246,207,186,159,192,1407
群馬県,1,31993,37756,34916,27954,22823,20319,23336,199097,22482,28942,28060,23220,20629,22570,28995,174898
群馬県,2,3654,5826,6722,6682,6572,6018,7590,43064,2007,3281,4147,4123,4191,5257,7892,30898
群馬県,3,306,419,488,481,469,426,398,2987,67,91,121,107,95,115,184,780
埼玉県,1,121512,143906,134290,101946,76555,62526,75205,715940,89218,108550,105268,82502,65915,65782,91557,608792
埼玉県,2,14929,22833,26680,24446,21315,18498,22088,150789,9323,13722,16604,15712,14139,15152,23458,108110
埼玉県,3,1031,1570,1811,1636,1511,1227,1361,10147,306,422,531,475,428,449,722,3333
千葉県,1,97491,115751,109507,82388,61126,49039,56751,572053,74109,89552,87229,67401,53619,52046,68196,492152
千葉県,2,12945,19489,22820,20714,18571,15923,18126,128588,8139,11979,14373,13490,12543,13220,18336,92080
千葉県,3,980,1362,1618,1501,1347,1145,1009,8962,301,407,464,370,338,308,433,2621
東京都,1,269565,295291,278089,218300,151323,107060,124087,1443715,224990,252790,240611,184923,137088,119166,162481,1322049
東京都,2,29319,41705,49564,47476,38217,30314,38370,274965,23469,31984,37523,34695,29079,28349,43332,228431
東京都,3,1620,2217,2603,2387,2088,1688,2046,14649,680,828,924,782,647,647,1037,5545
神奈川県,1,157027,184414,181657,143687,98479,66239,73309,904812,118590,142936,142364,108665,78231,64692,86213,741691
神奈川県,2,18792,28575,34645,32590,25910,18864,22305,181681,12606,18136,22081,20044,16273,14845,22367,126352
