都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,35827,43566,40419,35650,31493,23645,20942,231542,21334,27541,28159,26373,23034,19225,21769,167435
北海道,いいえ,37739,47235,43532,39472,35060,24768,20598,248404,34670,41440,38186,31957,25011,19992,21307,212563
青森県,はい,8969,10488,10293,9474,8843,7218,7345,62630,5622,7460,7925,8107,7850,7785,8817,53566
青森県,いいえ,11262,13512,12633,11940,11143,8810,8668,77968,10197,12007,11239,10148,9147,8588,9812,71138
岩手県,はい,10311,12176,11242,10278,9603,8929,9974,72513,6224,7897,8205,7931,8626,9602,11598,60083
岩手県,いいえ,12756,14469,13508,12945,12366,10868,11229,88141,11135,12843,11850,10989,10500,11264,13298,81879
宮城県,はい,19532,22495,21457,18344,16260,15689,17764,131541,12786,15635,15876,15371,15733,17085,20898,113384
宮城県,いいえ,25575,29498,25997,22399,20571,18595,20216,162851,23049,26469,23014,19247,17752,18638,21983,150152
秋田県,はい,5392,6247,5923,5948,5884,5893,6919,42206,3455,4165,4607,4776,5560,6973,8529,38065
秋田県,いいえ,6967,8126,7704,7633,7555,7174,7843,53002,6626,7553,7311,6700,7049,8144,9344,52727
山形県,はい,7950,8826,8528,8014,7763,6554,6572,54207,5089,5763,6138,6434,6716,6142,6307,42589
山形県,いいえ,15121,16383,14619,13946,14204,14204,14883,103360,14197,15819,14407,13668,13871,14776,15129,101867
福島県,はい,14370,16820,15991,15050,14770,13881,15179,106061,8833,11123,11515,12367,13345,14284,16150,87617
福島県,いいえ,19164,21624,18883,17918,17063,15377,15931,125960,17612,19723,17947,16168,16015,15793,17569,120827
茨城県,はい,22991,27349,26931,22714,18806,16934,18598,154323,13515,17465,19247,17353,16382,16848,19399,120209
茨城県,いいえ,27960,33661,30481,24729,20258,15631,14390,167110,23373,28073,25192,19886,16724,15317,16263,144828
栃木県,はい,17268,20518,19898,17197,14807,13914,15024,118626,9545,12560,13498,12287,12288,13352,15279,88809
栃木県,いいえ,22485,26327,22990,18642,16380,13298,13369,133491,17945,20644,18547,14859,13483,13327,15151,113956
群馬県,はい,18372,22394,22244,18748,16338,15406,18203,131705,10472,14383,15761,14304,13937,16156,20886,105899
群馬県,いいえ,18003,22088,20317,16704,13789,11409,13118,115428,14282,18220,16859,13443,11208,11758,15949,101719
