都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,-,-,-,34,24,29,32,165,-,10,-,11,-,12,24,78
北海道,0101,南渡島,いいえ,4565,5836,5269,4710,4297,3843,4204,32724,3551,4640,4661,4187,3920,4092,5262,30313
北海道,0102,南檜山,はい,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-
北海道,0102,南檜山,いいえ,271,352,337,311,302,269,285,2127,206,238,249,246,258,271,365,1833
北海道,0103,北渡島檜山,はい,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,11
北海道,0103,北渡島檜山,いいえ,403,464,440,400,365,358,364,2794,254,329,298,321,306,361,423,2292
北海道,0104,札幌,はい,111,183,258,264,271,188,109,1384,53,95,122,115,69,46,36,536
北海道,0104,札幌,いいえ,36040,43342,41166,35433,29959,18113,10728,214781,28249,33853,32243,26744,19448,11166,8068,159771
北海道,0105,後志,はい,-,-,10,17,23,24,16,104,-,10,-,-,13,-,18,69
北海道,0105,後志,いいえ,2541,3325,3128,2866,2498,2284,2369,19011,1781,2447,2353,2221,2063,2111,2784,15760
北海道,0106,南空知,はい,-,10,-,16,22,17,18,93,-,-,-,-,-,-,-,40
北海道,0106,南空知,いいえ,1753,2441,2176,2178,2131,1812,1638,14129,1308,1823,1867,1774,1664,1500,1854,11790
北海道,0107,中空知,はい,-,-,17,-,13,-,21,79,-,-,-,-,-,-,14,43
北海道,0107,中空知,いいえ,1077,1546,1451,1445,1357,1209,1450,9535,953,1240,1183,1233,1159,1308,1828,8904
北海道,0108,北空知,はい,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
北海道,0108,北空知,いいえ,275,379,354,406,402,372,444,2632,270,305,341,331,333,385,516,2481
北海道,0109,西胆振,はい,-,15,15,22,18,-,28,112,-,-,-,10,-,-,21,57
北海道,0109,西胆振,いいえ,1910,2641,2412,2147,1970,1887,2364,15331,1499,2014,2011,1822,1728,1950,2805,13829
北海道,0110,東胆振,はい,13,21,18,21,18,28,17,136,-,10,-,11,11,10,21,72
北海道,0110,東胆振,いいえ,3788,4727,3949,3477,2931,2676,2890,24438,2338,2857,2570,2358,2081,2462,3223,17889
北海道,0111,日高,はい,-,-,-,10,-,-,-,44,-,-,-,-,-,-,-,16
北海道,0111,日高,いいえ,774,956,845,730,660,578,590,5133,506,652,616,567,530,565,685,4121
