都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,20,44,56,93,110,113,168,604,14,33,48,49,46,39,95,324
北海道,0101,南渡島,いいえ,4552,5816,5233,4653,4213,3759,4068,32294,3544,4617,4619,4149,3883,4066,5191,30069
北海道,0102,南檜山,はい,-,-,-,10,-,11,15,63,-,-,-,-,-,-,12,35
北海道,0102,南檜山,いいえ,270,350,334,303,293,259,272,2081,208,235,247,238,255,265,355,1803
北海道,0103,北渡島檜山,はい,-,-,-,-,-,10,29,61,-,-,-,-,-,-,10,41
北海道,0103,北渡島檜山,いいえ,403,465,440,398,361,348,337,2752,256,326,296,313,300,356,415,2262
北海道,0104,札幌,はい,155,409,607,781,960,805,637,4354,111,195,281,339,295,239,254,1714
北海道,0104,札幌,いいえ,35973,43102,40873,34948,29271,17495,10200,211862,28167,33719,32042,26482,19207,10966,7835,158418
北海道,0105,後志,はい,15,30,49,53,84,104,134,469,-,-,26,33,28,55,79,243
北海道,0105,後志,いいえ,2533,3301,3091,2832,2438,2205,2252,18652,1778,2444,2337,2197,2048,2065,2724,15593
北海道,0106,南空知,はい,-,-,32,47,77,76,114,367,-,-,12,21,16,23,66,153
北海道,0106,南空知,いいえ,1748,2433,2151,2148,2075,1752,1543,13850,1306,1821,1857,1759,1653,1481,1796,11673
北海道,0107,中空知,はい,-,-,20,32,50,58,118,304,-,-,13,32,28,47,69,207
北海道,0107,中空知,いいえ,1074,1537,1447,1420,1320,1160,1354,9312,950,1231,1174,1207,1136,1269,1774,8741
北海道,0108,北空知,はい,-,-,-,10,-,11,22,71,-,-,-,-,-,-,18,41
北海道,0108,北空知,いいえ,278,376,352,396,391,364,423,2580,269,305,338,329,326,378,498,2443
北海道,0109,西胆振,はい,10,43,37,55,66,65,137,413,-,-,26,22,25,46,79,215
