都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,323,798,1225,1593,1927,2018,2344,10228,148,440,753,957,1176,1494,2371,7339
北海道,0101,南渡島,いいえ,4954,5843,4869,3831,2970,2214,2066,26747,4030,5007,4695,3920,3209,2827,2996,26684
北海道,0102,南檜山,はい,27,59,102,120,150,153,163,774,-,-,55,53,80,103,203,537
北海道,0102,南檜山,いいえ,258,313,269,227,172,133,130,1502,216,224,214,208,187,176,165,1390
北海道,0103,北渡島檜山,はい,41,70,129,138,158,170,195,901,17,30,41,75,95,120,195,573
北海道,0103,北渡島檜山,いいえ,433,468,376,326,267,202,182,2254,291,378,307,306,231,245,233,1991
北海道,0104,札幌,はい,2001,5167,8337,10830,12699,9172,6330,54536,775,2063,3657,4805,4702,3527,3421,22950
北海道,0104,札幌,いいえ,38891,43843,38067,29290,21609,11591,5916,189207,32208,37504,33876,26424,17553,8720,5336,161621
北海道,0105,後志,はい,175,475,681,890,1090,1144,1310,5765,54,179,320,462,595,763,1260,3633
北海道,0105,後志,いいえ,2586,3130,2731,2245,1632,1299,1130,14753,1931,2522,2282,1974,1650,1446,1590,13395
北海道,0106,南空知,はい,132,370,498,700,998,1028,1094,4820,54,178,285,383,511,630,1014,3055
北海道,0106,南空知,いいえ,1766,2286,1855,1706,1387,1071,871,10942,1384,1812,1756,1576,1352,1115,1211,10206
北海道,0107,中空知,はい,92,260,359,510,638,651,867,3377,37,130,210,307,375,552,875,2486
北海道,0107,中空知,いいえ,1124,1519,1283,1092,870,637,659,7184,1053,1326,1168,1108,947,852,1033,7487
北海道,0108,北空知,はい,26,69,106,149,177,182,243,952,-,-,46,64,83,150,254,637
北海道,0108,北空知,いいえ,296,368,313,310,259,209,204,1959,295,325,339,305,270,241,265,2040
北海道,0109,西胆振,はい,178,444,581,758,912,1034,1388,5295,71,187,309,382,473,701,1304,3427
北海道,0109,西胆振,いいえ,2317,2964,2435,1838,1442,1171,1156,13323,1737,2287,2126,1778,1462,1381,1615,12386
北海道,0110,東胆振,はい,232,622,833,1082,1256,1352,1716,7093,108,215,397,510,587,965,1575,4357
北海道,0110,東胆振,いいえ,3733,4298,3297,2539,1815,1460,1265,18407,2353,2810,2322,1946,1573,1540,1707,14251
北海道,0111,日高,はい,53,148,195,255,305,313,354,1623,31,70,102,151,172,232,349,1107
北海道,0111,日高,いいえ,809,911,758,585,460,330,283,4136,533,675,598,495,406,365,353,3425
北海道,0112,上川中部,はい,328,786,1210,1516,1968,1991,2425,10224,129,331,626,774,968,1327,2406,6561
北海道,0112,上川中部,いいえ,4927,5788,4852,3854,3118,2272,2027,26838,4021,4869,4509,3572,3018,2743,3173,25905
