都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,1989,2547,2370,2024,1875,1794,2068,14667,1204,1641,1802,1755,1800,2028,2759,12989
北海道,0101,南渡島,いいえ,2508,3197,2801,2650,2370,1974,2072,17572,2298,2954,2807,2386,2074,1998,2401,16918
北海道,0102,南檜山,はい,108,155,122,119,120,122,113,859,52,68,94,94,98,112,153,671
北海道,0102,南檜山,いいえ,164,193,211,186,183,143,166,1246,156,169,155,148,159,154,214,1155
北海道,0103,北渡島檜山,はい,175,203,183,164,137,148,160,1170,85,121,114,104,131,155,207,917
北海道,0103,北渡島檜山,いいえ,222,248,247,226,222,200,200,1565,164,201,175,209,171,199,216,1335
北海道,0104,札幌,はい,19102,22408,21086,18067,15306,9417,5669,111055,12080,14967,15026,13394,10297,5809,4202,75775
北海道,0104,札幌,いいえ,18336,22346,21291,18653,16033,9527,5517,111703,17324,20139,18411,14592,9944,5521,3825,89756
北海道,0105,後志,はい,1200,1524,1415,1362,1204,1079,1122,8906,657,951,971,943,947,1037,1371,6877
北海道,0105,後志,いいえ,1318,1751,1672,1480,1285,1163,1182,9851,1111,1480,1377,1263,1096,1009,1330,8666
北海道,0106,南空知,はい,828,1102,1011,1009,992,909,891,6742,482,706,748,790,816,744,970,5256
北海道,0106,南空知,いいえ,938,1352,1169,1191,1183,979,852,7664,851,1144,1131,1018,916,846,998,6904
北海道,0107,中空知,はい,484,688,666,589,570,531,640,4168,316,449,471,497,518,585,825,3661
北海道,0107,中空知,いいえ,571,837,760,824,751,624,720,5087,613,764,690,702,590,648,831,4838
北海道,0108,北空知,はい,129,165,155,181,184,193,210,1217,98,88,123,127,142,147,236,961
北海道,0108,北空知,いいえ,147,214,197,220,220,180,234,1412,171,214,213,203,187,236,276,1500
北海道,0109,西胆振,はい,833,1178,1050,940,870,904,1163,6938,497,727,780,757,785,923,1400,5869
