都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,2911,3665,3237,3037,2876,2847,3269,21842,2030,2490,2504,2370,2447,2872,3861,18574
北海道,0101,南渡島,いいえ,1581,2081,1935,1640,1366,921,876,10400,1474,2105,2114,1783,1421,1157,1295,11349
北海道,0102,南檜山,はい,191,244,226,209,233,215,225,1543,114,143,142,141,169,190,279,1178
北海道,0102,南檜山,いいえ,82,106,104,96,69,47,51,555,94,94,106,101,86,78,85,644
北海道,0103,北渡島檜山,はい,272,287,263,263,245,268,291,1889,150,199,181,175,199,280,312,1496
北海道,0103,北渡島檜山,いいえ,124,162,166,127,112,76,67,834,97,123,106,138,102,71,108,745
北海道,0104,札幌,はい,25493,30178,28357,24859,22416,14375,8966,154644,19341,22280,20128,16840,13185,7965,6112,105851
北海道,0104,札幌,いいえ,11925,14535,14031,11865,8886,4541,2203,67986,10041,12795,13296,11093,7032,3352,1901,59510
北海道,0105,後志,はい,1752,2221,2029,1916,1798,1721,1844,13281,1152,1499,1369,1364,1309,1516,2057,10266
北海道,0105,後志,いいえ,758,1042,1055,917,689,515,445,5421,612,930,982,835,728,525,626,5238
北海道,0106,南空知,はい,1188,1657,1454,1512,1569,1483,1413,10276,879,1135,1145,1140,1200,1185,1538,8222
北海道,0106,南空知,いいえ,556,781,686,656,587,399,324,3989,451,697,729,654,523,398,428,3880
北海道,0107,中空知,はい,721,1045,952,985,946,906,1161,6716,625,774,704,738,769,987,1367,5964
北海道,0107,中空知,いいえ,330,470,460,421,374,285,280,2620,301,435,457,463,362,302,426,2746
北海道,0108,北空知,はい,198,286,263,301,301,294,359,2002,177,213,226,225,234,295,384,1754
北海道,0108,北空知,いいえ,77,94,88,99,100,78,86,622,93,88,110,105,99,91,131,717
北海道,0109,西胆振,はい,1551,2060,1867,1585,1532,1556,1960,12111,1094,1391,1345,1177,1187,1476,2190,9860
北海道,0109,西胆振,いいえ,614,919,803,714,555,410,444,4459,492,722,749,717,568,490,624,4362
北海道,0110,東胆振,はい,2377,2966,2527,2193,2024,2083,2354,16524,1431,1755,1434,1397,1366,1819,2517,11719
北海道,0110,東胆振,いいえ,1366,1685,1326,1198,840,558,512,7485,889,1084,1115,951,714,644,711,6108
北海道,0111,日高,はい,535,626,552,478,461,443,462,3557,340,428,367,337,373,392,475,2712
北海道,0111,日高,いいえ,189,281,241,202,163,96,82,1254,156,212,241,221,144,144,161,1279
北海道,0112,上川中部,はい,2982,3607,3249,2938,2821,1900,1338,18835,2134,2533,2320,1906,1591,1101,1028,12613
北海道,0112,上川中部,いいえ,1328,1706,1555,1340,1101,612,323,7965,1059,1402,1529,1226,840,420,345,6821
北海道,0113,上川北部,はい,462,601,558,551,555,417,419,3563,310,350,322,317,376,366,491,2532
北海道,0113,上川北部,いいえ,172,231,217,211,154,124,113,1222,158,203,185,183,150,132,140,1151
北海道,0114,富良野,はい,393,462,449,477,470,438,556,3245,314,394,387,344,346,421,631,2837
北海道,0114,富良野,いいえ,130,171,162,179,138,116,84,980,147,175,188,189,187,148,163,1197
北海道,0115,留萌,はい,359,477,464,421,400,375,388,2884,227,315,293,269,324,359,481,2268
北海道,0115,留萌,いいえ,122,198,180,159,151,102,71,983,129,162,189,181,147,123,159,1090
北海道,0116,宗谷,はい,650,806,702,661,613,560,487,4479,430,469,386,389,366,382,483,2905
北海道,0116,宗谷,いいえ,229,326,279,269,233,169,117,1622,196,223,262,221,192,148,126,1368
北海道,0117,北網,はい,1906,2492,2223,2026,2007,1558,1770,13982,1385,1700,1454,1453,1431,1470,1958,10851
北海道,0117,北網,いいえ,838,976,865,852,697,409,345,4982,655,855,900,904,708,536,629,5187
北海道,0118,遠紋,はい,562,705,686,695,607,505,646,4406,324,390,413,396,422,512,768,3225
北海道,0118,遠紋,いいえ,193,265,257,225,202,156,129,1427,161,228,270,267,200,194,219,1539
北海道,0119,十勝,はい,3323,3983,3616,3433,3359,2976,3258,23948,2375,2926,2618,2509,2432,2679,3523,19062
北海道,0119,十勝,いいえ,1264,1663,1501,1373,1114,768,663,8346,1069,1454,1628,1447,1174,973,989,8734
北海道,0120,釧路,はい,2152,2714,2546,2302,2240,2070,2215,16239,1408,1841,1687,1511,1587,1852,2264,12150
北海道,0120,釧路,いいえ,965,1212,1115,958,866,527,491,6134,868,1092,1128,1028,820,719,706,6361
北海道,0121,根室,はい,684,765,653,638,571,485,486,4282,460,501,483,434,434,465,485,3262
北海道,0121,根室,いいえ,261,342,288,263,215,154,114,1637,251,274,271,260,217,167,151,1591
青森県,0201,津軽地域,はい,2579,2831,2648,2588,2537,1888,1721,16792,1897,2240,2071,2204,1951,1662,1755,13780
青森県,0201,津軽地域,いいえ,1259,1408,1321,1197,871,508,385,6949,1178,1341,1431,1374,915,604,495,7338
青森県,0202,八戸地域,はい,3921,4654,4512,4088,4115,3588,3548,28426,2757,3422,3325,3038,3167,3257,3681,22647
青森県,0202,八戸地域,いいえ,1941,2433,2535,2175,1771,1093,874,12822,1598,2134,2332,2030,1536,1188,1150,11968
青森県,0203,青森地域,はい,3620,4428,4131,4006,3962,3185,3701,27033,2713,3299,2980,3024,3040,3218,4273,22547
青森県,0203,青森地域,いいえ,1740,2117,1979,1794,1448,947,828,10853,1696,2093,2010,1806,1395,1094,1306,11400
青森県,0204,西北五地域,はい,886,1081,1096,1159,1071,1219,1364,7876,696,870,978,1014,1196,1478,1688,7920
青森県,0204,西北五地域,いいえ,383,510,490,506,370,297,291,2847,402,482,545,574,526,483,489,3501
青森県,0205,上十三地域,はい,1961,2335,2144,2056,2080,1866,1968,14410,1403,1725,1570,1521,1710,1853,2136,11918
青森県,0205,上十三地域,いいえ,1007,1068,1018,794,697,513,430,5527,761,939,1013,861,688,605,618,5485
青森県,0206,下北地域,はい,611,768,711,728,778,713,742,5051,463,588,578,518,621,715,754,4237
青森県,0206,下北地域,いいえ,303,345,322,304,256,209,168,1907,281,373,384,335,293,244,259,2169
岩手県,0301,盛岡,はい,6338,7355,6652,5992,6104,5415,6172,44028,4650,5473,4861,4495,4926,5589,7009,37003
岩手県,0301,盛岡,いいえ,3208,3698,3627,3182,2479,1599,1386,19179,2742,3377,3471,3056,2332,1914,2055,18947
岩手県,0302,岩手中部,はい,2912,3225,2711,2661,2553,2646,2923,19631,1896,2254,2026,1940,2105,2668,3320,16209
岩手県,0302,岩手中部,いいえ,1699,1923,1785,1630,1262,851,705,9855,1282,1571,1530,1422,1156,953,978,8892
岩手県,0303,胆江,はい,1635,1896,1574,1495,1702,1835,1999,12136,1167,1333,1140,1174,1420,1823,2278,10335
岩手県,0303,胆江,いいえ,1012,1157,963,977,801,587,491,5988,769,890,852,845,753,635,698,5442
岩手県,0304,両磐,はい,1361,1501,1321,1320,1475,1524,1708,10210,924,1055,1012,1048,1252,1489,1727,8507
岩手県,0304,両磐,いいえ,780,902,829,854,714,556,473,5108,647,789,757,776,666,601,518,4754
岩手県,0305,気仙,はい,558,765,771,775,709,707,847,5132,429,523,535,579,582,773,965,4386
岩手県,0305,気仙,いいえ,265,358,372,371,279,225,176,2046,246,352,391,397,327,304,290,2307
岩手県,0306,釜石,はい,413,493,493,456,426,460,484,3225,248,346,318,317,371,436,631,2667
岩手県,0306,釜石,いいえ,218,284,286,292,215,175,150,1620,217,215,247,250,211,175,194,1509
岩手県,0307,宮古,はい,692,783,903,855,805,889,1165,6092,473,599,598,587,746,958,1282,5243
岩手県,0307,宮古,いいえ,411,457,522,510,377,294,295,2866,321,408,474,396,374,344,407,2724
岩手県,0308,久慈,はい,565,693,710,630,791,739,866,4994,400,511,583,510,652,802,950,4408
岩手県,0308,久慈,いいえ,278,324,337,298,266,187,198,1888,281,310,350,303,299,255,267,2065
岩手県,0309,二戸,はい,507,623,633,691,732,841,911,4938,420,463,547,525,653,868,1036,4512
岩手県,0309,二戸,いいえ,309,341,371,355,302,267,215,2160,274,325,404,359,329,286,282,2259
宮城県,0401,仙南,はい,1864,2041,1783,1789,1986,2362,2728,14553,1305,1596,1379,1465,1743,2312,2557,12357
宮城県,0401,仙南,いいえ,1129,1258,1154,960,838,752,704,6795,905,1072,1077,1031,922,866,905,6778
宮城県,0403,仙台,はい,20585,24247,22000,18065,16409,15799,18594,135699,16288,18516,16078,13850,13964,15653,20404,114753
宮城県,0403,仙台,いいえ,10986,12948,12234,9902,7276,4872,4515,62733,9483,11843,11698,9413,7236,6042,6807,62522
宮城県,0406,大崎・栗原,はい,3201,3372,2837,2951,3381,3546,3710,22998,2269,2429,2213,2252,2732,3304,3526,18725
宮城県,0406,大崎・栗原,いいえ,1854,1937,1696,1635,1462,1254,1156,10994,1506,1835,1733,1688,1582,1509,1428,11281
宮城県,0409,石巻・登米・気仙沼,はい,3546,3953,3670,3541,3830,4324,5181,28045,2526,2946,2725,2981,3508,4377,5413,24476
宮城県,0409,石巻・登米・気仙沼,いいえ,1855,2137,1983,1860,1637,1369,1389,12230,1574,1857,2034,2027,1845,1703,1879,12919
秋田県,0501,大館・鹿角,はい,855,979,847,920,966,984,1202,6753,629,727,671,704,863,1070,1446,6110
秋田県,0501,大館・鹿角,いいえ,344,418,456,439,415,301,292,2665,391,390,455,433,389,347,412,2817
秋田県,0502,北秋田,はい,186,270,231,281,273,363,428,2032,138,163,161,177,253,369,492,1753
秋田県,0502,北秋田,いいえ,109,113,116,143,108,97,96,782,77,108,118,118,106,108,113,748
秋田県,0503,能代・山本,はい,693,818,795,810,888,915,1002,5921,518,647,703,684,830,961,1250,5593
秋田県,0503,能代・山本,いいえ,302,368,380,354,322,235,214,2175,312,366,423,419,371,321,290,2502
秋田県,0504,秋田周辺,はい,3481,4221,3904,3680,3476,3428,4153,26343,2676,3032,2902,2697,3099,3927,5192,23525
秋田県,0504,秋田周辺,いいえ,1580,1998,1901,1852,1584,988,906,10809,1464,1848,1927,1640,1363,1185,1408,10835
秋田県,0505,由利本荘・にかほ,はい,873,903,895,867,1009,1159,1270,6976,660,711,695,757,923,1246,1328,6320
秋田県,0505,由利本荘・にかほ,いいえ,451,503,476,504,372,327,297,2930,419,520,576,510,440,422,378,3265
