都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,1,1341,1790,1648,1539,1513,1388,1741,10960,765,1054,1053,991,999,1199,1803,7864
北海道,0101,南渡島,2,1662,1937,1732,1556,1266,1061,940,10154,1491,1861,1822,1549,1313,1168,1221,10425
北海道,0101,南渡島,3,524,644,590,497,497,431,472,3655,547,694,717,603,620,569,705,4455
北海道,0101,南渡島,4,455,596,448,413,325,279,269,2785,393,522,490,435,397,395,445,3077
北海道,0101,南渡島,5,510,764,730,652,623,602,696,4577,303,460,520,556,524,663,940,3966
北海道,0102,南檜山,1,70,100,106,90,107,109,118,700,48,59,50,63,76,86,129,511
北海道,0102,南檜山,2,115,126,109,114,92,75,66,697,98,100,101,86,82,67,97,631
北海道,0102,南檜山,3,39,39,49,37,40,33,29,266,31,32,50,38,38,36,43,268
北海道,0102,南檜山,4,30,39,23,26,15,18,14,165,17,29,27,28,23,26,32,182
北海道,0102,南檜山,5,19,44,41,36,42,28,47,257,14,15,19,22,29,38,60,197
北海道,0103,北渡島檜山,1,144,124,151,138,144,145,156,1002,66,85,71,77,93,123,155,670
北海道,0103,北渡島檜山,2,121,153,138,121,99,83,74,789,92,112,98,118,94,93,111,718
北海道,0103,北渡島檜山,3,46,67,46,41,41,37,35,313,39,51,48,50,48,47,47,330
北海道,0103,北渡島檜山,4,39,54,40,45,32,32,27,269,27,47,45,29,27,29,27,231
北海道,0103,北渡島檜山,5,46,51,51,45,39,51,67,350,24,29,29,40,40,57,81,300
北海道,0104,札幌,1,10508,12899,12039,10723,9630,5983,3665,65447,6415,7639,7209,6047,4816,2853,2219,37198
北海道,0104,札幌,2,12650,14277,13435,10950,9009,5283,2882,68486,11454,13343,12042,9888,6634,3276,2035,58672
北海道,0104,札幌,3,5339,6061,5818,4986,4014,2448,1362,30028,5322,6075,5888,4723,3327,1881,1158,28374
北海道,0104,札幌,4,4413,5180,4552,3735,2955,1686,889,23410,3543,4305,4058,3336,2323,1238,760,19563
北海道,0104,札幌,5,4469,6264,6427,6222,5671,3506,2345,34904,2669,3719,4227,3961,3143,2036,1774,21529
北海道,0105,後志,1,802,1051,960,938,854,838,890,6333,393,620,562,586,537,641,920,4259
北海道,0105,後志,2,776,992,979,821,722,598,584,5472,642,873,858,714,665,546,663,4961
北海道,0105,後志,3,396,491,466,433,346,312,355,2799,372,450,430,400,334,382,468,2836
北海道,0105,後志,4,267,338,289,241,220,162,143,1660,212,254,260,232,204,191,188,1541
北海道,0105,後志,5,276,400,386,409,338,351,351,2511,146,226,223,267,295,311,474,1942
北海道,0106,南空知,1,532,781,668,732,744,654,621,4732,316,471,435,449,426,425,540,3062
北海道,0106,南空知,2,597,762,682,670,606,449,369,4135,481,654,671,658,537,416,468,3885
北海道,0106,南空知,3,274,341,330,294,320,275,227,2061,240,332,331,293,331,278,332,2137
北海道,0106,南空知,4,196,251,204,184,176,152,132,1295,172,213,225,175,203,166,162,1316
北海道,0106,南空知,5,155,302,262,295,304,352,388,2058,120,167,205,224,232,292,444,1684
北海道,0107,中空知,1,334,467,423,448,476,390,473,3011,210,307,276,309,322,326,468,2218
北海道,0107,中空知,2,358,517,489,469,407,358,371,2969,380,457,451,415,363,348,415,2829
北海道,0107,中空知,3,148,208,201,193,160,145,136,1191,172,229,211,191,162,188,203,1356
北海道,0107,中空知,4,97,161,141,122,115,89,102,827,98,132,123,132,112,149,168,914
北海道,0107,中空知,5,115,169,162,183,160,164,256,1209,73,86,99,148,148,212,371,1137
北海道,0108,北空知,1,86,109,92,128,142,129,184,870,67,66,70,75,86,101,185,650
北海道,0108,北空知,2,84,120,98,104,107,82,95,690,98,100,107,91,104,106,106,712
北海道,0108,北空知,3,48,72,78,81,71,73,64,487,57,81,76,79,74,74,71,512
北海道,0108,北空知,4,33,39,35,33,41,27,32,240,26,23,43,48,39,36,38,253
北海道,0108,北空知,5,25,40,49,55,42,63,67,341,21,32,40,36,28,68,115,340
北海道,0109,西胆振,1,614,858,767,703,699,623,836,5100,356,452,460,438,454,506,873,3539
北海道,0109,西胆振,2,767,1028,909,767,648,592,677,5388,641,843,796,718,624,580,799,5001
北海道,0109,西胆振,3,320,369,375,307,245,256,256,2128,287,365,392,326,270,322,350,2312
北海道,0109,西胆振,4,224,304,248,189,177,155,178,1475,169,239,222,198,175,207,242,1452
北海道,0109,西胆振,5,248,433,378,344,321,343,461,2528,131,214,234,217,235,342,539,1912
北海道,0110,東胆振,1,1043,1287,1074,978,850,838,955,7025,469,552,486,475,453,552,904,3891
北海道,0110,東胆振,2,1294,1538,1218,1013,783,712,688,7246,927,1083,993,883,699,768,818,6171
北海道,0110,東胆振,3,634,744,603,526,464,413,356,3740,471,600,490,439,427,401,484,3312
北海道,0110,東胆振,4,366,463,360,325,277,194,214,2199,271,307,275,245,193,234,307,1832
北海道,0110,東胆振,5,401,609,598,548,490,489,653,3788,183,296,313,312,312,499,697,2612
北海道,0111,日高,1,201,281,261,205,212,226,239,1625,126,149,135,132,163,179,186,1070
北海道,0111,日高,2,238,280,241,214,181,144,129,1427,178,230,226,195,144,158,161,1292
北海道,0111,日高,3,115,150,111,117,80,55,63,691,86,118,124,113,92,88,109,730
北海道,0111,日高,4,79,90,90,61,59,36,28,443,56,78,57,64,44,44,51,394
北海道,0111,日高,5,97,107,88,89,94,77,86,638,48,62,67,52,75,65,125,494
北海道,0112,上川中部,1,1206,1562,1388,1307,1245,850,640,8198,703,868,831,715,592,404,420,4533
北海道,0112,上川中部,2,1467,1712,1544,1331,1138,725,395,8312,1208,1456,1349,1088,761,400,317,6579
北海道,0112,上川中部,3,669,829,701,632,572,370,232,4005,593,738,741,575,444,269,235,3595
北海道,0112,上川中部,4,500,592,493,407,332,192,102,2618,414,472,495,335,269,145,128,2258
北海道,0112,上川中部,5,464,616,675,609,632,373,290,3659,250,388,418,414,359,290,264,2383
北海道,0113,上川北部,1,185,248,212,221,222,156,193,1437,129,114,139,126,137,135,186,966
北海道,0113,上川北部,2,209,255,267,227,194,146,124,1422,165,207,170,147,148,116,116,1069
北海道,0113,上川北部,3,92,137,120,123,106,82,51,711,86,107,98,103,86,79,97,656
北海道,0113,上川北部,4,86,93,72,71,64,45,45,476,52,64,46,55,61,51,54,383
北海道,0113,上川北部,5,63,96,100,115,112,84,95,665,36,56,44,64,72,89,120,481
北海道,0114,富良野,1,146,184,183,201,199,166,232,1311,87,134,136,122,106,174,239,998
北海道,0114,富良野,2,195,207,216,205,176,153,135,1287,205,218,239,201,194,151,216,1424
北海道,0114,富良野,3,69,94,78,108,78,72,76,575,85,103,88,83,107,76,98,640
北海道,0114,富良野,4,58,74,56,60,50,56,47,401,54,64,58,52,47,62,59,396
北海道,0114,富良野,5,56,71,78,81,105,108,151,650,30,50,57,77,79,104,182,579
北海道,0115,留萌,1,145,214,189,199,186,177,175,1285,77,92,108,126,127,134,194,858
北海道,0115,留萌,2,156,199,211,160,170,145,112,1153,136,193,176,159,157,155,159,1135
北海道,0115,留萌,3,81,104,111,97,78,68,64,603,79,98,96,76,81,68,79,577
北海道,0115,留萌,4,48,80,50,44,37,29,35,323,39,50,57,45,38,51,53,333
北海道,0115,留萌,5,51,78,86,80,83,59,74,511,24,46,46,41,66,69,137,429
北海道,0116,宗谷,1,279,387,335,349,332,294,254,2230,171,185,196,181,171,165,212,1281
北海道,0116,宗谷,2,278,342,299,259,263,178,150,1769,227,231,232,215,168,151,131,1355
北海道,0116,宗谷,3,133,153,130,128,96,103,71,814,110,111,102,83,86,78,81,651
北海道,0116,宗谷,4,87,109,88,74,47,40,37,482,65,93,68,75,54,48,53,456
北海道,0116,宗谷,5,105,148,130,130,106,107,96,822,55,74,51,57,75,87,126,525
北海道,0117,北網,1,826,1114,965,973,935,624,730,6167,466,593,548,585,567,521,736,4016
北海道,0117,北網,2,827,965,861,762,707,529,540,5191,709,893,758,729,652,613,790,5144
北海道,0117,北網,3,503,620,544,452,463,325,319,3226,423,503,474,464,404,355,347,2970
北海道,0117,北網,4,301,357,271,253,226,178,160,1746,235,273,271,274,223,198,248,1722
北海道,0117,北網,5,297,428,432,433,381,324,366,2661,180,271,282,290,285,314,478,2100
北海道,0118,遠紋,1,253,313,289,309,261,223,263,1911,120,138,136,150,182,181,254,1161
北海道,0118,遠紋,2,204,240,262,236,209,164,184,1499,160,211,221,211,170,176,230,1379
北海道,0118,遠紋,3,161,220,176,173,151,117,108,1106,126,136,177,160,142,135,143,1019
北海道,0118,遠紋,4,78,95,90,80,79,54,64,540,44,67,79,60,52,82,98,482
北海道,0118,遠紋,5,61,102,129,120,108,90,152,762,39,65,68,74,75,125,256,702
北海道,0119,十勝,1,1414,1674,1568,1550,1449,1269,1339,10263,756,932,951,875,924,929,1199,6566
北海道,0119,十勝,2,1438,1736,1515,1401,1261,969,876,9196,1245,1583,1449,1356,1131,1025,1088,8877
北海道,0119,十勝,3,741,939,912,770,715,565,564,5206,776,909,887,803,689,640,670,5374
北海道,0119,十勝,4,515,599,479,415,364,295,272,2939,376,486,458,403,303,309,397,2732
北海道,0119,十勝,5,483,687,634,658,659,626,828,4575,294,453,497,506,519,693,1056,4018
北海道,0120,釧路,1,886,1093,1129,1024,999,872,955,6958,460,609,622,579,597,727,967,4561
北海道,0120,釧路,2,1129,1436,1248,1109,1026,737,679,7364,955,1260,1130,947,876,719,755,6642
北海道,0120,釧路,3,501,557,512,446,437,376,364,3193,449,557,508,450,423,494,487,3368
北海道,0120,釧路,4,304,406,309,266,243,200,198,1926,233,271,282,276,219,200,214,1695
北海道,0120,釧路,5,277,403,435,403,390,409,505,2822,170,215,251,274,293,421,534,2158
北海道,0121,根室,1,309,351,299,314,291,227,228,2019,152,197,180,178,167,186,211,1271
北海道,0121,根室,2,308,353,338,264,234,170,148,1815,275,308,272,246,216,180,152,1649
北海道,0121,根室,3,142,169,117,118,111,74,65,796,143,116,131,111,97,94,78,770
北海道,0121,根室,4,104,96,87,69,68,53,39,516,77,90,86,75,72,49,39,488
北海道,0121,根室,5,84,139,101,134,83,111,120,772,57,62,77,75,99,118,152,640
青森県,0201,津軽地域,1,1329,1621,1555,1566,1465,1119,1134,9789,851,1048,1027,1222,1012,893,1079,7132
青森県,0201,津軽地域,2,1362,1320,1274,1146,1061,646,475,7284,1325,1441,1390,1356,1093,755,580,7940
青森県,0201,津軽地域,3,325,364,311,318,258,173,115,1864,341,395,386,351,232,190,147,2042
青森県,0201,津軽地域,4,396,394,328,310,226,130,89,1873,349,372,333,313,223,150,150,1890
青森県,0201,津軽地域,5,425,536,503,449,408,328,290,2939,193,305,344,319,283,269,288,2001
青森県,0202,八戸地域,1,1558,1961,2010,1821,1854,1528,1617,12349,821,963,1048,969,977,1032,1236,7046
