都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,2061,4610,6566,8285,9604,8340,8474,47940,709,1211,1881,2443,2729,3034,4511,16518
北海道,いいえ,80092,97069,87807,75875,65182,46931,39870,492826,63128,77798,73969,64081,51821,42072,46617,419486
青森県,はい,667,1379,2062,2449,3138,2916,3355,15966,230,408,633,858,1158,1452,2024,6763
青森県,いいえ,21069,24399,22604,20724,18688,14870,14668,137022,17203,20853,20356,19196,17788,17078,19430,131904
岩手県,はい,643,1294,1870,2350,2851,2878,3416,15302,219,379,559,777,1154,1495,2098,6681
岩手県,いいえ,23352,26448,23909,21801,19928,17520,18180,151138,18007,21379,20437,18972,18698,19868,23164,140525
宮城県,はい,1245,2499,3671,4492,5220,5485,6603,29215,365,686,1064,1428,1785,2383,3820,11531
宮城県,いいえ,47402,53462,47408,39416,34726,30853,32535,285802,38242,44445,40665,35607,33668,34300,39496,266423
秋田県,はい,457,922,1337,1824,2261,2099,2455,11355,164,311,431,614,864,1040,1401,4825
秋田県,いいえ,16761,18804,16894,16270,15781,13880,13616,112006,14021,16159,15796,15033,15288,15558,16962,108817
山形県,はい,537,1073,1632,2030,2578,3035,3713,14598,199,327,534,784,1021,1467,1933,6265
山形県,いいえ,23053,24674,22087,20411,19956,18350,18606,147137,19813,21985,20712,19987,20327,20278,20432,143534
福島県,はい,976,1899,2720,3600,4438,4738,5530,23901,314,552,828,1259,1780,2347,3287,10367
福島県,いいえ,34125,38615,34396,31340,29041,25815,26635,219967,27244,31611,29908,28549,28885,28879,31461,206537
茨城県,はい,1387,2968,4439,5086,5560,5273,5790,30503,425,808,1192,1602,1932,2271,3098,11328
茨城県,いいえ,55558,65709,60545,48638,39778,34034,34687,338949,41077,50550,48821,40699,36330,36010,40047,293534
栃木県,はい,999,2151,3113,3605,3862,3864,4361,21955,303,553,813,1126,1465,1821,2495,8576
栃木県,いいえ,40295,46751,41838,33856,28804,24296,24615,240455,28715,34554,32911,27437,25386,25448,28364,202815
群馬県,はい,848,1979,2761,3334,3604,3510,4557,20593,244,488,799,1003,1294,1916,3066,8810
群馬県,いいえ,36751,44024,41337,33423,27717,24237,27575,235064,25881,33881,33506,28163,25051,26896,34760,208138
埼玉県,はい,2961,6907,10665,11980,11828,11510,14926,70777,899,1846,2760,3517,3933,5315,9331,27601
埼玉県,いいえ,144563,173611,164403,126308,95633,77497,90657,872672,105738,130631,129507,103366,83676,82556,113433,748907
千葉県,はい,2682,6072,9393,10504,10480,9747,12356,61234,782,1561,2391,3112,3275,4249,7039,22409
千葉県,いいえ,118706,142761,136918,104479,78825,64109,74944,720742,90455,111290,110680,87347,71235,70931,95108,637046
東京都,はい,5933,12347,20029,23292,21462,18596,25053,126712,1729,3263,5197,6449,6836,8539,15619,47632
東京都,いいえ,316104,351547,336829,266167,184119,127401,144152,1726319,264565,302052,293038,228354,169045,144299,195579,1596932
神奈川県,はい,3751,8294,13991,16205,14067,11051,12696,80055,974,2083,3420,4232,4180,4321,7078,26288
神奈川県,いいえ,188018,225151,224385,178085,122757,80615,87396,1106407,142023,173609,175805,135838,97717,78828,104244,908064
新潟県,はい,974,2039,3044,3789,4349,4583,5871,24649,294,602,911,1202,1654,2084,3189,9936
新潟県,いいえ,45942,53192,48706,42157,37213,32131,34607,293948,35831,43889,41161,36989,33856,34333,40832,266891
富山県,はい,440,1045,1506,1870,2078,2044,2689,11672,128,253,415,550,714,930,1657,4647
富山県,いいえ,22037,27752,25061,19517,15984,13020,15177,138548,16656,21950,21066,17542,15109,14877,20265,127465
石川県,はい,466,1042,1697,2005,2196,2427,3281,13114,145,294,483,648,851,1183,2063,5667
石川県,いいえ,22540,28328,24671,19479,16029,12753,15313,139113,18432,23752,22086,18381,16036,15161,20498,134346
福井県,はい,326,718,1037,1365,1552,1558,1799,8355,113,205,335,422,569,662,989,3295
福井県,いいえ,15455,17928,16057,13456,11381,8579,8599,91455,12106,14862,14109,12459,10743,9285,10353,83917
山梨県,はい,349,687,1141,1456,1715,1901,2403,9652,113,202,358,521,638,903,1408,4143
山梨県,いいえ,15371,18310,18201,15855,13162,11556,11868,104323,12455,15778,16130,14689,13314,13055,14202,99623
長野県,はい,861,1745,2807,3441,3780,4040,5536,22210,286,496,794,1162,1553,2067,3268,9626
長野県,いいえ,40800,49346,46382,38552,31942,27731,31219,265972,31042,40004,39493,34554,30781,30186,38092,244152
岐阜県,はい,752,1768,2793,3388,3726,3806,5170,21403,224,499,797,1081,1385,1953,3291,9230
岐阜県,いいえ,38638,47246,43778,35550,29456,24461,27567,246696,27588,35640,35891,30999,27890,26747,33702,218457
静岡県,はい,1603,3684,5491,6608,6945,6345,7730,38406,466,999,1526,1953,2424,2961,4511,14840
静岡県,いいえ,74810,88850,84082,68495,56084,43402,47398,463121,54218,67811,67762,56830,49834,45806,56304,398565
愛知県,はい,3573,7782,12413,14280,13412,11726,15738,78924,906,1934,3094,3754,4420,5891,10398,30397
愛知県,いいえ,166577,195182,184202,141688,102040,72072,83101,944862,113489,139703,137811,108615,85338,76926,104176,766058
三重県,はい,778,1768,2661,3386,3332,3338,4535,19798,223,479,796,1051,1341,1754,3119,8763
三重県,いいえ,34098,42258,40047,32719,26360,21423,25438,222343,25275,32441,32373,27725,24503,24714,33057,200088
滋賀県,はい,535,1171,1816,2263,2395,2313,3000,13493,158,322,523,630,866,1097,1776,5372
滋賀県,いいえ,29593,33805,30151,24203,19721,15652,17467,170592,23400,27291,25666,21534,18945,17125,21412,155373
京都府,はい,662,1726,2859,3327,3654,3333,4539,20100,238,470,765,1054,1106,1333,2625,7591
京都府,いいえ,44027,54238,50592,40120,31630,23603,27599,271809,36013,45027,43338,35635,28823,25279,34338,248453
大阪府,はい,3126,7106,11612,13401,12541,10741,13769,72296,1242,2193,3537,4060,4126,4643,8358,28159
大阪府,いいえ,148772,184319,179748,135496,97293,67593,76603,889824,121467,152237,153075,120359,89092,75168,102164,813562
兵庫県,はい,1709,4236,6896,8587,9232,8181,10633,49474,540,1076,1757,2343,2758,3286,5638,17398
兵庫県,いいえ,96249,118592,113618,89966,70871,54693,61019,605008,74304,94886,94346,77126,63863,57843,75095,537463
奈良県,はい,373,962,1590,2032,2101,2066,2694,11818,117,269,413,548,711,893,1662,4613
奈良県,いいえ,20187,25636,25158,20524,16622,13226,15794,137147,17108,21629,22238,18797,15803,15678,21307,132560
和歌山県,はい,289,662,1103,1450,1616,1634,2107,8861,99,191,344,437,549,763,1315,3698
和歌山県,いいえ,14212,17936,16660,14031,12419,10190,11661,97109,11053,14127,14402,13268,11853,11803,15094,91600
鳥取県,はい,203,382,544,726,892,985,1121,4853,60,117,159,262,355,490,702,2145
鳥取県,いいえ,9845,11133,9701,8616,7907,6617,6713,60532,7937,9380,8557,7857,7479,7296,8436,56942
島根県,はい,258,548,767,1058,1280,1497,1926,7334,75,165,233,343,483,667,1189,3155
島根県,いいえ,12597,14683,12635,10926,10707,9692,11148,82388,10415,12631,11269,10405,10367,10723,13602,79412
岡山県,はい,710,1689,2629,3106,3314,3195,3544,18187,263,522,802,1060,1267,1428,2143,7485
岡山県,いいえ,34501,41927,36675,28963,24444,19523,20182,206215,26960,33827,31712,25952,22872,20747,24860,186930
広島県,はい,1085,2477,3722,4571,4774,4279,5053,25961,323,624,955,1248,1473,1747,2722,9092
広島県,いいえ,52173,64455,58612,45839,37143,27353,27842,313417,38581,49229,46935,37608,31697,27323,32444,263817
山口県,はい,456,1047,1542,1856,2211,2052,2700,11864,132,290,450,593,779,1000,1672,4916
山口県,いいえ,22509,28218,24854,20046,17789,14910,16112,144438,16420,20954,20783,17334,16080,16131,20753,128455
徳島県,はい,309,638,854,1099,1252,1302,1771,7225,102,212,288,407,532,778,1153,3472
徳島県,いいえ,12466,14283,12764,10949,9879,8954,10246,79541,10105,12498,11959,10786,10186,10759,12958,79251
香川県,はい,398,902,1315,1594,1902,1906,2639,10656,160,245,431,525,727,931,1678,4697
香川県,いいえ,17574,21546,18761,15028,13023,11342,13710,110984,13841,17590,16325,13610,12954,13306,18421,106047
愛媛県,はい,548,1175,1734,2153,2574,2074,2340,12598,183,365,541,719,851,907,1358,4924
愛媛県,いいえ,23798,29011,25234,21339,18339,14450,14738,146909,19153,23466,22613,19581,17606,15931,18398,136748
高知県,はい,278,621,871,1156,1195,1326,1660,7107,100,199,319,464,578,670,1065,3395
高知県,いいえ,11751,14195,12120,10109,9205,8017,9120,74517,9893,12424,11603,10112,9543,9383,11606,74564
福岡県,はい,2058,4248,6370,7689,8606,8386,10062,47419,664,1204,1792,2295,2863,3682,5743,18243
福岡県,いいえ,93238,104582,91301,72631,61994,50037,52426,526209,75302,86200,79899,66082,57247,53883,64928,483541
佐賀県,はい,298,652,982,1332,1577,1816,2325,8982,117,224,276,438,637,920,1407,4019
佐賀県,いいえ,14273,15311,13396,12304,11290,10107,10457,87138,11191,12770,12089,11170,11032,11265,12645,82162
長崎県,はい,484,1029,1581,1936,2487,2630,3052,13199,177,338,469,697,975,1355,2037,6048
長崎県,いいえ,19681,23066,21579,19706,18452,16535,17738,136757,17402,20436,20259,18751,18031,18772,22284,135935
熊本県,はい,800,1624,2391,3221,3721,3757,3955,19469,265,504,811,1148,1440,1782,2302,8252
熊本県,いいえ,30672,33088,28737,26571,24460,21625,21204,186357,26382,29893,27768,26333,24674,23852,25797,184699
大分県,はい,537,1141,1607,1989,2560,2536,3133,13503,179,315,515,699,902,1216,2002,5828
大分県,いいえ,20845,24026,20581,17839,16603,14493,15044,129431,17371,20361,19340,17091,16723,15971,18992,125849
宮崎県,はい,423,907,1320,1620,2039,2233,2798,11340,154,282,439,582,844,1114,1866,5281
宮崎県,いいえ,18321,20358,17521,15783,14973,13182,14219,114357,14402,16942,15715,14471,14139,14948,17945,108562
鹿児島県,はい,691,1353,1942,2759,3510,3913,4970,19138,202,402,675,1010,1525,2115,3218,9147
鹿児島県,いいえ,25370,27509,24816,23662,23381,21637,23399,169774,20157,22395,21812,20797,21598,24038,28267,159064
沖縄県,はい,553,1326,1762,2123,2220,2497,2661,13142,229,428,690,830,1021,1418,1707,6323
沖縄県,いいえ,24013,27263,23553,19233,16548,14007,12843,137460,22180,25025,22334,18866,16588,15473,14884,135350
都道府県判別不可,はい,1558,3522,5864,7984,4959,1464,878,26229,300,688,1081,1379,1114,600,492,5654
都道府県判別不可,いいえ,87666,93845,89810,79633,38378,10076,5904,405312,45458,53008,50368,38515,19730,7604,4346,219029
