都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,1,4067,4988,4238,3660,3217,2863,3258,26291,3172,4029,3868,3367,3110,3206,4075,24827
北海道,0101,南渡島,2,512,815,992,1040,1037,718,460,5574,325,522,648,708,611,417,357,3588
北海道,0101,南渡島,3,33,76,92,104,138,274,464,1181,34,64,70,94,179,416,711,1568
北海道,0102,南檜山,1,227,292,263,211,213,183,219,1608,169,187,184,184,177,202,283,1386
北海道,0102,南檜山,2,24,40,53,69,70,63,47,366,12,31,30,27,58,47,68,273
北海道,0102,南檜山,3,-,-,-,-,-,-,-,36,-,-,-,-,-,-,13,34
北海道,0103,北渡島檜山,1,338,374,327,270,240,240,267,2056,214,284,233,243,220,270,325,1789
北海道,0103,北渡島檜山,2,43,58,81,96,97,93,87,555,28,34,43,55,67,81,94,402
北海道,0103,北渡島檜山,3,-,-,10,-,11,10,-,47,-,-,-,-,-,-,-,18
北海道,0104,札幌,1,32752,37957,34506,28473,23247,13748,8165,178848,26215,30543,28304,22589,15917,8706,6034,138308
北海道,0104,札幌,2,3606,5535,6640,7217,7142,4606,2718,37464,2701,3882,4493,4792,3928,2461,1887,24144
北海道,0104,札幌,3,200,347,368,418,439,291,167,2230,80,103,114,114,104,55,58,628
北海道,0105,後志,1,2173,2698,2460,2099,1737,1529,1619,14315,1581,2079,1980,1730,1567,1518,1967,12422
北海道,0105,後志,2,295,507,551,678,681,634,614,3960,158,312,339,426,438,493,669,2835
北海道,0105,後志,3,24,51,43,49,56,45,38,306,-,-,11,17,-,22,22,85
北海道,0106,南空知,1,1568,2096,1779,1671,1602,1415,1291,11422,1194,1632,1580,1467,1387,1231,1501,9992
北海道,0106,南空知,2,161,304,327,466,509,432,422,2621,113,174,256,309,321,333,448,1954
北海道,0106,南空知,3,11,24,26,23,33,32,31,180,-,-,-,10,-,13,16,65
北海道,0107,中空知,1,947,1365,1167,1126,996,851,1002,7454,884,1125,1015,1001,914,971,1232,7142
