都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,223,484,705,849,916,895,903,4975,80,186,415,722,912,1174,1738,5227
北海道,0101,南渡島,いいえ,5054,6157,5389,4575,3981,3337,3507,32000,4098,5261,5033,4155,3473,3147,3629,28796
北海道,0102,南檜山,はい,17,35,63,65,69,70,75,394,-,-,35,50,78,87,159,428
北海道,0102,南檜山,いいえ,268,337,308,282,253,216,218,1882,220,244,234,211,189,192,209,1499
北海道,0103,北渡島檜山,はい,25,52,77,98,78,96,115,541,13,16,34,81,90,124,183,541
北海道,0103,北渡島檜山,いいえ,449,486,428,366,347,276,262,2614,295,392,314,300,236,241,245,2023
北海道,0104,札幌,はい,1914,4164,6145,7354,7915,5370,3577,36439,575,1372,2753,4504,4991,3620,3298,21113
北海道,0104,札幌,いいえ,38978,44846,40259,32766,26393,15393,8669,207304,32408,38195,34780,26725,17264,8627,5459,163458
北海道,0105,後志,はい,123,353,446,581,636,668,656,3463,37,109,228,427,558,656,1109,3124
北海道,0105,後志,いいえ,2638,3252,2966,2554,2086,1775,1784,17055,1948,2592,2374,2009,1687,1553,1741,13904
北海道,0106,南空知,はい,116,294,366,483,603,645,730,3237,32,110,218,398,548,630,1079,3015
北海道,0106,南空知,いいえ,1782,2362,1987,1923,1782,1454,1235,12525,1406,1880,1823,1561,1315,1115,1146,10246
北海道,0107,中空知,はい,66,206,255,352,391,374,457,2101,29,64,146,264,354,542,823,2222
北海道,0107,中空知,いいえ,1150,1573,1387,1250,1117,914,1069,8460,1061,1392,1232,1151,968,862,1085,7751
北海道,0108,北空知,はい,24,64,81,107,143,127,147,693,11,16,41,85,104,145,242,644
北海道,0108,北空知,いいえ,298,373,338,352,293,264,300,2218,296,337,344,284,249,246,277,2033
北海道,0109,西胆振,はい,154,326,393,463,560,582,726,3204,40,110,228,330,499,745,1241,3193
北海道,0109,西胆振,いいえ,2341,3082,2623,2133,1794,1623,1818,15414,1768,2364,2207,1830,1436,1337,1678,12620
北海道,0110,東胆振,はい,175,464,534,661,654,732,837,4057,48,126,232,428,576,914,1283,3607
北海道,0110,東胆振,いいえ,3790,4456,3596,2960,2417,2080,2144,21443,2413,2899,2487,2028,1584,1591,1999,15001
北海道,0111,日高,はい,44,99,165,183,192,179,198,1060,16,31,76,146,169,231,300,969
北海道,0111,日高,いいえ,818,960,788,657,573,464,439,4699,548,714,624,500,409,366,402,3563
北海道,0112,上川中部,はい,359,695,992,1154,1310,1276,1458,7244,94,228,503,819,1118,1536,2481,6779
北海道,0112,上川中部,いいえ,4896,5879,5070,4216,3776,2987,2994,29818,4055,4972,4632,3528,2868,2534,3098,25687
北海道,0113,上川北部,はい,60,144,204,249,281,262,354,1554,15,47,90,142,256,321,576,1447
北海道,0113,上川北部,いいえ,807,952,836,737,721,568,601,5222,667,798,697,668,522,482,554,4388
北海道,0114,富良野,はい,23,82,122,141,171,181,277,997,16,22,69,122,189,266,426,1110
北海道,0114,富良野,いいえ,541,594,558,566,474,425,433,3591,491,596,560,477,396,344,421,3285
北海道,0115,留萌,はい,32,85,106,115,162,179,170,849,10,21,60,104,150,192,306,843
北海道,0115,留萌,いいえ,491,660,586,524,446,340,327,3374,390,512,480,399,363,339,382,2865
北海道,0116,宗谷,はい,70,161,176,222,232,229,225,1315,16,42,88,140,183,232,341,1042
北海道,0116,宗谷,いいえ,894,1104,910,810,713,586,492,5509,697,733,649,560,446,397,406,3888
北海道,0117,北網,はい,172,403,505,680,725,616,701,3802,38,121,222,431,592,703,1182,3289
北海道,0117,北網,いいえ,2943,3484,2963,2612,2335,1594,1598,17529,2295,2756,2431,2219,1773,1443,1590,14507
北海道,0118,遠紋,はい,39,122,159,219,216,206,268,1229,-,-,76,151,175,262,465,1173
北海道,0118,遠紋,いいえ,809,970,918,823,701,530,564,5315,565,701,752,615,525,496,587,4241
北海道,0119,十勝,はい,255,602,797,1036,1247,1256,1468,6661,68,193,437,713,1094,1428,2225,6158
北海道,0119,十勝,いいえ,4828,5759,5021,4433,3824,3054,3121,30040,3764,4648,4303,3708,2936,2672,3078,25109
北海道,0120,釧路,はい,192,420,579,688,790,733,825,4227,61,127,279,474,672,889,1164,3666
北海道,0120,釧路,いいえ,3270,3929,3536,2931,2616,2021,1958,20261,2474,3178,2843,2304,1901,1746,1835,16281
北海道,0121,根室,はい,59,112,143,173,163,166,149,965,11,34,63,102,158,187,235,790
北海道,0121,根室,いいえ,966,1097,893,817,691,528,495,5487,753,821,758,660,544,492,451,4479
青森県,0201,津軽地域,はい,281,451,652,814,889,799,944,4830,91,178,420,806,1138,1380,1814,5827
青森県,0201,津軽地域,いいえ,4195,4507,4051,3685,3431,2701,2762,25332,3803,4269,3965,3723,2970,2596,2847,24173
青森県,0202,八戸地域,はい,334,768,1095,1245,1421,1242,1162,7267,91,248,534,893,1244,1453,1743,6206
青森県,0202,八戸地域,いいえ,5678,6468,6125,5190,4615,3556,3308,34940,4401,5464,5288,4326,3557,3077,3160,29273
青森県,0203,青森地域,はい,331,640,877,1041,1232,1076,1402,6599,116,238,493,883,1269,1655,2614,7268
青森県,0203,青森地域,いいえ,5233,6190,5476,5019,4407,3161,3173,32659,4570,5441,4780,4215,3337,2732,3043,28118
青森県,0204,西北五地域,はい,82,189,282,357,341,350,339,1940,29,81,200,384,542,749,847,2832
青森県,0204,西北五地域,いいえ,1492,1747,1653,1701,1475,1408,1421,10897,1297,1552,1606,1457,1413,1314,1380,10019
青森県,0205,上十三地域,はい,203,391,469,571,661,625,594,3514,49,125,271,469,712,866,1058,3550
青森県,0205,上十三地域,いいえ,2906,3183,2851,2429,2243,1888,1919,17419,2195,2650,2412,2004,1820,1700,1861,14642
青森県,0206,下北地域,はい,74,137,165,210,246,236,233,1301,26,52,126,184,287,337,423,1435
青森県,0206,下北地域,いいえ,927,1107,970,911,865,744,766,6290,765,963,894,710,658,671,664,5325
岩手県,0301,盛岡,はい,439,853,1110,1371,1559,1536,1944,8812,119,313,624,1048,1620,2255,3356,9335
岩手県,0301,盛岡,いいえ,9352,10505,9479,8047,7261,5643,5792,56079,7504,8824,7960,6687,5813,5414,5896,48098
岩手県,0302,岩手中部,はい,161,320,450,579,560,550,526,3146,57,119,229,419,601,868,1165,3458
岩手県,0302,岩手中部,いいえ,4685,5065,4254,3869,3407,3063,3184,27527,3378,3953,3549,3144,2812,2852,3187,22875
岩手県,0303,胆江,はい,120,249,305,365,420,508,611,2578,46,103,191,342,546,853,1217,3298
岩手県,0303,胆江,いいえ,2610,2884,2300,2167,2143,1969,1910,15983,1975,2226,1890,1777,1737,1675,1808,13088
岩手県,0304,両磐,はい,86,171,248,294,331,314,324,1768,30,73,138,270,410,501,650,2072
岩手県,0304,両磐,いいえ,2118,2301,1957,1949,1927,1811,1872,13935,1616,1858,1710,1606,1577,1612,1602,11581
岩手県,0305,気仙,はい,23,54,94,134,143,114,153,715,16,31,59,130,188,278,386,1088
岩手県,0305,気仙,いいえ,843,1119,1105,1070,892,844,888,6761,688,890,908,885,753,815,875,5814
岩手県,0306,釜石,はい,27,69,87,123,96,100,88,590,14,16,52,91,138,162,240,713
岩手県,0306,釜石,いいえ,684,808,785,710,626,587,561,4761,523,622,615,558,494,480,603,3895
岩手県,0307,宮古,はい,35,63,125,111,101,110,161,706,14,37,71,115,156,261,432,1086
岩手県,0307,宮古,いいえ,1103,1226,1365,1312,1126,1122,1328,8582,806,998,1031,907,997,1062,1266,7067
岩手県,0308,久慈,はい,48,76,106,143,192,154,195,914,21,42,87,148,232,337,410,1277
岩手県,0308,久慈,いいえ,819,979,975,833,922,827,918,6273,686,820,892,700,763,767,844,5472
岩手県,0309,二戸,はい,43,96,145,182,197,250,255,1168,17,30,97,154,268,396,490,1452
岩手県,0309,二戸,いいえ,799,904,889,892,876,896,886,6142,716,803,893,768,747,775,835,5537
宮城県,0401,仙南,はい,178,363,463,570,706,798,886,3964,59,138,259,565,800,1011,1314,4146
宮城県,0401,仙南,いいえ,3092,3223,2693,2383,2406,2530,2656,18983,2334,2800,2417,2107,2055,2251,2196,16160
宮城県,0403,仙台,はい,1789,3646,5170,5845,6259,6164,7280,36153,499,1167,2466,4116,5639,7703,11656,33246
宮城県,0403,仙台,いいえ,32175,36339,31590,24192,19333,15794,16587,176010,27156,31203,27137,20582,16673,14532,15793,153076
宮城県,0406,大崎・栗原,はい,297,566,784,970,1208,1263,1307,6395,100,204,392,742,1224,1663,1855,6180
宮城県,0406,大崎・栗原,いいえ,5088,5055,4049,3896,3937,3705,3655,29385,3896,4294,3763,3399,3293,3261,3133,25039
宮城県,0409,石巻・登米・気仙沼,はい,401,690,931,1201,1370,1461,1723,7777,113,277,596,1085,1620,2149,2980,8820
宮城県,0409,石巻・登米・気仙沼,いいえ,5627,6079,5399,4851,4727,4624,5044,36351,4450,5048,4699,4439,4149,4113,4389,31287
秋田県,0501,大館・鹿角,はい,114,236,284,394,440,422,451,2341,47,80,207,376,555,594,795,2654
秋田県,0501,大館・鹿角,いいえ,1689,1888,1604,1596,1535,1254,1200,10766,1419,1580,1483,1332,1185,1029,1128,9156
秋田県,0502,北秋田,はい,28,67,85,127,144,124,152,727,-,-,54,93,182,192,222,772
秋田県,0502,北秋田,いいえ,419,501,455,497,437,462,423,3194,359,434,435,379,355,357,419,2738
秋田県,0503,能代・山本,はい,86,165,250,316,366,335,395,1913,33,80,163,339,535,615,816,2581
秋田県,0503,能代・山本,いいえ,1101,1221,1129,1063,1037,919,880,7350,933,1145,1124,926,839,733,744,6444
秋田県,0504,秋田周辺,はい,417,884,1219,1585,1784,1553,1600,9042,132,284,644,1150,1643,1914,2823,8590
秋田県,0504,秋田周辺,いいえ,7077,8044,6884,6031,5374,4196,4103,41709,6027,6945,6129,4957,4168,3811,4051,36088
秋田県,0505,由利本荘・にかほ,はい,89,146,256,315,379,473,494,2152,27,73,154,301,461,631,748,2395
秋田県,0505,由利本荘・にかほ,いいえ,1503,1537,1373,1302,1274,1242,1174,9405,1338,1461,1412,1263,1140,1146,1022,8782
秋田県,0506,大仙・仙北,はい,114,225,304,401,555,517,569,2685,42,91,211,414,686,839,968,3251
秋田県,0506,大仙・仙北,いいえ,1916,2002,1734,1664,1753,1705,1755,12529,1677,1786,1699,1589,1659,1688,1575,11673
秋田県,0507,横手,はい,101,169,264,329,434,385,441,2123,25,58,162,306,452,705,757,2465
秋田県,0507,横手,いいえ,1556,1588,1296,1263,1246,1156,1196,9301,1315,1480,1353,1204,1140,1117,1036,8645
秋田県,0508,湯沢・雄勝,はい,59,107,142,229,255,256,271,1319,-,-,118,181,308,362,438,1470
秋田県,0508,湯沢・雄勝,いいえ,949,946,952,982,1030,980,967,6806,789,903,879,837,844,865,821,5938
山形県,0601,村山,はい,590,1158,1665,2085,2325,2441,2768,13032,225,450,1020,1943,2786,3746,4349,14519
山形県,0601,村山,いいえ,11350,11639,9984,8655,8262,7509,7679,65078,10035,10784,9315,7961,7275,6263,5826,57459
山形県,0602,最上,はい,70,117,197,213,275,277,295,1444,24,70,124,270,420,462,571,1941
山形県,0602,最上,いいえ,1342,1461,1215,1313,1410,1343,1323,9407,1158,1277,1266,1147,1236,1214,986,8284
山形県,0603,置賜,はい,230,442,617,746,827,934,991,4787,61,158,382,721,1078,1345,1624,5369
山形県,0603,置賜,いいえ,4312,4569,4063,3703,3551,3208,3238,26644,3639,3993,3662,3295,2898,2711,2450,22648
山形県,0604,庄内,はい,298,542,784,984,1185,1220,1501,6514,100,243,554,1033,1542,2054,2661,8187
山形県,0604,庄内,いいえ,5398,5819,5194,4738,4699,4453,4524,34825,4769,5337,4923,4394,4113,3950,3898,31384
福島県,0701,県北,はい,491,1020,1455,1793,2001,2056,2444,11260,156,421,766,1350,2088,2868,3826,11475
福島県,0701,県北,いいえ,8669,9794,8712,7620,6861,5943,6385,53984,7198,8282,7797,6595,5835,5338,5574,46619
福島県,0702,県中,はい,540,1111,1457,1690,2144,2056,2378,11376,175,347,741,1492,2111,2900,3890,11656
福島県,0702,県中,いいえ,9423,10167,8551,7515,6761,5692,5571,53680,7874,8805,7755,6769,6106,5182,5101,47592
福島県,0703,県南,はい,175,328,399,519,585,663,685,3354,41,96,202,400,669,845,1077,3330
福島県,0703,県南,いいえ,2833,2882,2397,2331,2128,1963,1956,16490,2237,2448,2068,1804,1914,1795,1684,13950
福島県,0706,相双,はい,189,324,399,509,658,889,1009,3977,61,136,254,486,866,1231,1544,4578
福島県,0706,相双,いいえ,2199,2524,2164,1936,1982,2104,2341,15250,1645,1849,1702,1554,1769,1929,2038,12486
福島県,0707,いわき,はい,324,710,1018,1263,1388,1301,1394,7398,115,230,517,899,1295,1449,1933,6438
福島県,0707,いわき,いいえ,5708,6543,5827,4780,3970,3115,2882,32825,4325,5161,4603,3911,3276,2550,2539,26365
福島県,0708,会津・南会津,はい,271,529,681,1002,1134,1219,1360,6196,74,165,406,791,1223,1797,2276,6732
福島県,0708,会津・南会津,いいえ,4279,4582,4056,3982,3867,3552,3760,28078,3657,4223,3925,3757,3512,3342,3266,25682
茨城県,0801,水戸,はい,446,917,1318,1474,1564,1339,1363,8421,108,298,572,1139,1371,1680,2208,7376
茨城県,0801,水戸,いいえ,8806,10125,9140,7174,5747,4574,4231,49797,6840,8126,7579,5980,4650,4116,3955,41246
茨城県,0802,日立,はい,256,536,819,973,995,869,1046,5494,59,162,381,623,844,963,1335,4367
茨城県,0802,日立,いいえ,4424,5621,5721,4538,3611,2855,2868,29638,3044,4082,4208,3161,2517,2231,2411,21654
茨城県,0803,常陸太田・ひたちなか,はい,357,816,1236,1387,1449,1289,1404,7938,102,235,574,944,1207,1620,2316,6998
茨城県,0803,常陸太田・ひたちなか,いいえ,6607,7783,7504,6216,4859,4120,4182,41271,4915,5984,5975,4649,3944,3646,3606,32719
茨城県,0804,鹿行,はい,262,550,770,858,861,883,941,5125,60,169,337,577,847,1077,1483,4550
茨城県,0804,鹿行,いいえ,4809,5575,4732,3618,3044,2858,2810,27446,3534,4146,3917,3014,2681,2575,2616,22483
茨城県,0805,土浦,はい,220,459,697,830,828,784,919,4737,61,185,305,566,785,975,1465,4342
茨城県,0805,土浦,いいえ,4751,5638,5060,3983,3042,2746,2640,27860,3390,4354,4110,3205,2670,2301,2492,22522
茨城県,0806,つくば,はい,364,759,965,1079,1057,897,981,6102,92,237,450,736,899,1125,1473,5012
茨城県,0806,つくば,いいえ,8000,8273,6836,5037,3794,2876,2944,37760,6291,6996,5763,4139,3096,2606,2640,31531
茨城県,0807,取手・竜ヶ崎,はい,375,863,1192,1473,1468,1432,1948,8751,115,289,614,1047,1310,1757,2661,7793
茨城県,0807,取手・竜ヶ崎,いいえ,8417,10309,9108,6888,5388,4857,5504,50471,6564,8142,7343,5688,4771,4601,5266,42375
茨城県,0808,筑西・下妻,はい,232,439,649,761,875,909,829,4694,69,178,390,672,935,1235,1437,4916
茨城県,0808,筑西・下妻,いいえ,4382,5033,4364,3519,3143,2924,2628,25993,3355,4022,3787,3065,2692,2598,2318,21837
茨城県,0809,古河・坂東,はい,157,340,578,587,671,515,690,3538,40,105,279,448,658,852,1111,3493
茨城県,0809,古河・坂東,いいえ,4080,4640,4295,3329,2944,2580,2549,24417,2864,3648,3429,2647,2385,2324,2352,19649
栃木県,0901,県北,はい,422,743,1027,1221,1370,1462,1688,7933,84,295,574,982,1565,2157,2798,8455
栃木県,0901,県北,いいえ,7500,8060,6988,5584,5208,4931,5040,43311,5490,6331,5689,4631,4242,4134,4043,34560
栃木県,0902,県西,はい,146,350,504,596,680,696,759,3731,44,151,281,495,703,929,1348,3951
栃木県,0902,県西,いいえ,2994,3659,3396,2765,2538,2179,2224,19755,2327,2908,2771,2256,2022,1880,1893,16057
栃木県,0903,宇都宮,はい,646,1318,1876,1986,1894,1438,1692,10850,145,406,853,1361,1601,1801,2657,8824
栃木県,0903,宇都宮,いいえ,12010,13150,11530,8707,6287,4231,3964,59879,8651,9879,8732,6152,4435,3468,3588,44905
栃木県,0904,県東,はい,144,331,401,487,567,702,776,3408,56,123,257,421,691,1020,1296,3864
栃木県,0904,県東,いいえ,3150,3364,2759,2322,2150,2064,2061,17870,2122,2478,2112,1738,1731,1720,1614,13515
栃木県,0905,県南,はい,431,997,1377,1575,1696,1712,1965,9753,140,363,732,1262,1711,2353,3052,9613
栃木県,0905,県南,いいえ,9115,11093,9437,7444,6308,5357,5131,53885,6859,8101,7647,5680,4931,4392,4382,41992
栃木県,0906,両毛,はい,211,453,691,753,792,742,1000,4642,43,156,305,557,793,1137,1672,4663
栃木県,0906,両毛,いいえ,4524,5384,4965,4021,3176,2646,2676,27392,3057,3916,3771,3028,2426,2278,2516,20992
群馬県,1001,前橋,はい,286,646,946,1099,1214,1262,1437,6890,65,196,435,822,1065,1709,2513,6805
群馬県,1001,前橋,いいえ,6676,7694,6980,5558,4469,3665,3915,38957,4946,6220,5943,4799,3796,3396,3886,32986
群馬県,1002,渋川,はい,85,186,250,326,372,370,386,1975,32,58,157,220,381,492,716,2056
群馬県,1002,渋川,いいえ,2010,2236,2003,1617,1638,1381,1472,12357,1508,1791,1765,1391,1234,1221,1359,10269
群馬県,1003,伊勢崎,はい,173,382,558,658,728,716,900,4115,57,119,273,512,674,1061,1686,4382
群馬県,1003,伊勢崎,いいえ,4863,5772,5284,4214,3341,2656,2899,29029,3573,4436,4279,3183,2552,2434,2951,23408
群馬県,1004,高崎・安中,はい,342,752,1184,1197,1363,1234,1588,7660,95,243,502,886,1087,1672,2640,7125
群馬県,1004,高崎・安中,いいえ,7972,9691,9024,7078,5300,4300,4535,47900,5905,7653,7372,5727,4396,4077,4900,40030
群馬県,1005,藤岡,はい,56,101,168,182,193,202,279,1181,-,-,88,129,187,303,496,1257
群馬県,1005,藤岡,いいえ,1040,1386,1196,1017,873,753,924,7189,699,1011,1014,830,733,701,885,5873
群馬県,1006,富岡,はい,51,114,156,211,246,307,377,1462,-,-,96,214,271,436,632,1705
群馬県,1006,富岡,いいえ,1032,1272,1153,1084,1000,1003,1066,7610,790,1101,1047,879,859,897,999,6572
群馬県,1007,吾妻,はい,35,65,98,160,189,215,283,1045,-,-,63,111,205,258,401,1075
群馬県,1007,吾妻,いいえ,678,926,927,815,891,840,927,6004,530,724,788,737,713,701,828,5021
群馬県,1008,沼田,はい,44,115,199,244,287,371,485,1745,15,59,91,187,348,475,653,1828
群馬県,1008,沼田,いいえ,1124,1375,1348,1229,1225,1216,1232,8749,929,1253,1158,1137,1085,1105,1188,7855
群馬県,1009,桐生,はい,109,252,410,460,515,551,850,3147,35,110,211,346,499,809,1449,3459
群馬県,1009,桐生,いいえ,2493,3131,3016,2371,1986,1620,2032,16649,1813,2483,2574,1942,1660,1611,2015,14098
群馬県,1010,太田・館林,はい,304,689,967,1035,1031,1140,1669,6835,75,211,463,751,1066,1646,2860,7072
群馬県,1010,太田・館林,いいえ,8226,9218,8231,6202,4460,3945,4876,45158,5018,6596,5986,4363,3534,3808,4769,34074
埼玉県,1101,南部,はい,739,1547,2398,2560,2273,1893,2529,13939,213,501,1163,1725,2080,2333,4084,12099
埼玉県,1101,南部,いいえ,16656,18907,17559,12696,8405,5943,6171,86337,12113,14448,13540,9917,6520,4922,6257,67717
埼玉県,1102,南西部,はい,626,1315,2034,2289,1978,1798,2468,12508,147,426,928,1496,1724,2287,4328,11336
