都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,4142,9367,13013,15873,17454,14842,14316,89007,1224,3024,6293,10633,13466,14884,20856,70380
北海道,いいえ,78011,92312,81360,68287,57333,40429,34028,451760,62612,75985,69557,55892,41084,30222,30272,365624
青森県,はい,1305,2576,3540,4238,4790,4328,4674,25451,402,922,2044,3619,5192,6440,8499,27118
青森県,いいえ,20431,23202,21126,18935,17036,13458,13349,127537,17031,20339,18945,16435,13755,12090,12955,111550
岩手県,はい,982,1951,2670,3302,3599,3636,4257,20397,334,764,1548,2717,4159,5911,8346,23779
岩手県,いいえ,23013,25791,23109,20849,19180,16762,17339,146043,17892,20994,19448,17032,15693,15452,16916,123427
宮城県,はい,2665,5265,7348,8586,9543,9686,11196,54289,771,1786,3713,6508,9283,12526,17805,52392
宮城県,いいえ,45982,50696,43731,35322,30403,26653,27942,260729,37836,43345,38016,30527,26170,24157,25511,225562
秋田県,はい,1008,1999,2804,3696,4357,4065,4373,22302,328,736,1713,3160,4822,5852,7567,24178
秋田県,いいえ,16210,17727,15427,14398,13686,11914,11698,101060,13857,15734,14514,12487,11330,10746,10796,89464
山形県,はい,1188,2259,3263,4028,4612,4872,5555,25777,410,921,2080,3967,5826,7607,9205,30016
山形県,いいえ,22402,23488,20456,18409,17922,16513,16764,135954,19601,21391,19166,16797,15522,14138,13160,119775
福島県,はい,1990,4022,5409,6776,7910,8184,9270,43561,622,1395,2886,5418,8252,11090,14546,44209
福島県,いいえ,33111,36492,31707,28164,25569,22369,22895,200307,26936,30768,27850,24390,22412,20136,20202,172694
茨城県,はい,2669,5679,8224,9422,9768,8917,10121,54800,706,1858,3902,6752,8856,11284,15489,48847
茨城県,いいえ,54276,62997,56760,44302,35572,30390,30356,314653,40797,49500,46111,35548,29406,26998,27656,256016
栃木県,はい,2000,4192,5876,6618,6999,6752,7880,40317,512,1494,3002,5078,7064,9397,12823,39370
栃木県,いいえ,39293,44710,39075,30843,25667,21408,21096,222092,28506,33613,30722,23485,19787,17872,18036,172021
群馬県,はい,1485,3302,4936,5572,6138,6368,8254,36055,414,1103,2379,4178,5783,8861,14046,36764
群馬県,いいえ,36114,42701,39162,31185,25183,21379,23878,219602,25711,33268,31926,24988,20562,19951,23780,180186
埼玉県,はい,5947,13424,20201,22380,21967,21295,28422,133636,1615,4282,9661,15624,19771,27020,46133,124106
埼玉県,いいえ,141577,167094,154867,115908,85494,67712,77160,809812,105022,128195,122606,91259,67838,60851,76631,652402
千葉県,はい,5092,11457,17452,19415,19193,18195,24109,114913,1488,3678,8333,13462,17008,23130,38676,105775
