都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,1787,2055,1761,1268,878,578,407,8734,943,1238,1160,861,564,424,321,5511
北海道,0101,南渡島,いいえ,2713,3688,3407,3403,3362,3192,3738,23503,2562,3358,3455,3296,3313,3605,4842,24431
北海道,0102,南檜山,はい,113,110,114,80,51,52,28,548,57,66,64,57,41,23,28,336
北海道,0102,南檜山,いいえ,159,240,217,225,253,213,250,1557,150,172,183,186,217,245,337,1490
北海道,0103,北渡島檜山,はい,157,179,143,108,70,50,30,737,79,88,68,51,41,24,21,372
北海道,0103,北渡島檜山,いいえ,240,269,287,283,288,298,329,1994,168,236,222,264,261,329,402,1882
北海道,0104,札幌,はい,14612,16224,13583,9469,6072,2717,1253,63930,7241,8411,7424,5266,3077,1240,637,33296
北海道,0104,札幌,いいえ,22804,28514,28757,27170,25254,16228,9930,158657,22160,26718,26012,22690,17179,10097,7419,132275
北海道,0105,後志,はい,1007,1200,973,711,516,331,248,4986,486,629,508,445,316,202,203,2789
北海道,0105,後志,いいえ,1514,2074,2113,2128,1977,1911,2057,13774,1289,1803,1845,1758,1731,1858,2512,12796
北海道,0106,南空知,はい,639,838,636,537,391,211,142,3394,330,445,401,348,241,162,125,2052
北海道,0106,南空知,いいえ,1126,1618,1540,1659,1780,1678,1603,11004,1001,1406,1480,1461,1492,1432,1852,10124
北海道,0107,中空知,はい,419,551,420,364,262,150,125,2291,262,329,305,247,157,137,112,1549
北海道,0107,中空知,いいえ,635,977,1000,1049,1057,1004,1233,6955,669,883,857,953,954,1097,1544,6957
北海道,0108,北空知,はい,110,134,107,85,59,46,30,571,65,68,63,53,44,22,20,335
北海道,0108,北空知,いいえ,166,246,245,315,345,328,414,2059,205,234,274,278,288,365,493,2137
北海道,0109,西胆振,はい,792,1008,803,609,388,258,220,4078,414,571,486,392,300,179,140,2482
北海道,0109,西胆振,いいえ,1382,1986,1871,1697,1706,1708,2193,12543,1175,1545,1621,1506,1460,1797,2682,11786
北海道,0110,東胆振,はい,1390,1633,1198,917,575,349,257,6319,604,753,636,480,298,223,169,3163
北海道,0110,東胆振,いいえ,2359,3020,2668,2475,2290,2302,2617,17731,1719,2087,1919,1874,1789,2249,3066,14703
北海道,0111,日高,はい,271,318,221,161,104,63,45,1183,131,161,177,127,65,41,37,739
北海道,0111,日高,いいえ,453,588,572,524,524,478,501,3640,368,479,429,433,453,499,601,3262
北海道,0112,上川中部,はい,1686,1968,1559,1121,727,347,160,7568,844,976,916,608,379,161,83,3967
北海道,0112,上川中部,いいえ,2637,3361,3253,3169,3195,2168,1502,19285,2356,2964,2939,2523,2053,1365,1292,15492
北海道,0113,上川北部,はい,244,255,220,153,113,59,38,1082,100,120,107,78,43,36,28,512
北海道,0113,上川北部,いいえ,388,576,551,606,588,459,471,3639,364,433,399,417,461,437,554,3065
北海道,0114,富良野,はい,183,207,180,130,98,58,47,903,96,117,111,70,57,27,43,521
