都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,毎日,12742,14011,11044,8568,6721,5138,4928,63152,18052,19893,18576,14989,11463,9128,9299,101400
北海道,時々,43550,52817,47669,41361,36552,28138,24882,274969,30700,39122,37695,34235,28752,24097,26879,221480
北海道,ほとんど摂取しない,15831,22392,23773,23981,22333,14480,11139,133929,6309,8654,8747,7940,7007,5554,6289,50500
青森県,毎日,2826,2841,2468,2040,1840,1824,2303,16142,4843,5361,5090,4724,4367,4505,5112,34002
青森県,時々,11146,13174,11942,10932,10048,7947,7637,72826,8007,10154,10365,9605,8662,7234,7738,61765
青森県,ほとんど摂取しない,6045,7748,8286,8252,7958,6235,6112,50636,2792,3746,3528,3747,3865,4692,5836,28206
岩手県,毎日,3516,3394,2841,2332,2142,2152,2778,19155,5479,6236,5653,5402,5049,5380,6098,39297
岩手県,時々,14073,15835,14311,12863,12056,11333,12663,93134,10082,12079,12010,11290,11740,12993,15592,85786
岩手県,ほとんど摂取しない,5227,7131,7327,7585,7531,6222,5738,46761,1698,2300,2259,2101,2276,2489,3243,16366
宮城県,毎日,6756,6534,5213,4022,3213,3385,4163,33286,11776,13093,11430,9585,8754,8769,9732,73139
宮城県,時々,27656,30780,26808,22330,20494,19956,23113,171137,20716,24446,23203,21226,20676,22610,27506,160383
宮城県,ほとんど摂取しない,12424,16572,16828,15820,14809,12205,11417,100075,4533,5839,5571,4905,4946,4836,5858,36488
秋田県,毎日,1648,1624,1440,1316,1223,1467,2011,10729,3104,3417,3382,3236,3453,4352,4693,25637
秋田県,時々,7053,7911,7193,6784,6822,7181,8651,51595,5531,6489,6642,6525,7273,8694,10668,51822
秋田県,ほとんど摂取しない,3364,4591,4691,5169,5166,4320,4037,31338,1300,1673,1707,1577,1751,1984,2430,12422
山形県,毎日,3339,3115,2608,2234,2008,2281,2576,18161,6271,6403,5967,5668,5624,5454,5275,40662
山形県,時々,13433,14195,12600,11488,11300,10865,11889,85770,10637,12267,11764,11700,12148,12573,13015,84104
山形県,ほとんど摂取しない,6171,7685,7771,8039,8481,7560,7097,52804,2391,2903,2804,2739,2927,3116,3476,20356
福島県,毎日,4462,4317,3569,3023,2608,2558,3035,23572,7800,8375,7789,7159,6504,6333,6364,50324
福島県,時々,19933,22092,19236,17473,16768,16450,18120,130072,15125,17843,17344,17145,18317,19085,21855,126714
福島県,ほとんど摂取しない,8264,11127,11290,11760,11842,10005,9856,74144,3112,4203,3893,3795,4273,4588,5508,29372
茨城県,毎日,7849,8176,6775,4955,3823,3422,3919,38919,11393,13229,12241,9596,7837,7558,7795,69649
茨城県,時々,30009,35130,31718,25201,20759,18485,19411,180713,20668,25831,25460,21864,20124,20050,22329,156326
茨城県,ほとんど摂取しない,11819,16167,17179,15906,13352,10014,9219,93656,4196,5629,5631,4922,4425,4126,5091,34020
栃木県,毎日,7300,7340,6041,4411,3562,3148,3348,35150,9186,9951,9129,7184,6327,5901,5929,53607
栃木県,時々,22995,26522,23268,18737,16221,14913,16177,138833,15039,18550,18276,15933,15401,16614,19275,119088
栃木県,ほとんど摂取しない,8286,11478,12183,11490,10533,8650,8651,71271,2873,4109,4111,3642,3688,4011,5180,27614
群馬県,毎日,5820,5991,4984,3812,2884,2636,2860,28987,7421,8973,8554,6556,5570,5611,6026,48711
群馬県,時々,21837,26072,24046,19174,16200,14945,18012,140286,14108,18933,19273,16776,15578,18163,24822,127653
群馬県,ほとんど摂取しない,8164,11775,12900,12007,10693,9162,10463,75164,3015,4410,4510,4149,3799,4224,6315,30422
埼玉県,毎日,24541,26023,21949,14858,10261,9275,11367,118274,34502,39878,37888,28069,20836,19243,24736,205152
埼玉県,時々,81004,97353,90780,68217,52483,45259,56284,491380,53414,67794,68769,56550,47415,49582,71355,414879
埼玉県,ほとんど摂取しない,31827,44766,49787,44832,36512,27673,30930,266327,11045,15114,15847,14111,12236,12602,19661,100616
千葉県,毎日,20321,22114,19085,13103,9171,8015,9770,101579,29248,34301,33219,24234,18654,17301,21369,178326
千葉県,時々,65418,78473,74402,55707,43146,36870,43859,397875,44154,55463,55994,46276,38827,39239,52802,332755
千葉県,ほとんど摂取しない,25685,35968,40473,35824,28752,21200,22312,210214,9387,12373,13078,10942,9165,9185,12882,77012
東京都,毎日,51278,50946,43234,31005,20000,15158,19479,231100,81708,89787,84582,61722,42892,36219,47288,444198
東京都,時々,169882,188685,176845,137968,97999,73875,90423,935677,132167,153204,151027,121753,94077,85504,121952,859684
東京都,ほとんど摂取しない,78694,98381,108903,98236,72544,48544,52157,557459,34581,41610,42370,35933,28516,24437,34343,241790
神奈川県,毎日,33045,34977,31288,22334,14034,10148,12547,158373,47077,55088,53855,38773,25862,21117,26598,268370
神奈川県,時々,103176,123066,121038,95280,66680,47446,55241,611927,69453,86553,89658,72234,54799,47086,66159,485942
神奈川県,ほとんど摂取しない,40185,55791,65062,59824,44800,28377,28692,322731,15164,19928,21490,18296,14260,11724,16411,117273
新潟県,毎日,6891,7211,6275,5101,4250,3808,4550,38086,11723,13424,12587,11243,10060,9801,10887,79725
新潟県,時々,26345,29552,26421,22805,20129,19067,22023,166342,18656,23073,22079,20311,19376,20704,25490,149689
新潟県,ほとんど摂取しない,12295,16889,17408,16606,15853,12938,12930,104919,4450,6318,5862,5236,4939,5148,6645,38598
富山県,毎日,3650,4098,3248,2344,1669,1366,1547,17922,5671,6892,6322,4925,3946,3248,3678,34682
富山県,時々,12639,15881,14118,10947,8753,6950,7744,77032,7952,10759,10529,8917,7446,6907,9049,61559
富山県,ほとんど摂取しない,4555,6747,7271,6460,5813,4143,4009,38998,1470,2138,2092,1783,1678,1411,1944,12516
石川県,毎日,4035,4368,3551,2683,2115,1929,2453,21134,6613,8067,7257,5850,4848,4390,5409,42434
石川県,時々,12031,15224,13231,10264,8424,7214,9199,75587,8488,11223,10831,9158,8490,8433,11936,68559
石川県,ほとんど摂取しない,5051,7465,7561,6794,5988,4646,5220,42725,1949,2818,2659,2469,2226,2215,3379,17715
福井県,毎日,2459,2569,2079,1646,1253,932,963,11901,3957,4585,4306,3757,2918,2215,1991,23729
福井県,時々,8987,10501,9044,7707,6354,4831,4412,51836,5684,7210,7057,6211,5500,4344,4709,40715
福井県,ほとんど摂取しない,3445,4595,4975,4505,4165,2753,2382,26820,1141,1575,1570,1359,1132,992,1119,8888
山梨県,毎日,2165,2211,2046,1618,1334,1463,1857,12694,3586,4182,4277,3697,3265,3411,3656,26074
山梨県,時々,8750,10226,9978,8522,7361,6892,7459,59188,6469,8389,8721,8277,7610,7690,8559,55715
山梨県,ほとんど摂取しない,3436,4904,5701,5841,4935,3878,3542,32237,1387,2094,2154,2088,1925,1691,1894,13233
長野県,毎日,6467,7023,6082,4746,3723,3459,3859,35359,9701,11700,11198,9413,7742,6788,7457,63999
長野県,時々,22624,26727,24711,20233,16702,14295,16567,141859,15169,19839,19926,17952,16185,15676,19701,124448
長野県,ほとんど摂取しない,9433,13565,14704,13645,11789,9004,8811,80951,3340,4975,5129,4584,4216,3857,5119,31220
岐阜県,毎日,6615,6958,5912,4403,3381,2960,3442,33671,9475,11637,11312,9293,7973,6832,7498,64020
岐阜県,時々,22930,28002,25656,20362,16711,13541,14783,141985,13626,17976,18385,16152,14287,13359,16660,110445
岐阜県,ほとんど摂取しない,7315,10734,11813,11167,9686,7294,7340,65349,2358,3462,3560,3242,2964,2797,3787,22170
静岡県,毎日,12692,13345,11179,8540,6370,4731,4947,61804,17198,20172,19028,14824,11994,9373,9542,102131
静岡県,時々,43651,51454,48033,38896,31473,25023,27066,265596,28601,36676,37629,32633,29031,26585,32212,223367
静岡県,ほとんど摂取しない,15756,22279,24867,22785,20609,14801,15455,136552,5975,8175,8632,7719,7133,6572,9002,53208
愛知県,毎日,26839,28065,23832,16810,11859,10353,14028,131786,39741,46770,44399,33775,26064,24252,30987,245988
愛知県,時々,89839,106215,99350,74787,55883,44344,55287,525705,54430,68774,69797,56791,46850,45534,65754,407930
愛知県,ほとんど摂取しない,30773,42305,47821,42681,33619,23397,25773,246369,10034,13379,14114,12267,10421,9691,14512,84418
三重県,毎日,5253,5809,5162,3807,3071,2863,3851,29816,8289,10099,9827,8159,7082,7262,8949,59667
三重県,時々,19768,23903,22387,18146,15047,13517,17046,129814,12547,16596,16962,14951,14073,14920,21388,111437
三重県,ほとんど摂取しない,7142,10310,11448,10530,9366,7384,8514,64694,2430,3388,3533,3212,2993,3475,5367,24398
