都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,36457,47036,44142,38540,33051,23537,18333,241096,16042,22051,22378,18452,14291,11425,12322,116961
北海道,いいえ,37210,43887,39916,36688,33599,24921,23238,239459,40069,47023,44083,39977,33850,27882,30859,263743
青森県,はい,10180,12399,11762,10550,9218,7062,6274,67445,5019,6777,6894,6187,5554,5011,5467,40909
青森県,いいえ,10071,11628,11196,10885,10782,8991,9755,73308,10803,12702,12282,12082,11448,11368,13177,83862
岩手県,はい,11142,13630,12810,11469,10164,8652,8435,76302,5143,6840,6794,6051,5814,6065,6850,43557
岩手県,いいえ,11949,13060,11992,11805,11852,11177,12790,84625,12229,13913,13275,12881,13332,14824,18088,98542
宮城県,はい,23628,28211,26114,21979,19167,16733,16532,152364,10772,14065,13658,11606,10474,10458,12078,83111
宮城県,いいえ,23672,26229,23378,20646,19637,18922,22182,154666,26564,29732,26898,24463,24220,25851,31055,188783
秋田県,はい,6061,7187,6870,6464,6051,5260,5132,43025,3006,3852,4231,3735,3728,4203,4631,27386
秋田県,いいえ,6319,7212,6790,7135,7426,7840,9680,52402,7090,7874,7711,7773,8919,10936,13264,63567
山形県,はい,10624,12325,11562,10571,9892,8531,7693,71198,5118,6620,6788,6170,5712,5375,5137,40920
山形県,いいえ,12583,12996,11706,11445,12202,12388,13976,87296,14338,15138,13953,14068,15077,15789,16568,104931
福島県,はい,16734,20026,18280,16756,15431,13689,13048,113964,8253,10278,10410,9473,9140,9113,9888,66555
福島県,いいえ,16827,18458,16629,16263,16435,15612,18087,118311,18184,20555,19053,19071,20249,20988,23885,141985
茨城県,はい,25078,31337,30122,24381,19394,15532,14352,160196,10943,15301,15715,12524,10262,9320,10096,84161
茨城県,いいえ,25975,29763,27370,23139,19720,17078,18688,161733,25966,30296,28761,24765,22897,22896,25657,181238
栃木県,はい,19399,23766,22202,18114,15018,12469,12025,122993,8301,11057,11169,8924,7821,7585,8426,63283
栃木県,いいえ,20367,23103,20705,17734,16183,14757,16398,129247,19181,22144,20887,18221,17963,19119,22042,139557
群馬県,はい,17694,22401,22014,17633,14459,12377,13075,119653,7104,10570,10987,8822,7388,7895,10183,62949
群馬県,いいえ,18732,22160,20647,17910,15743,14481,18304,127977,17657,22056,21674,18957,17819,20120,26979,145262
埼玉県,はい,68443,87634,85905,66014,49959,39128,41568,438651,28788,40174,41826,31551,24370,22823,30809,220341
埼玉県,いいえ,71333,83162,79377,64331,51281,43814,57196,450494,71368,84428,82599,69120,57560,58994,85162,509231
千葉県,はい,55999,71338,71097,54541,41449,32380,33165,359969,23685,33250,35031,26660,20654,18744,23475,181499
千葉県,いいえ,57096,67361,65054,51841,41148,34900,44028,361428,60406,70614,69216,56467,47328,47991,64731,416753
東京都,はい,144087,170245,167458,133821,93737,66512,71234,847094,62805,83235,86815,65012,46877,40477,54806,440027
東京都,いいえ,159396,172265,166705,137348,99874,73051,93721,902360,188056,204187,194110,156968,121099,108261,152943,1125624
神奈川県,はい,86335,110801,114402,91234,62967,41039,41020,547798,34751,49373,52697,39559,27395,21460,27564,252799
神奈川県,いいえ,93703,107607,107841,89908,65116,45903,56115,566193,98560,114511,114725,91639,68871,58893,81905,629104
新潟県,はい,20160,24992,23629,20213,17584,14724,14652,135954,8660,12016,12065,10238,8829,8302,9753,69863
新潟県,いいえ,25596,28851,26571,24237,22730,21185,24888,174058,26200,30812,28470,26559,25581,27344,33332,198298
富山県,はい,9387,12871,12377,9788,8093,6506,6854,65876,3701,5649,6009,4854,4144,4161,5444,33962
富山県,いいえ,12451,15147,13480,11077,9467,8167,10661,80450,12362,15579,14538,12414,11078,11268,16211,93450
石川県,はい,9048,12464,11691,9329,7449,6027,6718,62726,3901,5875,5870,4722,3936,3929,5528,33761
石川県,いいえ,11571,13904,12057,9924,8593,7332,9918,73299,12317,15044,13781,11821,10811,10624,14916,89314
福井県,はい,6493,8243,7771,6599,5449,3787,3082,41424,2482,3503,3835,3180,2555,1982,1867,19404
福井県,いいえ,8216,9079,8144,7093,6229,4604,4530,47895,8076,9616,8892,7975,6848,5450,5829,52686
山梨県,はい,6945,8673,8981,7732,6542,5484,4915,49272,3139,4570,4937,4324,3536,3343,3496,27345
山梨県,いいえ,8309,9728,9734,9087,7852,7452,8676,60838,9045,10926,11084,10394,9954,10147,11415,72965
長野県,はい,17448,22823,22566,18943,15433,12904,12831,122948,7064,10288,11027,9327,7798,6971,8346,60821
長野県,いいえ,23011,26757,25100,21576,18686,16178,19499,150807,23187,28792,27693,24867,22740,22284,27721,177284
岐阜県,はい,16403,21872,21329,17469,14148,10695,10206,112122,6226,9201,10085,8466,6829,6135,7228,54170
岐阜県,いいえ,20824,24328,22565,19023,16129,13235,15317,131421,19418,24087,23656,20733,18733,16790,20589,144006
静岡県,はい,33810,43527,42951,35411,28214,21250,20879,226042,14026,19870,21047,16844,13859,11936,14056,111638
静岡県,いいえ,39631,45219,43139,36544,32125,26252,31534,254444,38669,46310,45624,39560,36298,34409,43304,284174
愛知県,はい,73057,94065,92997,73402,53009,37886,41587,466003,26563,38383,40676,31420,24295,22352,30469,214158
愛知県,いいえ,85037,94755,89844,71738,54260,41228,54270,491132,79424,92850,89707,72669,59791,57588,81657,533686
三重県,はい,15177,20788,20624,17042,13600,11229,12012,110472,6153,9074,9739,8212,7008,7006,9331,56523
三重県,いいえ,17983,21174,20123,17216,14661,12732,17478,121367,17321,21360,20793,18199,17254,18759,26476,140162
滋賀県,はい,13866,17352,16022,13225,10667,8171,8029,87332,5607,7803,7982,6521,5378,4686,5589,43566
滋賀県,いいえ,15326,16595,15054,12328,10483,8790,10969,89545,17214,18936,17424,14940,13710,12607,16231,111062
京都府,はい,18844,25323,24966,19878,15799,12040,13136,129986,7889,11513,12033,9607,7481,6701,9382,64606
京都府,いいえ,22770,27009,25127,20566,17117,13539,17816,143944,25561,30486,28821,24422,20619,18812,26685,175406
大阪府,はい,66012,86743,87813,65973,46768,29608,26894,409811,28880,41055,44050,32677,22020,15594,18166,202442
大阪府,いいえ,69735,83752,81741,64150,47599,31408,33382,411767,77973,93173,90386,71472,51383,38564,47073,470024
兵庫県,はい,40972,54819,54269,44188,34449,24774,24012,277483,16025,23711,25183,20011,15412,12797,15921,129060
兵庫県,いいえ,47359,56046,54210,44078,36093,27330,32265,297381,50141,61136,59303,48577,40189,35188,45370,339904
奈良県,はい,8227,11110,11605,9651,7866,6163,6532,61154,3642,5477,5960,4929,3959,3818,4841,32626
奈良県,いいえ,9169,11495,11328,9610,8012,6646,8783,65043,11302,13492,13564,11671,10034,9962,13963,83988
和歌山県,はい,6101,8204,8051,6848,6049,5158,5537,45948,2464,3537,3993,3605,3047,3222,4365,24233
和歌山県,いいえ,6311,8000,7724,6870,6375,5829,7698,48807,7040,8577,8611,8164,7870,8532,11355,60149
