都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,速い,31562,37706,32531,27547,21919,14615,11973,177853,16009,19920,18615,16257,12889,10099,10623,104412
北海道,ふつう,38157,48902,47534,43997,41039,30909,26905,277443,33632,41974,41398,37246,31882,26633,29694,242459
北海道,遅い,4170,4722,4316,3924,3864,3056,2799,26851,6516,7228,6503,4973,3425,2607,2924,34176
青森県,速い,7852,8743,7746,6600,5536,4352,4175,45004,4155,5217,5166,4824,4337,4465,4942,33106
青森県,ふつう,11275,13983,13917,13607,13223,10535,10420,86960,9844,12297,12275,12093,11489,10772,12190,80960
青森県,遅い,1106,1277,1273,1223,1232,1158,1437,8706,1810,1943,1725,1344,1177,1141,1513,10653
岩手県,速い,9004,9886,8581,7340,5801,5029,4968,50609,4756,5707,5709,5384,5043,5066,5566,37231
岩手県,ふつう,12866,15447,14853,14511,14660,13174,14210,99721,10714,12961,12600,12145,12714,14224,17088,92446
岩手県,遅い,1338,1519,1503,1540,1603,1652,2055,11210,1922,2133,1797,1451,1415,1600,2287,12605
宮城県,速い,18510,20144,17590,13764,11083,9411,9222,99724,10239,11935,11072,9864,9039,8512,9230,69891
宮城県,ふつう,26115,31162,28993,26286,25289,23651,26227,187723,23091,27614,25848,23473,23409,25418,30715,179568
宮城県,遅い,2574,3008,2809,2516,2377,2584,3270,19138,3952,4216,3620,2725,2250,2383,3195,22341
秋田県,速い,4856,5491,4708,4331,3736,3267,3409,29798,2817,3382,3470,3359,3410,3728,3980,24146
秋田県,ふつう,6816,8130,8172,8460,8888,8904,10120,59490,6214,7311,7581,7404,8448,10461,12711,60130
秋田県,遅い,676,748,761,799,853,921,1266,6024,1057,1031,901,750,776,947,1203,6665
山形県,速い,8518,9105,7851,6615,6095,5067,4865,48116,5047,5596,5259,5200,5105,4702,4287,35196
山形県,ふつう,13390,14950,14127,14179,14646,14280,14794,100366,12478,14189,13747,13708,14313,14926,15628,98989
山形県,遅い,1137,1122,1134,1142,1223,1416,1797,8971,1713,1753,1508,1176,1151,1291,1543,10135
福島県,速い,12728,14207,12295,10712,9075,7753,7715,74485,6825,8025,8102,7722,7292,6982,7187,52135
福島県,ふつう,19006,22266,20765,20472,20851,19427,20729,143516,16925,20019,19018,18931,20366,21231,23964,140454
福島県,遅い,1788,2007,1843,1840,1962,2125,2703,14268,2723,2836,2383,1917,1761,1900,2613,16133
茨城県,速い,20037,22540,20137,15745,11657,9091,8728,107935,9768,12052,11696,9823,7943,7122,7384,65788
茨城県,ふつう,27898,35128,33805,28848,24889,21122,21514,193204,23060,28906,28684,24413,22973,22937,25954,176927
茨城県,遅い,3167,3518,3322,2919,2436,2388,2752,20502,3766,4242,3720,2782,2052,2088,2391,21041
栃木県,速い,15481,17338,14856,11693,8905,7282,6850,82405,7504,9034,8481,6979,6162,5709,5874,49743
栃木県,ふつう,21728,26873,25525,21927,20271,17928,19099,153351,17032,21025,20804,18118,18047,19336,22435,136797
