都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,1,21324,26887,24746,23069,21490,16181,14887,148584,12352,15316,14654,13279,11995,10547,13000,91143
北海道,2,24873,29175,26791,22753,19298,13353,10218,146461,21767,26216,24161,20614,15732,11212,10848,130550
北海道,3,10975,13008,12068,10559,9085,6630,5269,67594,10494,12405,12059,10163,8282,6554,6285,66242
北海道,4,8280,10016,8425,7113,5902,3972,3027,46735,6573,8079,7725,6572,5078,3910,3763,41700
北海道,5,8302,11951,11972,11641,10783,8317,8094,71060,4867,6986,7767,7707,6983,6893,8925,50128
青森県,1,6152,7733,7715,7566,7471,6530,7296,50463,3699,4576,4719,5005,4939,5397,7292,35627
青森県,2,6957,7609,7350,6567,6038,4229,3567,42317,6638,7942,7635,6748,6004,4961,4712,44640
青森県,3,2130,2439,2230,2167,1958,1525,1405,13854,2197,2599,2505,2407,2243,2013,2139,16103
青森県,4,2455,2745,2307,2012,1546,1107,918,13090,2011,2450,2143,1905,1690,1408,1279,12886
青森県,5,2505,3418,3276,3081,2934,2630,2825,20669,1245,1862,2126,2170,2107,2584,3188,15282
岩手県,1,5963,6971,6849,6830,7191,6935,8044,48783,3372,4094,3960,3911,4485,5395,7313,32530
岩手県,2,8111,8879,8027,7194,6365,5456,5137,49169,7367,8434,7855,7048,6399,6138,6260,49501
岩手県,3,4023,4417,3916,3566,3345,2976,2803,25046,3518,4061,3871,3587,3583,3927,4192,26739
岩手県,4,2268,2657,2281,1994,1754,1353,1272,13579,1750,2178,2168,1939,1885,1787,1986,13693
岩手県,5,2665,3658,3617,3402,3268,3098,3942,23650,1361,1951,2200,2403,2762,3606,5119,19402
宮城県,1,13154,14819,13271,11856,11959,11557,13522,90138,7717,8809,7904,7350,7733,8534,11767,59814
宮城県,2,16168,17780,16267,13533,11620,9783,9246,94397,15490,17839,15867,13530,12219,11292,11136,97373
宮城県,3,6053,6834,6059,5170,4610,4079,4120,36925,6474,7341,6641,5746,5472,5408,5840,42922
宮城県,4,5729,6434,5334,4330,3619,2922,2752,31120,4225,5041,4826,4134,3611,3567,3618,29022
宮城県,5,5970,8300,8223,7501,6767,6997,8587,52345,3288,4606,5154,5171,5444,7148,10210,41021
秋田県,1,2926,3436,3359,3749,4020,4297,5414,27201,1848,2247,2225,2384,2818,3764,5293,20579
秋田県,2,4949,5454,5165,4856,4686,4355,4298,33763,4829,5444,5387,4955,5136,5400,5513,36664
秋田県,3,1623,1857,1601,1626,1594,1473,1576,11350,1663,1831,1850,1675,1795,2160,2250,13224
秋田県,4,1433,1555,1451,1269,1106,912,914,8640,1055,1163,1292,1116,1132,1305,1291,8354
秋田県,5,1396,1995,1962,1992,1963,1953,2517,13778,673,998,1144,1310,1672,2411,3438,11646
山形県,1,6932,7771,7197,7148,7735,8146,9348,54277,4752,5262,5005,5051,5693,6163,7276,39202
山形県,2,8267,8329,7677,7001,6688,5721,5036,48719,8367,9013,8342,7754,7387,6551,5510,52924
山形県,3,3042,3139,2741,2550,2403,1962,1541,17378,2892,3251,2877,2771,2591,2273,1995,18650
山形県,4,2402,2716,2251,1961,1777,1370,1219,13696,2019,2247,2284,2124,1981,1864,1640,14159
山形県,5,2411,3212,3248,3248,3305,3461,4128,23013,1225,1766,1989,2369,2857,3936,4842,18984
福島県,1,8642,10133,9416,9319,9450,9341,10624,66925,5061,6119,5656,5620,6213,6658,8625,43952
福島県,2,12480,13556,12017,11357,10455,8486,7942,76293,11667,13375,12444,11566,11009,9729,9455,79245
福島県,3,5079,5607,4860,4466,4423,3912,3810,32157,5111,5530,5425,5039,5234,5214,5298,36851
福島県,4,3592,3968,3536,2963,2684,2226,1996,20965,2760,3179,2931,2907,2818,2708,2784,20087
福島県,5,3688,5114,4946,4835,4800,5281,6728,35392,1826,2591,2972,3372,4057,5728,7528,28074
茨城県,1,14032,17650,16358,14020,11956,10206,11028,95250,6997,8744,8352,7156,6749,6923,8855,53776
茨城県,2,18241,20841,19253,15237,12219,9613,8515,103919,15751,19104,17679,14397,12325,11118,10810,101184
茨城県,3,7378,8361,8010,6517,5230,4256,4068,43820,6676,8234,8185,6555,5772,5497,5650,46569
茨城県,4,6142,6820,6108,4746,3779,2821,2600,33016,4328,5177,5079,4136,3536,3305,3299,28860
茨城県,5,6420,9192,9628,8608,7191,6663,7622,55324,3207,4426,5320,5190,4973,5475,7116,35707
栃木県,1,10456,12821,11804,9860,9265,7979,8581,70766,5203,6401,5927,5009,4949,5003,6649,39141
栃木県,2,13513,14780,13427,10793,8993,7185,6407,75098,11387,13189,12190,9961,8869,7935,7542,71073
栃木県,3,6462,7337,6459,5490,4680,4527,4672,39627,5646,6779,6457,5399,5422,6057,6570,42330
栃木県,4,4101,4692,3955,3122,2539,1865,1919,22193,2805,3313,3368,2758,2412,2326,2326,19308
栃木県,5,5039,7021,7015,6440,5602,5619,6805,43541,2351,3375,4005,3956,4068,5327,7281,30363
群馬県,1,9512,12241,11583,9950,9074,8743,11579,72682,4882,6522,6439,5409,5262,6348,10775,45637
群馬県,2,12216,14342,13416,10931,8656,6757,6674,72992,10367,13133,12658,10263,8459,7840,8546,71266
群馬県,3,5396,6144,5842,4819,3984,3640,4228,34053,4472,5864,5602,4880,4675,5621,6982,38096
群馬県,4,3745,4377,4065,3231,2472,2052,1892,21834,2491,3233,3365,2841,2474,2508,2731,19643
群馬県,5,4498,6266,6631,5815,5190,5126,6593,40119,1927,3040,3836,3738,3819,5284,7352,28996
埼玉県,1,34189,43759,42630,34013,27771,24838,34375,241575,19334,24072,23660,19759,17498,20412,36369,161104
埼玉県,2,48656,55664,52540,39465,28855,20961,20485,266626,41125,49358,47392,35643,26585,21573,24830,246506
埼玉県,3,22177,25670,24436,18804,14711,11841,13185,130824,20196,24386,23815,18930,15421,15448,20097,138293
埼玉県,4,16168,18817,16611,12820,9362,7064,6981,87823,10537,13351,13444,11045,8615,7832,9203,74027
埼玉県,5,17482,25377,27482,23972,19586,17424,22704,154027,8316,12543,15192,14515,13182,15730,23933,103411
千葉県,1,28513,36185,35987,28780,23627,20864,26825,200781,16536,20680,20451,16667,14542,15395,24592,128863
千葉県,2,38894,44578,42478,31455,23060,17274,16847,214586,33797,40142,38717,29391,22526,19558,22629,206760
千葉県,3,16952,19762,18972,14320,10641,7918,7755,96320,15937,19197,18787,14422,11355,10034,11412,101144
千葉県,4,13624,15910,14393,10856,8127,5838,6074,74822,9776,11872,12096,9513,7622,7232,8520,66631
千葉県,5,15005,21991,23833,20783,16860,14980,18901,132353,7553,11261,13452,12465,11341,13732,19733,89537
東京都,1,66682,78999,78863,64896,48914,38527,52441,429322,44536,51614,49921,40829,34205,33283,57180,311568
東京都,2,102734,108422,102028,78135,53907,36490,38203,519919,98921,107618,100786,75561,53744,42561,51867,531058
東京都,3,48643,52150,49092,38979,27262,18845,19666,254637,50395,57523,55303,41898,30303,24464,29251,289137
東京都,4,38861,41602,37196,29133,19320,12467,12913,191492,29720,34085,32752,25649,18490,15669,18941,175306
東京都,5,45051,59403,64759,57897,42549,31184,38207,339050,25625,34542,39913,36114,29438,29821,44365,239818
神奈川県,1,44765,56265,57576,47138,34970,25366,31063,297143,25917,31737,31584,25269,19974,18026,29655,182162
