都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,1合未満,1628,1974,1683,1318,1213,1145,1483,10444,1658,2079,2112,1913,1746,1754,2351,13613
北海道,0101,南渡島,1～2合未満,1229,1612,1450,1528,1358,1205,1209,9591,651,945,902,750,657,474,357,4736
北海道,0101,南渡島,2～3合未満,643,851,896,829,859,652,500,5230,212,298,302,240,173,120,69,1414
北海道,0101,南渡島,3合以上,301,376,310,290,196,128,79,1680,68,86,64,59,29,-,-,332
北海道,0102,南檜山,1合未満,79,102,76,70,76,70,87,560,82,103,98,93,104,91,95,666
北海道,0102,南檜山,1～2合未満,71,92,100,102,94,73,72,604,50,47,55,48,35,25,30,290
北海道,0102,南檜山,2～3合未満,46,71,73,67,64,50,37,408,16,18,17,21,-,-,-,89
北海道,0102,南檜山,3合以上,26,29,26,19,22,-,-,140,-,-,-,-,-,-,-,18
北海道,0103,北渡島檜山,1合未満,146,132,118,105,98,115,116,830,110,142,113,121,110,107,119,822
北海道,0103,北渡島檜山,1～2合未満,98,128,114,122,99,83,97,741,41,55,48,52,40,23,28,287
北海道,0103,北渡島檜山,2～3合未満,49,70,71,68,67,39,42,406,14,20,27,15,14,-,-,106
北海道,0103,北渡島檜山,3合以上,38,37,27,20,18,-,-,159,-,-,-,-,-,-,-,25
北海道,0104,札幌,1合未満,15777,18110,16176,12993,10972,6926,4451,85405,16100,18901,17844,14951,10733,5645,3717,87891
北海道,0104,札幌,1～2合未満,10166,12461,12317,11103,9898,6053,3306,65304,5572,7021,6645,5321,3473,1453,709,30194
北海道,0104,札幌,2～3合未満,5013,6317,6600,6539,5680,3063,1413,34625,1768,2240,2023,1488,880,361,138,8898
北海道,0104,札幌,3合以上,2359,3000,2768,2256,1534,635,207,12759,550,681,519,349,151,48,15,2313
北海道,0105,後志,1合未満,1090,1263,1200,1036,863,865,978,7295,935,1251,1256,1183,1108,1166,1586,8485
北海道,0105,後志,1～2合未満,649,865,819,777,707,640,628,5085,312,454,407,365,319,235,245,2337
北海道,0105,後志,2～3合未満,330,502,464,532,469,408,331,3036,138,190,152,146,85,65,63,839
北海道,0105,後志,3合以上,172,240,222,197,139,101,62,1133,35,55,38,17,15,-,-,178
北海道,0106,南空知,1合未満,650,891,779,738,729,663,685,5135,631,905,900,814,829,687,867,5633
北海道,0106,南空知,1～2合未満,448,665,596,640,677,557,501,4084,219,318,328,298,258,171,138,1730
北海道,0106,南空知,2～3合未満,232,350,325,380,364,295,189,2135,62,111,115,75,66,48,34,511
北海道,0106,南空知,3合以上,110,145,95,106,77,60,31,624,29,39,24,11,-,-,-,116
北海道,0107,中空知,1合未満,430,550,509,508,431,406,491,3325,458,595,578,606,554,591,776,4158
北海道,0107,中空知,1～2合未満,283,412,393,400,390,337,396,2611,200,249,206,218,202,155,144,1374
北海道,0107,中空知,2～3合未満,137,202,215,224,214,178,182,1352,57,76,81,55,49,33,30,381
北海道,0107,中空知,3合以上,55,112,76,66,66,39,22,436,15,18,19,18,12,-,-,93
北海道,0108,北空知,1合未満,101,152,108,126,132,112,138,869,133,147,166,150,153,134,151,1034
北海道,0108,北空知,1～2合未満,83,92,102,133,130,128,108,776,48,62,67,57,41,38,20,333
北海道,0108,北空知,2～3合未満,44,51,52,53,56,47,53,356,18,17,16,16,-,-,-,87
北海道,0108,北空知,3合以上,15,28,33,33,16,-,-,135,-,-,-,-,-,-,-,21
北海道,0109,西胆振,1合未満,745,885,811,606,531,554,811,4943,691,912,880,761,703,813,1240,6000
北海道,0109,西胆振,1～2合未満,625,886,799,723,659,635,722,5049,299,450,373,341,307,240,221,2231
北海道,0109,西胆振,2～3合未満,282,462,424,410,384,269,297,2528,93,118,128,106,57,52,43,597
北海道,0109,西胆振,3合以上,143,208,158,127,82,74,56,848,37,39,35,29,25,-,-,173
北海道,0110,東胆振,1合未満,1134,1403,1085,920,747,770,985,7044,931,1160,1021,943,796,918,1230,6999
北海道,0110,東胆振,1～2合未満,895,1148,977,903,849,792,826,6390,326,486,437,385,296,240,212,2382
北海道,0110,東胆振,2～3合未満,554,737,678,631,556,437,381,3974,155,194,166,118,82,69,32,816
北海道,0110,東胆振,3合以上,185,251,228,171,129,84,48,1096,47,38,25,22,17,-,-,160
北海道,0111,日高,1合未満,242,288,244,213,183,168,158,1496,204,267,254,228,225,200,197,1575
北海道,0111,日高,1～2合未満,179,212,185,182,183,142,153,1236,109,122,108,91,70,62,35,597
北海道,0111,日高,2～3合未満,127,151,153,126,102,82,56,797,29,38,42,26,28,11,13,187
北海道,0111,日高,3合以上,45,71,56,33,28,24,15,272,11,17,11,-,-,-,-,56
北海道,0112,上川中部,1合未満,1764,2123,1857,1552,1349,928,617,10190,1573,1960,1921,1524,1131,623,560,9292
