都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,はい,360,828,1247,1658,2147,2111,2632,10983,215,413,623,809,798,956,1538,5352
北海道,いいえ,73276,90706,83803,74229,65130,48137,42200,477481,55627,68685,65989,57744,48280,41237,46895,384457
青森県,はい,85,201,319,450,588,608,943,3194,59,124,167,241,280,302,510,1683
青森県,いいえ,20594,24322,23170,21609,20252,16582,16695,143224,16073,19764,19460,18618,17731,17682,20460,129788
岩手県,はい,118,228,371,538,692,861,1231,4039,63,153,215,219,339,564,866,2419
岩手県,いいえ,23087,26589,24548,22836,21342,18997,20018,157417,17254,20552,19794,18679,18765,20345,24100,139489
宮城県,はい,199,427,651,885,1223,1419,2068,6872,112,208,360,413,496,639,1139,3367
宮城県,いいえ,44565,51210,46600,39716,35543,32816,35890,286340,35350,41409,38066,33684,32472,34885,41762,257628
秋田県,はい,55,132,212,333,419,616,886,2653,53,83,109,160,214,319,516,1454
秋田県,いいえ,12928,15171,14238,13982,13440,12541,13948,96248,10509,12329,12373,11746,12591,14851,17401,91800
山形県,はい,76,137,205,310,421,435,569,2153,34,76,125,123,133,198,310,999
山形県,いいえ,22896,25015,22886,21591,21540,20374,20983,155285,19225,21448,20330,19892,20326,20761,21243,143225
福島県,はい,172,308,523,665,974,1179,1692,5513,82,183,274,338,443,537,912,2769
福島県,いいえ,33086,37934,34102,32071,30702,28190,29692,225777,26038,30240,28622,27636,28351,29578,33160,203625
茨城県,はい,219,455,816,1018,1214,1287,1756,6765,128,240,367,443,439,574,996,3187
茨城県,いいえ,52686,63398,60034,49343,40994,35889,37661,340005,38235,47137,45946,38649,35279,36378,41437,283061
栃木県,はい,182,341,581,699,854,916,1402,4975,93,166,247,281,342,485,793,2407
栃木県,いいえ,38145,44859,40998,34186,29386,25781,26776,240131,26772,32174,30971,26196,24863,25946,29601,196523
群馬県,はい,141,283,554,623,737,912,1582,4832,67,138,222,266,300,491,1002,2486
群馬県,いいえ,35403,43295,41236,34296,28847,25694,29840,238611,24253,31898,31955,27123,24744,27629,36385,203987
埼玉県,はい,621,1364,2308,2728,2960,3173,5255,18409,328,699,1032,1165,1272,1649,3212,9357
埼玉県,いいえ,138934,169099,162695,127288,98065,79368,92229,867678,100538,124767,124296,100243,81305,80234,110872,722255
千葉県,はい,484,1081,1792,2198,2417,2677,4502,15151,278,543,856,984,1069,1469,2761,7960
千葉県,いいえ,112457,137664,134005,104042,80922,68214,81140,718444,84203,103883,103922,83069,69086,71659,98201,614023
東京都,はい,1374,2716,4391,5631,5537,5863,9873,35385,798,1503,2245,2539,2537,3117,6373,19112
東京都,いいえ,299505,337137,327731,264003,186926,133500,155434,1704236,248720,284665,277211,218012,164668,145896,202214,1541386
神奈川県,はい,801,1812,3058,3712,3534,3087,5048,21052,404,861,1364,1500,1403,1547,2985,10064
神奈川県,いいえ,177298,214091,216697,175358,123355,83433,91862,1082094,131298,161073,163808,127741,93527,78525,106498,862470
新潟県,はい,172,400,612,891,1120,1435,2427,7057,105,232,305,427,476,740,1345,3630
新潟県,いいえ,44610,52327,48450,42550,38285,34042,37277,297541,34046,41736,39373,35724,33494,34948,42101,261422
富山県,はい,106,249,420,476,564,638,1188,3641,57,118,189,205,240,326,699,1834
富山県,いいえ,21767,27752,25422,20433,16963,13896,16264,142497,15948,21022,20254,16988,14880,15050,20949,125091
石川県,はい,86,197,315,363,491,597,1157,3206,39,106,114,181,193,305,704,1642
石川県,いいえ,20564,26197,23519,19013,15658,12975,16239,134165,16019,20682,19382,16255,14630,14830,20983,122781
福井県,はい,60,131,199,296,318,331,407,1742,22,43,99,116,117,135,202,734
福井県,いいえ,14840,17559,15963,13627,11650,8262,7308,89209,10515,13123,12675,11069,9357,7349,7504,71592
山梨県,はい,64,132,220,315,349,482,657,2219,30,61,100,142,151,206,349,1039
山梨県,いいえ,14606,17589,17883,15978,13718,12277,12791,104842,11677,14823,15355,14132,13039,13133,14483,96642
長野県,はい,181,366,618,836,993,1195,1969,6158,111,201,343,394,459,678,1138,3324
長野県,いいえ,40171,49137,47016,39733,33321,28724,32171,270273,30185,38936,38514,33997,30568,29801,37678,239679
岐阜県,はい,131,289,461,657,777,935,1632,4882,68,130,219,264,330,458,956,2425
岐阜県,いいえ,37649,46641,44325,36668,30855,26104,30206,252448,26194,33956,34505,30068,27459,27194,35301,214677
静岡県,はい,285,667,1028,1389,1566,1594,2623,9152,145,280,467,530,605,860,1526,4413
静岡県,いいえ,71505,86007,83277,69144,57170,43812,46843,457758,51375,64437,64650,54561,47956,43272,52094,378345
愛知県,はい,589,1389,2241,2948,3014,3124,5380,18685,348,634,976,1114,1260,1527,3186,9045
愛知県,いいえ,157960,187991,181244,142777,105106,76644,91109,942831,106063,131269,130200,103701,83570,78857,109537,743197
三重県,はい,152,348,523,735,877,1061,1772,5468,71,144,251,280,365,525,1089,2725
三重県,いいえ,33289,41903,40550,33907,27697,23081,27857,228284,23679,30680,30805,26700,24233,25364,34777,196238
滋賀県,はい,118,222,377,468,528,613,995,3321,61,105,156,207,214,268,533,1544
滋賀県,いいえ,29340,33883,30803,25285,20898,16751,18618,175578,22964,26860,25426,21425,19099,17387,21762,154923
京都府,はい,175,372,603,808,858,808,1096,4720,115,201,308,339,339,321,642,2265
京都府,いいえ,40983,51040,48281,38537,30673,21064,21992,252570,32784,40974,39577,32347,25254,19557,24759,215252
大阪府,はい,775,1506,2603,3037,3181,3102,4688,18892,609,1038,1418,1614,1579,1656,2970,10884
大阪府,いいえ,136966,171775,170397,130938,96698,69235,79659,855668,111287,140024,141455,111754,84100,72842,101302,762764
兵庫県,はい,467,885,1378,1806,2093,2328,3826,12783,262,448,722,819,871,1123,2167,6412
兵庫県,いいえ,90033,112331,109653,89063,71959,56531,64815,594385,68815,88213,88076,72615,61484,57454,76637,513294
奈良県,はい,70,201,328,396,503,503,912,2913,53,94,155,183,181,325,621,1612
奈良県,いいえ,18241,23586,23742,19908,16565,13833,16840,132715,15675,19999,20667,17646,15264,15587,21689,126527
和歌山県,はい,62,133,251,322,353,469,725,2315,28,62,109,117,150,228,388,1082
和歌山県,いいえ,12504,16182,15538,13507,12139,10240,12059,92169,9515,12100,12487,11629,10613,11079,14805,82228
鳥取県,はい,29,63,126,164,188,276,428,1274,28,48,50,58,87,144,259,674
鳥取県,いいえ,7572,8768,7747,7031,6484,5834,6360,49796,5962,7245,6664,6063,6087,6483,8043,46547
島根県,はい,56,102,178,247,326,431,758,2098,39,58,87,121,147,248,437,1137
