都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,1合未満,29483,34804,30645,25660,22322,17273,16384,176571,29237,35292,33886,29693,24331,19105,20871,192415
北海道,1～2合未満,19675,24836,23727,22364,20628,14748,11877,137855,10268,13391,12476,10429,7642,4463,3253,61922
北海道,2～3合未満,10018,13085,13139,12930,11722,7567,5019,73480,3382,4333,3939,3043,1987,1120,660,18464
北海道,3合以上,4744,6142,5389,4413,3119,1630,813,26250,1099,1314,1012,713,357,149,82,4726
青森県,1合未満,6727,7478,6690,5620,5119,4736,5884,42254,8124,9846,9755,9488,9386,10307,12684,69590
青森県,1～2合未満,5992,7385,7346,7278,6996,5763,5787,46547,3306,4366,4200,3804,3155,2253,1777,22861
青森県,2～3合未満,3466,4294,4573,4677,4443,3220,2539,27212,990,1274,1099,880,679,381,242,5545
青森県,3合以上,1835,2358,2282,2159,1960,1516,1283,13393,385,439,350,249,147,105,81,1756
岩手県,1合未満,5607,6198,5640,4940,4583,4630,5848,37446,5530,6672,6271,5970,6117,6436,7207,44203
岩手県,1～2合未満,6469,7991,7602,7425,7533,6890,7053,50963,2861,3607,3345,2684,2298,1656,1227,17678
岩手県,2～3合未満,3277,4140,4143,4410,4237,3306,2541,26054,794,967,837,574,439,260,170,4041
岩手県,3合以上,1191,1394,1177,1052,801,493,294,6402,176,196,150,85,61,34,14,716
宮城県,1合未満,16265,17859,15656,12345,10711,10766,13630,97232,17789,20373,18871,16651,16164,18179,23730,131757
宮城県,1～2合未満,12937,15585,14552,13405,13008,12362,13357,95206,6530,7940,6950,5426,4758,3771,3353,38728
宮城県,2～3合未満,6763,8352,8113,7576,7243,5704,4694,48445,1781,2149,1809,1177,918,496,307,8637
宮城県,3合以上,2647,3115,2590,2083,1521,920,548,13424,437,509,380,222,126,56,42,1772
秋田県,1合未満,3689,3966,3527,3268,2894,2885,3674,23903,4591,5296,5357,5126,5037,4962,4987,35356
秋田県,1～2合未満,4007,4904,4904,5050,5182,4964,5343,34354,1923,2503,2372,1881,1712,1231,922,12544
