都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,毎日,1347,1815,1850,1864,1736,1597,1592,11801,563,833,798,688,584,488,386,4340
北海道,0101,南渡島,時々,1576,1877,1640,1423,1304,1026,1107,9953,1147,1522,1482,1272,1116,985,1114,8638
北海道,0101,南渡島,ほとんど飲まない（飲めない）,1594,2053,1697,1408,1217,1162,1453,10584,1798,2238,2332,2181,2180,2556,3660,16945
北海道,0102,南檜山,毎日,75,115,135,133,153,121,111,843,47,40,41,52,31,26,22,259
北海道,0102,南檜山,時々,110,136,103,102,83,64,77,675,73,89,72,69,62,64,62,491
北海道,0102,南檜山,ほとんど飲まない（飲めない）,90,99,97,69,63,80,88,586,86,113,137,122,163,178,281,1080
北海道,0103,北渡島檜山,毎日,112,130,152,144,137,128,129,932,30,60,55,44,38,22,25,274
北海道,0103,北渡島檜山,時々,150,176,124,128,103,80,100,861,102,98,96,81,71,79,66,593
北海道,0103,北渡島檜山,ほとんど飲まない（飲めない）,137,146,156,121,116,139,133,948,120,168,148,189,194,251,332,1402
北海道,0104,札幌,毎日,10361,14250,14719,14072,12524,7937,4518,78381,4847,6733,6270,5240,3490,1613,824,29017
北海道,0104,札幌,時々,14076,15766,14241,11904,9691,5445,2942,74065,10598,12199,11464,9142,6395,3032,1841,54671
北海道,0104,札幌,ほとんど飲まない（飲めない）,13285,15043,13675,10946,9368,5693,3811,71821,14269,16566,16052,13874,10579,6798,5448,83586
北海道,0105,後志,毎日,710,1077,1076,1094,998,964,925,6844,331,478,428,378,302,265,276,2458
北海道,0105,後志,時々,879,1047,934,864,727,618,575,5644,579,757,781,713,597,548,636,4611
北海道,0105,後志,ほとんど飲まない（飲めない）,940,1158,1092,896,778,718,877,6459,873,1205,1160,1128,1171,1301,1890,8728
北海道,0106,南空知,毎日,475,735,733,865,885,790,699,5182,186,343,351,331,259,172,182,1824
北海道,0106,南空知,時々,630,873,705,642,644,485,452,4431,443,610,597,494,531,378,403,3456
